Jul 02 2014 01: +0,4.501,18
Jul 03 2014 01: +0,4.802,24
Jul 04 2014 01: +0,4.747,10
Jul 05 2014 01: +0,4.785,4
Jul 06 2014 01: +0,4.602,18
Jul 07 2014 01: +0,5.175,16
Jul 08 2014 01: +0,5.557,16
Jul 09 2014 01: +0,4.379,9
Jul 10 2014 01: +0,4.475,17
Jul 11 2014 01: +0,4.334,11
Jul 12 2014 01: +0,3.908,11
Jul 13 2014 01: +0,4.281,12
Jul 14 2014 01: +0,4.507,15
Jul 15 2014 01: +0,3.854,7
Jul 16 2014 01: +0,4.126,18
Jul 17 2014 01: +0,3.897,9
Jul 18 2014 01: +0,4.562,4
Jul 19 2014 01: +0,3.85,15
Jul 20 2014 01: +0,4.108,14
Jul 21 2014 01: +0,3.808,16
Jul 22 2014 01: +0,3.589,7
Jul 23 2014 01: +0,3.473,22
Jul 24 2014 01: +0,3.75,10
Jul 25 2014 01: +0,3.74,18
Jul 26 2014 01: +0,3.624,11
Jul 27 2014 01: +0,4.32,22
Jul 28 2014 01: +0,4.202,11
Jul 29 2014 01: +0,4.173,18
Jul 30 2014 01: +0,4.093,19
Jul 31 2014 01: +0,3.894,7
Aug 01 2014 01: +0,4.941,12
Aug 02 2014 01: +0,4.265,11
Aug 03 2014 01: +0,4.896,20
Aug 04 2014 01: +0,4.335,17
Aug 05 2014 01: +0,4.158,22
Aug 06 2014 01: +0,4.823,13
Aug 07 2014 01: +0,4.432,4
Aug 08 2014 01: +0,4.481,13
Aug 09 2014 01: +0,4.306,15
Aug 10 2014 01: +0,4.608,6
Aug 11 2014 01: +0,4.308,12
Aug 12 2014 01: +0,4.869,16
Aug 13 2014 01: +0,4.214,12
Aug 14 2014 01: +0,4.715,25
Aug 15 2014 01: +0,5.186,17
Aug 16 2014 01: +0,5.396,22
Aug 17 2014 01: +0,5.14,15
Aug 18 2014 01: +0,5.227,8
Aug 19 2014 01: +0,5.478,16
Aug 20 2014 01: +0,6.203,15
Aug 21 2014 01: +0,5.723,14
Aug 22 2014 01: +0,5.963,9
Aug 23 2014 01: +0,6.255,22
Aug 24 2014 01: +0,5.294,7
Aug 25 2014 01: +0,5.394,6
Aug 26 2014 01: +0,6.084,21
Aug 27 2014 01: +0,6.1,6
Aug 28 2014 01: +0,5.594,18
Aug 29 2014 01: +0,5.64,23
Aug 30 2014 01: +0,6.756,7
Aug 31 2014 01: +0,6.345,21
Sep 01 2014 01: +0,6.574,26
Sep 02 2014 01: +0,7.58,3
Sep 03 2014 01: +0,7.232,16
Sep 04 2014 01: +0,5.89,1
Sep 05 2014 01: +0,6.47,16
Sep 06 2014 01: +0,6.107,24
Sep 07 2014 01: +0,5.569,11
Sep 08 2014 01: +0,7.002,7
Sep 09 2014 01: +0,5.325,5
Sep 10 2014 01: +0,6.394,23
Sep 11 2014 01: +0,6.604,13
Sep 12 2014 01: +0,6.215,21
Sep 13 2014 01: +0,6.118,41
Sep 14 2014 01: +0,6.406,26
Sep 15 2014 01: +0,6.302,10
Sep 16 2014 01: +0,5.422,21
Sep 17 2014 01: +0,5.388,10
Sep 18 2014 01: +0,6.002,25
Sep 19 2014 01: +0,6.266,29
Sep 20 2014 01: +0,5.898,23
Sep 21 2014 01: +0,5.632,15
Sep 22 2014 01: +0,5.446,27
Sep 23 2014 01: +0,6.392,20
Sep 24 2014 01: +0,6.422,21
Sep 25 2014 01: +0,6.119,17
Sep 26 2014 01: +0,5.24,26
Sep 27 2014 01: +0,5.564,32
Sep 28 2014 01: +0,5.521,16
Sep 29 2014 01: +0,5.44,9
Sep 30 2014 01: +0,5.582,21
Oct 01 2014 01: +0,5.603,26
Oct 02 2014 01: +0,5.972,14
Oct 03 2014 01: +0,5.359,22
Oct 04 2014 01: +0,6.92,9
Oct 05 2014 01: +0,7.001,8
Oct 06 2014 01: +0,7.302,11
Oct 07 2014 01: +0,6.232,5
Oct 08 2014 01: +0,8.071,12
Oct 09 2014 01: +0,8.096,4
Oct 10 2014 01: +0,9.289,10
Oct 11 2014 01: +0,8.05,2
Oct 12 2014 01: +0,8.667,13
Oct 13 2014 01: +0,7.852,4
Oct 14 2014 01: +0,8.215,7
Oct 15 2014 01: +0,9.001,17
Oct 16 2014 01: +0,7.889,5
Oct 17 2014 01: +0,10.296,2
Oct 18 2014 01: +0,8.17,2
Oct 19 2014 01: +0,8.071,9
Oct 20 2014 01: +0,5.594,1
Oct 21 2014 01: +0,7.786,4
Oct 22 2014 01: +0,9.077,2
Oct 23 2014 01: +0,9.007,3
Oct 24 2014 01: +0,8.375,4
Oct 25 2014 01: +0,10.26,1
Oct 26 2014 01: +0,8.843,1
Oct 27 2014 01: +0,8.11,1
Oct 28 2014 01: +0,8.614,7
Oct 29 2014 01: +0,11.01,6
Oct 31 2014 01: +0,10.422,3
Nov 01 2014 01: +0,11.521,2
Nov 02 2014 01: +0,10.323,4
Nov 03 2014 01: +0,10.709,1
Nov 04 2014 01: +0,6.901,3
Nov 05 2014 01: +0,10.46,1
Nov 06 2014 01: +0,10.056,2
Nov 08 2014 01: +0,9.773,1
Nov 09 2014 01: +0,9.894,7
Nov 12 2014 01: +0,11.1,1
Nov 14 2014 01: +0,7.672,4
Nov 15 2014 01: +0,8.848,6
Nov 16 2014 01: +0,8.667,3
Nov 17 2014 01: +0,7.89,3
Nov 18 2014 01: +0,7.108,4
Nov 19 2014 01: +0,7.5,1
Nov 20 2014 01: +0,7.464,5
Nov 21 2014 01: +0,7.431,1
Nov 22 2014 01: +0,8.195,9
Nov 23 2014 01: +0,7.118,1
Nov 24 2014 01: +0,6.22,4
Nov 25 2014 01: +0,6.787,8
Nov 26 2014 01: +0,8.112,7
Nov 27 2014 01: +0,8.395,8
Nov 28 2014 01: +0,7.526,7
Nov 29 2014 01: +0,9.698,5
Nov 30 2014 01: +0,6.959,11
Dec 01 2014 01: +0,7.067,9
Dec 02 2014 01: +0,7.775,13
Dec 03 2014 01: +0,7.069,7
Dec 04 2014 01: +0,9.006,2
Dec 05 2014 01: +0,9.401,8
Dec 06 2014 01: +0,7.978,7
Dec 07 2014 01: +0,7.61,6
Dec 08 2014 01: +0,8.688,14
Dec 09 2014 01: +0,9.076,2
Dec 10 2014 01: +0,9.103,11
Dec 11 2014 01: +0,7.729,6
Dec 12 2014 01: +0,8.988,9
Dec 13 2014 01: +0,8.806,6
Dec 14 2014 01: +0,8.862,6
Dec 15 2014 01: +0,9.336,5
Dec 16 2014 01: +0,9.931,4
Dec 17 2014 01: +0,8.447,8
Dec 18 2014 01: +0,8.35,3
Dec 19 2014 01: +0,7.92,5
Dec 20 2014 01: +0,8.258,6
Dec 21 2014 01: +0,7.806,12
Dec 22 2014 01: +0,6.545,8
Dec 23 2014 01: +0,8.95,2
Dec 24 2014 01: +0,8.359,8
Dec 25 2014 01: +0,8.884,8
Dec 26 2014 01: +0,9.662,9
Dec 27 2014 01: +0,10.278,7
Dec 28 2014 01: +0,9.162,5
Dec 29 2014 01: +0,8.747,3
Dec 30 2014 01: +0,9.972,11
Dec 31 2014 01: +0,9.692,2
Jan 01 2015 01: +0,8.922,5
Jan 02 2015 01: +0,9.836,4
Jan 03 2015 01: +0,10.135,14
Jan 04 2015 01: +0,10.746,5
Jan 05 2015 01: +0,11.766,16
Jan 06 2015 01: +0,12.86,2
Jan 07 2015 01: +0,11.415,4
Jan 08 2015 01: +0,12.264,9
Jan 09 2015 01: +0,13.342,2
Jan 10 2015 01: +0,10.767,6
Jan 11 2015 01: +0,9.664,3
Jan 12 2015 01: +0,10.607,11
Jan 13 2015 01: +0,10.658,5
Jan 14 2015 01: +0,10.611,4
Jan 15 2015 01: +0,11.497,3
Jan 16 2015 01: +0,11.479,13
Jan 17 2015 01: +0,11.285,1
Jan 18 2015 01: +0,10.09,7
Jan 19 2015 01: +0,9.304,2
Jan 20 2015 01: +0,9.993,4
Jan 21 2015 01: +0,10.706,5
Jan 22 2015 01: +0,10.25,6
Jan 23 2015 01: +0,10.348,2
Jan 25 2015 01: +0,11.662,4
Jan 26 2015 01: +0,12.237,3
Jan 27 2015 01: +0,11.597,14
Jan 28 2015 01: +0,13.691,1
Jan 30 2015 01: +0,12.11,2
Jan 31 2015 01: +0,11.044,13
Feb 01 2015 01: +0,10.007,4
Feb 02 2015 01: +0,11.553,9
Feb 03 2015 01: +0,13.621,11
Feb 04 2015 01: +0,14.502,1
Feb 05 2015 01: +0,14.95,1
Feb 06 2015 01: +0,11.54,7
Feb 07 2015 01: +0,12.118,4
Feb 08 2015 01: +0,12.214,3
Feb 09 2015 01: +0,12.784,6
Feb 11 2015 01: +0,12.537,3
Feb 12 2015 01: +0,12.091,3
Feb 13 2015 01: +0,12.977,3
Feb 14 2015 01: +0,14.691,5
Feb 15 2015 01: +0,11.01,5
Feb 16 2015 01: +0,11.485,7
Feb 17 2015 01: +0,13.677,10
Feb 19 2015 01: +0,13.707,5
Feb 20 2015 01: +0,13.71,10
Feb 21 2015 01: +0,14.969,9
Feb 22 2015 01: +0,18.126,2
Feb 23 2015 01: +0,13.136,4
Feb 24 2015 01: +0,15.799,1
Feb 26 2015 01: +0,15.89,1
Feb 27 2015 01: +0,15.938,1
Feb 28 2015 01: +0,14.844,3
Mar 01 2015 01: +0,16.424,4
Mar 03 2015 01: +0,15.141,4
Mar 04 2015 01: +0,15.423,1
Mar 05 2015 01: +0,15.782,3
Mar 06 2015 01: +0,17.658,3
Mar 07 2015 01: +0,17.74,1
Mar 10 2015 01: +0,16.295,6
Mar 11 2015 01: +0,16.875,4
Mar 13 2015 01: +0,14.42,4
Mar 14 2015 01: +0,14.808,3
Mar 15 2015 01: +0,11.482,5
Mar 17 2015 01: +0,14.831,4
Mar 18 2015 01: +0,15.506,2
Mar 19 2015 01: +0,15.78,2
Mar 20 2015 01: +0,16.759,4
Mar 22 2015 01: +0,15.595,6
Mar 23 2015 01: +0,17.378,3
Mar 24 2015 01: +0,19.09,5
Mar 25 2015 01: +0,19.626,3
Mar 27 2015 01: +0,16.246,3
Mar 28 2015 01: +0,18.09,2
Mar 29 2015 01: +0,17.764,9
Mar 31 2015 01: +0,16.413,4
Apr 01 2015 01: +0,18.034,1
Apr 02 2015 01: +0,17.42,3
Apr 03 2015 01: +0,18.006,1
Apr 04 2015 01: +0,17.266,2
Apr 05 2015 01: +0,20.64,2
Apr 06 2015 01: +0,19.753,4
Apr 07 2015 01: +0,20.219,2
Apr 08 2015 01: +0,21.183,7
Apr 09 2015 01: +0,24.15,1
Apr 12 2015 01: +0,18.664,3
Apr 14 2015 01: +0,21.026,2
Apr 18 2015 01: +0,13.326,4
Apr 19 2015 01: +0,16.082,3
Apr 20 2015 01: +0,17.73,1
Apr 21 2015 01: +0,17.091,1
Apr 24 2015 01: +0,12.721,2
Apr 25 2015 01: +0,16.372,4
Apr 26 2015 01: +0,17.566,2
Apr 30 2015 01: +0,19.453,2
May 01 2015 01: +0,20.256,1
May 03 2015 01: +0,16.62,1
May 04 2015 01: +0,17.561,2
May 05 2015 01: +0,18.055,3
May 06 2015 01: +0,18.423,2
May 07 2015 01: +0,17.774,1
May 08 2015 01: +0,12.049,3
May 10 2015 01: +0,17.874,5
May 13 2015 01: +0,18.762,1
May 14 2015 01: +0,17.046,3
May 15 2015 01: +0,16.3,4
May 17 2015 01: +0,17.456,6
May 18 2015 01: +0,17.036,1
May 19 2015 01: +0,19.906,2
May 21 2015 01: +0,16.957,1
May 23 2015 01: +0,19.652,7
May 25 2015 01: +0,20.21,1
May 27 2015 01: +0,11.036,9
May 28 2015 01: +0,10.416,8
May 29 2015 01: +0,12.202,10
May 30 2015 01: +0,11.972,5
May 31 2015 01: +0,12.942,9
Jun 01 2015 01: +0,13.773,4
Jun 02 2015 01: +0,13.407,5
Jun 03 2015 01: +0,10.613,11
Jun 04 2015 01: +0,8.874,14
Jun 05 2015 01: +0,9.419,16
Jun 06 2015 01: +0,10.62,12
Jun 07 2015 01: +0,11.954,14
Jun 08 2015 01: +0,11.619,6
Jun 10 2015 01: +0,9.457,12
Jun 11 2015 01: +0,9.899,16
Jun 12 2015 01: +0,9.099,22
Jun 13 2015 01: +0,9.353,8
Jun 14 2015 01: +0,10.715,11
Jun 15 2015 01: +0,10.016,9
Jun 16 2015 01: +0,10.901,6
Jun 17 2015 01: +0,8.8,6
Jun 18 2015 01: +0,9.252,6
Jun 19 2015 01: +0,8.878,17
Jun 20 2015 01: +0,10.173,6
Jun 21 2015 01: +0,9.734,2
Jun 22 2015 01: +0,10.015,9
Jun 23 2015 01: +0,10.85,6
Jun 24 2015 01: +0,9.252,5
Jun 25 2015 01: +0,9.132,29
Jun 26 2015 01: +0,9.673,16
Jun 27 2015 01: +0,11.11,1
Jun 28 2015 01: +0,10.527,14
Jun 29 2015 01: +0,10.992,5
Jun 30 2015 01: +0,11.328,10
Jul 01 2015 01: +0,9.905,14
Jul 02 2015 01: +0,9.624,14
Jul 03 2015 01: +0,10.066,16
Jul 04 2015 01: +0,9.037,5
Jul 05 2015 01: +0,10.145,8
Jul 06 2015 01: +0,8.573,16
Jul 07 2015 01: +0,11.715,4
Jul 08 2015 01: +0,9.64,8
Jul 09 2015 01: +0,10.509,16
Jul 10 2015 01: +0,11.1,11
Jul 11 2015 01: +0,11.113,10
Jul 12 2015 01: +0,10.353,9
Jul 13 2015 01: +0,10.799,12
Jul 14 2015 01: +0,10.601,12
Jul 15 2015 01: +0,9.652,14
Jul 16 2015 01: +0,9.546,20
Jul 17 2015 01: +0,10.401,16
Jul 18 2015 01: +0,11.442,7
Jul 19 2015 01: +0,11.211,8
Jul 20 2015 01: +0,10.683,15
Jul 21 2015 01: +0,11.027,5
Jul 22 2015 01: +0,10.092,9
Jul 23 2015 01: +0,9.105,13
Jul 24 2015 01: +0,9.941,9
Jul 25 2015 01: +0,9.951,9
Jul 26 2015 01: +0,10.26,7
Jul 27 2015 01: +0,10.957,6
Jul 28 2015 01: +0,10.472,5
Jul 29 2015 01: +0,9.609,20
Jul 30 2015 01: +0,10.38,16
Jul 31 2015 01: +0,9.793,10
Aug 01 2015 01: +0,10.487,6
Aug 02 2015 01: +0,10.087,14
Aug 03 2015 01: +0,10.969,4
Aug 04 2015 01: +0,11.147,11
Aug 05 2015 01: +0,10.562,4
Aug 06 2015 01: +0,9.804,9
Aug 07 2015 01: +0,9.687,11
Aug 08 2015 01: +0,10.238,22
Aug 09 2015 01: +0,9.959,5
Aug 10 2015 01: +0,10.238,11
Aug 11 2015 01: +0,9.819,3
Aug 12 2015 01: +0,9.154,12
Aug 13 2015 01: +0,8.598,12
Aug 14 2015 01: +0,8.832,6
Aug 15 2015 01: +0,7.502,7
Aug 16 2015 01: +0,8.784,9
Aug 17 2015 01: +0,8.963,12
Aug 18 2015 01: +0,10.032,4
Aug 19 2015 01: +0,8.645,17
Aug 20 2015 01: +0,7.956,19
Aug 21 2015 01: +0,8.063,12
Aug 22 2015 01: +0,9.547,11
Aug 23 2015 01: +0,8.086,6
Aug 24 2015 01: +0,9.535,15
Aug 25 2015 01: +0,9.7,10
Aug 26 2015 01: +0,8.832,16
Aug 27 2015 01: +0,9.904,27
Aug 28 2015 01: +0,10.158,12
Aug 29 2015 01: +0,10.694,9
Aug 30 2015 01: +0,10.47,10
Aug 31 2015 01: +0,10.472,4
Sep 01 2015 01: +0,10.721,11
Sep 02 2015 01: +0,11.597,5
Sep 03 2015 01: +0,9.298,23
Sep 04 2015 01: +0,10.757,19
Sep 05 2015 01: +0,10.699,18
Sep 06 2015 01: +0,10.637,4
Sep 07 2015 01: +0,10.335,14
Sep 08 2015 01: +0,10.331,11
Sep 09 2015 01: +0,11.078,13
Sep 10 2015 01: +0,10.924,12
Sep 11 2015 01: +0,10.164,13
Sep 12 2015 01: +0,10.439,12
Sep 13 2015 01: +0,10.794,20
Sep 14 2015 01: +0,10.892,7
Sep 15 2015 01: +0,11.949,12
Sep 16 2015 01: +0,11.685,7
Sep 17 2015 01: +0,9.399,10
Sep 18 2015 01: +0,9.213,14
Sep 19 2015 01: +0,9.215,19
Sep 20 2015 01: +0,9.157,16
Sep 21 2015 01: +0,9.081,12
Sep 22 2015 01: +0,9.374,17
Sep 23 2015 01: +0,8.614,14
Sep 24 2015 01: +0,8.153,21
Sep 25 2015 01: +0,8.227,13
Sep 26 2015 01: +0,7.975,19
Sep 27 2015 01: +0,7.126,15
Sep 28 2015 01: +0,7.688,17
Sep 29 2015 01: +0,8.139,21
Sep 30 2015 01: +0,7.662,18
Oct 01 2015 01: +0,7.42,25
Oct 02 2015 01: +0,8.099,24
Oct 03 2015 01: +0,8.765,8
Oct 04 2015 01: +0,8.483,12
