Apr 28 2016 01: +0,2.728,25
Apr 29 2016 01: +0,2.661,15
Apr 30 2016 01: +0,2.103,22
May 01 2016 01: +0,1.723,18
May 02 2016 01: +0,2.067,2
May 03 2016 01: +0,1.5,12
May 04 2016 01: +0,1.494,18
May 05 2016 01: +0,1.64,9
May 06 2016 01: +0,1.36,14
May 07 2016 01: +0,1.188,25
May 08 2016 01: +0,1.345,11
May 09 2016 01: +0,1.197,4
May 10 2016 01: +0,1.122,30
May 11 2016 01: +0,1.029,9
May 12 2016 01: +0,0.941,13
May 13 2016 01: +0,0.957,29
May 14 2016 01: +0,0.984,34
May 15 2016 01: +0,0.634,4
May 16 2016 01: +0,0.821,22
May 17 2016 01: +0,0.955,22
May 18 2016 01: +0,1.095,12
May 19 2016 01: +0,0.951,14
May 20 2016 01: +0,0.798,18
May 21 2016 01: +0,0.784,19
May 22 2016 01: +0,0.775,15
May 23 2016 01: +0,0.707,20
May 24 2016 01: +0,0.698,18
May 25 2016 01: +0,0.688,23
May 26 2016 01: +0,0.737,12
May 27 2016 01: +0,0.663,17
May 28 2016 01: +0,0.662,35
May 29 2016 01: +0,0.81,14
May 30 2016 01: +0,0.648,13
May 31 2016 01: +0,0.67,15
Jun 01 2016 01: +0,0.67,15
Jun 02 2016 01: +0,0.628,12
Jun 03 2016 01: +0,0.609,15
Jun 04 2016 01: +0,0.639,14
Jun 05 2016 01: +0,0.643,26
Jun 06 2016 01: +0,0.649,39
Jun 07 2016 01: +0,0.656,11
Jun 08 2016 01: +0,0.585,23
Jun 09 2016 01: +0,0.592,15
Jun 10 2016 01: +0,0.68,22
Jun 11 2016 01: +0,0.624,13
Jun 12 2016 01: +0,0.544,22
Jun 13 2016 01: +0,0.547,19
Jun 14 2016 01: +0,0.551,29
Jun 15 2016 01: +0,0.671,20
Jun 16 2016 01: +0,0.669,17
Jun 17 2016 01: +0,0.574,38
Jun 18 2016 01: +0,0.566,29
Jun 19 2016 01: +0,0.57,27
Jun 20 2016 01: +0,0.524,24
Jun 21 2016 01: +0,0.559,15
Jun 22 2016 01: +0,0.498,20
