Feb 16 2018 01: +0,1.145,348
Feb 17 2018 01: +0,0.656,405
Feb 18 2018 01: +0,0.56,396
Feb 19 2018 01: +0,0.558,360
Feb 20 2018 01: +0,0.551,295
Feb 21 2018 01: +0,0.538,268
Feb 22 2018 01: +0,0.475,342
Feb 23 2018 01: +0,0.458,314
Feb 24 2018 01: +0,0.476,318
Feb 25 2018 01: +0,0.41,399
Feb 26 2018 01: +0,0.375,303
Feb 27 2018 01: +0,0.401,306
Feb 28 2018 01: +0,0.433,149
Feb 28 2018 19: +0,0.409,23
Feb 28 2018 20: +0,0.42,13
Feb 28 2018 21: +0,0.39,15
Feb 28 2018 22: +0,0.43,11
Feb 28 2018 23: +0,0.39,7
Mar 01 2018 00: +0,0.415,12
Mar 01 2018 01: +0,0.369,9
Mar 01 2018 02: +0,0.366,6
Mar 01 2018 03: +0,0.379,4
Mar 01 2018 04: +0,0.39,9
Mar 01 2018 05: +0,0.42,10
Mar 01 2018 06: +0,0.41,13
Mar 01 2018 07: +0,0.462,10
Mar 01 2018 08: +0,0.441,2
Mar 01 2018 09: +0,0.386,7
Mar 01 2018 10: +0,0.415,10
Mar 01 2018 11: +0,0.406,15
Mar 01 2018 12: +0,0.406,10
Mar 01 2018 13: +0,0.414,6
Mar 01 2018 14: +0,0.505,21
Mar 01 2018 15: +0,0.459,4
Mar 01 2018 16: +0,0.44,23
Mar 01 2018 17: +0,0.386,20
Mar 01 2018 18: +0,0.4,14
Mar 01 2018 19: +0,0.48,31
Mar 01 2018 20: +0,0.4,10
Mar 01 2018 21: +0,0.4,15
Mar 01 2018 22: +0,0.416,11
Mar 01 2018 23: +0,0.385,8
Mar 02 2018 00: +0,0.4,13
Mar 02 2018 01: +0,0.365,15
Mar 02 2018 02: +0,0.366,2
Mar 02 2018 03: +0,0.385,6
Mar 02 2018 04: +0,0.374,9
Mar 02 2018 05: +0,0.433,11
Mar 02 2018 06: +0,0.324,2
Mar 02 2018 07: +0,0.388,15
Mar 02 2018 08: +0,0.44,4
Mar 02 2018 09: +0,0.42,4
Mar 02 2018 10: +0,0.325,2
Mar 02 2018 11: +0,0.43,24
Mar 02 2018 12: +0,0.434,6
Mar 02 2018 13: +0,0.42,10
Mar 02 2018 14: +0,0.426,1
Mar 02 2018 15: +0,0.36,10
Mar 02 2018 16: +0,0.365,14
Mar 02 2018 17: +0,0.414,16
Mar 02 2018 18: +0,0.383,10
Mar 02 2018 19: +0,0.358,12
Mar 02 2018 20: +0,0.35,16
Mar 02 2018 21: +0,0.35,15
Mar 02 2018 22: +0,0.358,21
Mar 02 2018 23: +0,0.339,9
Mar 03 2018 00: +0,0.369,11
Mar 03 2018 01: +0,0.339,11
Mar 03 2018 02: +0,0.38,30
Mar 03 2018 03: +0,0.38,15
Mar 03 2018 04: +0,0.35,12
Mar 03 2018 05: +0,0.34,9
Mar 03 2018 06: +0,0.358,10
Mar 03 2018 07: +0,0.358,6
Mar 03 2018 08: +0,0.378,9
Mar 03 2018 09: +0,0.416,13
Mar 03 2018 10: +0,0.381,3
Mar 03 2018 11: +0,0.39,6
Mar 03 2018 12: +0,0.392,14
Mar 03 2018 13: +0,0.353,24
Mar 03 2018 14: +0,0.337,15
Mar 03 2018 15: +0,0.366,18
Mar 03 2018 16: +0,0.358,14
Mar 03 2018 17: +0,0.384,25
Mar 03 2018 18: +0,0.394,27
Mar 03 2018 19: +0,0.34,19
Mar 03 2018 20: +0,0.352,16
Mar 03 2018 21: +0,0.337,20
Mar 03 2018 22: +0,0.31,9
Mar 03 2018 23: +0,0.325,14
Mar 04 2018 00: +0,0.343,25
Mar 04 2018 01: +0,0.337,17
Mar 04 2018 02: +0,0.34,15
Mar 04 2018 03: +0,0.322,11
Mar 04 2018 04: +0,0.355,16
Mar 04 2018 05: +0,0.352,11
Mar 04 2018 06: +0,0.34,11
Mar 04 2018 07: +0,0.403,19
Mar 04 2018 08: +0,0.34,5
Mar 04 2018 09: +0,0.337,3
Mar 04 2018 10: +0,0.381,10
Mar 04 2018 11: +0,0.342,8
Mar 04 2018 12: +0,0.353,22
Mar 04 2018 13: +0,0.32,15
Mar 04 2018 14: +0,0.381,9
Mar 04 2018 15: +0,0.325,8
Mar 04 2018 16: +0,0.334,15
Mar 04 2018 17: +0,0.34,11
Mar 04 2018 18: +0,0.31,15
Mar 04 2018 19: +0,0.326,14
Mar 04 2018 20: +0,0.36,39
Mar 04 2018 21: +0,0.3,8
Mar 04 2018 22: +0,0.32,13
Mar 04 2018 23: +0,0.318,6
Mar 05 2018 00: +0,0.333,15
Mar 05 2018 01: +0,0.298,6
Mar 05 2018 02: +0,0.311,7
Mar 05 2018 03: +0,0.325,10
Mar 05 2018 04: +0,0.304,4
Mar 05 2018 05: +0,0.261,6
Mar 05 2018 06: +0,0.315,6
Mar 05 2018 07: +0,0.32,18
Mar 05 2018 08: +0,0.345,3
Mar 05 2018 09: +0,0.345,8
Mar 05 2018 10: +0,0.31,9
Mar 05 2018 11: +0,0.354,23
Mar 05 2018 12: +0,0.357,16
Mar 05 2018 13: +0,0.311,11
Mar 05 2018 14: +0,0.332,5
Mar 05 2018 15: +0,0.345,31
Mar 05 2018 16: +0,0.296,9
Mar 05 2018 17: +0,0.32,13
Mar 05 2018 18: +0,0.3,21
Mar 05 2018 19: +0,0.308,23
Mar 05 2018 20: +0,0.314,19
Mar 05 2018 21: +0,0.276,7
Mar 05 2018 22: +0,0.31,17
Mar 05 2018 23: +0,0.269,12
Mar 06 2018 00: +0,0.308,13
Mar 06 2018 01: +0,0.32,34
Mar 06 2018 02: +0,0.31,13
Mar 06 2018 03: +0,0.323,5
Mar 06 2018 04: +0,0.288,1
Mar 06 2018 05: +0,0.32,15
Mar 06 2018 06: +0,0.333,11
Mar 06 2018 07: +0,0.27,4
Mar 06 2018 08: +0,0.31,7
Mar 06 2018 09: +0,0.32,5
Mar 06 2018 10: +0,0.294,8
Mar 06 2018 11: +0,0.319,12
Mar 06 2018 12: +0,0.353,9
Mar 06 2018 13: +0,0.319,8
Mar 06 2018 14: +0,0.305,10
Mar 06 2018 15: +0,0.325,17
Mar 06 2018 16: +0,0.285,17
Mar 06 2018 17: +0,0.293,24
Mar 06 2018 18: +0,0.297,14
Mar 06 2018 19: +0,0.31,24
Mar 06 2018 20: +0,0.27,13
Mar 06 2018 21: +0,0.308,17
Mar 06 2018 22: +0,0.282,12
Mar 06 2018 23: +0,0.265,7
Mar 07 2018 00: +0,0.28,7
Mar 07 2018 01: +0,0.278,9
Mar 07 2018 02: +0,0.264,6
Mar 07 2018 03: +0,0.276,5
Mar 07 2018 04: +0,0.253,2
Mar 07 2018 05: +0,0.285,5
Mar 07 2018 06: +0,0.326,9
Mar 07 2018 07: +0,0.303,7
Mar 07 2018 08: +0,0.285,10
Mar 07 2018 09: +0,0.253,5
Mar 07 2018 10: +0,0.311,4
Mar 07 2018 11: +0,0.321,12
Mar 07 2018 12: +0,0.309,9
Mar 07 2018 13: +0,0.31,16
Mar 07 2018 14: +0,0.321,6
Mar 07 2018 15: +0,0.324,9
Mar 07 2018 16: +0,0.278,18
Mar 07 2018 17: +0,0.278,10
Mar 07 2018 18: +0,0.293,17
Mar 07 2018 19: +0,0.278,13
Mar 07 2018 20: +0,0.271,16
Mar 07 2018 21: +0,0.276,18
Mar 07 2018 22: +0,0.29,17
Mar 07 2018 23: +0,0.314,35
Mar 08 2018 00: +0,0.31,8
Mar 08 2018 01: +0,0.286,7
Mar 08 2018 02: +0,0.269,9
Mar 08 2018 03: +0,0.279,10
Mar 08 2018 04: +0,0.309,2
Mar 08 2018 05: +0,0.285,7
Mar 08 2018 06: +0,0.314,15
Mar 08 2018 07: +0,0.293,4
Mar 08 2018 08: +0,0.31,7
Mar 08 2018 09: +0,0.309,1
Mar 08 2018 10: +0,0.264,6
Mar 08 2018 11: +0,0.288,7
Mar 08 2018 12: +0,0.26,12
Mar 08 2018 13: +0,0.271,9
Mar 08 2018 14: +0,0.285,15
Mar 08 2018 15: +0,0.305,10
Mar 08 2018 16: +0,0.26,7
Mar 08 2018 17: +0,0.285,11
Mar 08 2018 18: +0,0.271,24
Mar 08 2018 19: +0,0.26,13
Mar 08 2018 20: +0,0.266,18
Mar 08 2018 21: +0,0.26,13
Mar 08 2018 22: +0,0.281,16
Mar 08 2018 23: +0,0.25,9
Mar 09 2018 00: +0,0.268,13
Mar 09 2018 01: +0,0.256,9
Mar 09 2018 02: +0,0.253,9
Mar 09 2018 03: +0,0.279,11
Mar 09 2018 04: +0,0.286,2
Mar 09 2018 05: +0,0.275,16
Mar 09 2018 06: +0,0.26,7
Mar 09 2018 07: +0,0.275,18
Mar 09 2018 08: +0,0.221,2
Mar 09 2018 09: +0,0.2,6
Mar 09 2018 10: +0,0.254,4
Mar 09 2018 11: +0,0.251,8
Mar 09 2018 12: +0,0.284,16
Mar 09 2018 13: +0,0.256,8
Mar 09 2018 14: +0,0.297,11
Mar 09 2018 15: +0,0.257,10
Mar 09 2018 16: +0,0.265,11
Mar 09 2018 17: +0,0.29,19
Mar 09 2018 18: +0,0.284,12
Mar 09 2018 19: +0,0.259,10
Mar 09 2018 20: +0,0.277,8
Mar 09 2018 21: +0,0.284,17
Mar 09 2018 22: +0,0.255,12
Mar 09 2018 23: +0,0.254,20
Mar 10 2018 00: +0,0.26,5
Mar 10 2018 01: +0,0.295,7
Mar 10 2018 02: +0,0.238,2
Mar 10 2018 03: +0,0.2,5
Mar 10 2018 04: +0,0.243,11
Mar 10 2018 05: +0,0.258,12
Mar 10 2018 06: +0,0.281,18
Mar 10 2018 07: +0,0.268,2
Mar 10 2018 08: +0,0.25,5
Mar 10 2018 09: +0,0.286,10
Mar 10 2018 10: +0,0.298,9
Mar 10 2018 11: +0,0.298,6
Mar 10 2018 12: +0,0.283,6
Mar 10 2018 13: +0,0.254,5
Mar 10 2018 14: +0,0.281,14
Mar 10 2018 15: +0,0.282,19
Mar 10 2018 16: +0,0.29,11
Mar 10 2018 17: +0,0.269,5
Mar 10 2018 18: +0,0.275,12
Mar 10 2018 19: +0,0.28,13
Mar 10 2018 20: +0,0.269,12
Mar 10 2018 21: +0,0.233,13
Mar 10 2018 22: +0,0.246,15
Mar 10 2018 23: +0,0.254,11
Mar 11 2018 00: +0,0.246,14
Mar 11 2018 01: +0,0.233,9
Mar 11 2018 02: +0,0.243,8
Mar 11 2018 03: +0,0.282,26
Mar 11 2018 04: +0,0.28,12
Mar 11 2018 05: +0,0.254,3
Mar 11 2018 06: +0,0.286,12
Mar 11 2018 07: +0,0.28,8
Mar 11 2018 08: +0,0.275,10
Mar 11 2018 09: +0,0.285,11
Mar 11 2018 10: +0,0.249,9
Mar 11 2018 11: +0,0.276,9
Mar 11 2018 12: +0,0.249,10
Mar 11 2018 13: +0,0.233,16
Mar 11 2018 14: +0,0.233,19
Mar 11 2018 15: +0,0.246,18
Mar 11 2018 16: +0,0.249,28
Mar 11 2018 17: +0,0.248,6
Mar 11 2018 18: +0,0.262,13
Mar 11 2018 19: +0,0.261,28
Mar 11 2018 20: +0,0.233,26
Mar 11 2018 21: +0,0.246,15
Mar 11 2018 22: +0,0.254,23
Mar 11 2018 23: +0,0.251,8
