Sep 18 2015 01: +0,0.547,1962
Sep 19 2015 01: +0,0.317,1891
Sep 20 2015 01: +0,0.251,1925
Sep 21 2015 01: +0,0.232,1316
Sep 22 2015 01: +0,0.209,1361
Sep 23 2015 01: +0,0.189,1318
Sep 24 2015 01: +0,0.184,1236
Sep 25 2015 01: +0,0.174,1336
Sep 26 2015 01: +0,0.169,1724
Sep 27 2015 01: +0,0.149,1736
Sep 28 2015 01: +0,0.135,1401
Sep 29 2015 01: +0,0.133,1191
Sep 30 2015 01: +0,0.135,1292
Oct 01 2015 01: +0,0.134,1239
Oct 02 2015 01: +0,0.129,1478
Oct 03 2015 01: +0,0.129,1412
Oct 04 2015 01: +0,0.123,1290
Oct 05 2015 01: +0,0.116,1079
Oct 06 2015 01: +0,0.117,1073
Oct 07 2015 01: +0,0.116,1034
Oct 08 2015 01: +0,0.115,1199
Oct 09 2015 01: +0,0.11,1286
Oct 10 2015 01: +0,0.108,1183
Oct 11 2015 01: +0,0.11,1341
Oct 12 2015 01: +0,0.102,1163
Oct 13 2015 01: +0,0.098,976
Oct 14 2015 01: +0,0.099,1111
Oct 15 2015 01: +0,0.096,1046
Oct 16 2015 01: +0,0.091,1095
Oct 17 2015 01: +0,0.098,1302
Oct 18 2015 01: +0,0.092,1289
Oct 19 2015 01: +0,0.086,894
Oct 20 2015 01: +0,0.087,1013
Oct 21 2015 01: +0,0.078,1108
Oct 22 2015 01: +0,0.075,905
Oct 23 2015 01: +0,0.077,1258
Oct 24 2015 01: +0,0.077,1323
Oct 25 2015 01: +0,0.079,1238
Oct 26 2015 01: +0,0.076,1157
Oct 27 2015 01: +0,0.076,1058
Oct 28 2015 01: +0,0.073,1152
Oct 29 2015 01: +0,0.072,1018
Oct 30 2015 01: +0,0.069,1269
Oct 31 2015 01: +0,0.069,1234
Nov 01 2015 01: +0,0.063,1355
Nov 02 2015 01: +0,0.067,1216
Nov 03 2015 01: +0,0.068,1086
Nov 04 2015 01: +0,0.077,1197
Nov 05 2015 01: +0,0.074,1053
Nov 06 2015 01: +0,0.079,1135
Nov 07 2015 01: +0,0.076,1359
Nov 08 2015 01: +0,0.078,1338
Nov 09 2015 01: +0,0.075,1042
Nov 10 2015 01: +0,0.073,969
Nov 11 2015 01: +0,0.078,971
Nov 12 2015 01: +0,0.075,928
Nov 13 2015 01: +0,0.079,1293
Nov 14 2015 01: +0,0.075,1207
Nov 15 2015 01: +0,0.074,1264
Nov 16 2015 01: +0,0.07,928
Nov 17 2015 01: +0,0.071,1019
Nov 18 2015 01: +0,0.067,940
Nov 19 2015 01: +0,0.071,1055
Nov 20 2015 01: +0,0.071,1134
Nov 21 2015 01: +0,0.071,1316
Nov 22 2015 01: +0,0.062,660
Nov 23 2015 01: +0,0.058,958
Nov 24 2015 01: +0,0.067,1266
Nov 25 2015 01: +0,0.071,1255
Nov 26 2015 01: +0,0.062,868
Nov 27 2015 01: +0,0.059,1086
Nov 28 2015 01: +0,0.058,1295
Nov 29 2015 01: +0,0.057,1290
Nov 30 2015 01: +0,0.058,1001
Dec 01 2015 01: +0,0.062,943
Dec 02 2015 01: +0,0.066,940
Dec 03 2015 01: +0,0.068,1030
Dec 04 2015 01: +0,0.074,1304
Dec 05 2015 01: +0,0.073,1101
Dec 06 2015 01: +0,0.073,1173
Dec 07 2015 01: +0,0.074,1040
Dec 08 2015 01: +0,0.075,1029
Dec 09 2015 01: +0,0.07,1074
Dec 10 2015 01: +0,0.073,1200
Dec 11 2015 01: +0,0.077,1145
Dec 12 2015 01: +0,0.077,1391
Dec 13 2015 01: +0,0.078,1187
Dec 14 2015 01: +0,0.08,949
Dec 15 2015 01: +0,0.082,837
Dec 16 2015 01: +0,0.081,917
Dec 17 2015 01: +0,0.08,857
Dec 18 2015 01: +0,0.078,894
Dec 19 2015 01: +0,0.077,1088
Dec 20 2015 01: +0,0.074,998
Dec 21 2015 01: +0,0.072,913
Dec 22 2015 01: +0,0.069,828
Dec 23 2015 01: +0,0.056,842
Dec 24 2015 01: +0,0.054,874
Dec 25 2015 01: +0,0.055,889
Dec 26 2015 01: +0,0.06,1220
Dec 27 2015 01: +0,0.061,1139
Dec 28 2015 01: +0,0.062,1127
Dec 29 2015 01: +0,0.062,1157
Dec 30 2015 01: +0,0.063,943
Dec 31 2015 01: +0,0.064,983
Jan 01 2016 01: +0,0.063,1038
Jan 02 2016 01: +0,0.063,1113
Jan 03 2016 01: +0,0.058,981
Jan 04 2016 01: +0,0.061,961
Jan 05 2016 01: +0,0.065,930
Jan 06 2016 01: +0,0.067,1040
Jan 07 2016 01: +0,0.067,829
Jan 08 2016 01: +0,0.069,885
Jan 09 2016 01: +0,0.071,1013
Jan 10 2016 01: +0,0.07,890
Jan 11 2016 01: +0,0.067,740
Jan 12 2016 01: +0,0.072,780
Jan 13 2016 01: +0,0.074,791
Jan 14 2016 01: +0,0.073,755
Jan 15 2016 01: +0,0.074,741
Jan 16 2016 01: +0,0.072,1020
Jan 17 2016 01: +0,0.07,945
Jan 18 2016 01: +0,0.072,757
Jan 19 2016 01: +0,0.07,693
Jan 20 2016 01: +0,0.072,667
Jan 21 2016 01: +0,0.071,689
Jan 22 2016 01: +0,0.075,733
Jan 23 2016 01: +0,0.075,962
Jan 24 2016 01: +0,0.077,939
Jan 25 2016 01: +0,0.073,590
Jan 26 2016 01: +0,0.076,830
Jan 27 2016 01: +0,0.078,759
Jan 28 2016 01: +0,0.073,664
Jan 29 2016 01: +0,0.076,731
Jan 30 2016 01: +0,0.077,954
Jan 31 2016 01: +0,0.077,835
Feb 01 2016 01: +0,0.076,615
Feb 02 2016 01: +0,0.073,738
Feb 03 2016 01: +0,0.073,750
Feb 04 2016 01: +0,0.076,765
Feb 05 2016 01: +0,0.073,633
Feb 06 2016 01: +0,0.07,906
Feb 07 2016 01: +0,0.06,733
Feb 08 2016 01: +0,0.061,627
Feb 09 2016 01: +0,0.066,708
Feb 10 2016 01: +0,0.06,607
Feb 11 2016 01: +0,0.063,730
Feb 12 2016 01: +0,0.063,609
Feb 13 2016 01: +0,0.069,841
Feb 14 2016 01: +0,0.068,855
Feb 15 2016 01: +0,0.07,763
Feb 16 2016 01: +0,0.068,571
Feb 17 2016 01: +0,0.071,816
Feb 18 2016 01: +0,0.061,747
Feb 19 2016 01: +0,0.061,945
Feb 20 2016 01: +0,0.065,1204
Feb 21 2016 01: +0,0.07,1037
Feb 22 2016 01: +0,0.069,882
Feb 23 2016 01: +0,0.073,832
Feb 24 2016 01: +0,0.071,841
Feb 25 2016 01: +0,0.074,883
Feb 26 2016 01: +0,0.074,862
Feb 27 2016 01: +0,0.07,919
Feb 28 2016 01: +0,0.076,800
Feb 29 2016 01: +0,0.071,724
Mar 01 2016 01: +0,0.069,746
Mar 02 2016 01: +0,0.069,631
Mar 03 2016 01: +0,0.071,683
Mar 04 2016 01: +0,0.074,1163
Mar 05 2016 01: +0,0.075,942
Mar 06 2016 01: +0,0.072,809
Mar 07 2016 01: +0,0.071,627
Mar 08 2016 01: +0,0.074,576
Mar 09 2016 01: +0,0.073,548
Mar 10 2016 01: +0,0.082,462
Mar 11 2016 01: +0,0.082,424
Mar 12 2016 01: +0,0.086,541
Mar 13 2016 01: +0,0.088,345
Mar 14 2016 01: +0,0.086,490
Mar 15 2016 01: +0,0.087,387
Mar 16 2016 01: +0,0.087,442
Mar 17 2016 01: +0,0.088,437
Mar 18 2016 01: +0,0.085,382
Mar 19 2016 01: +0,0.088,340
Mar 20 2016 01: +0,0.089,442
Mar 21 2016 01: +0,0.089,364
Mar 22 2016 01: +0,0.087,281
Mar 23 2016 01: +0,0.093,637
Mar 24 2016 01: +0,0.089,330
Mar 25 2016 01: +0,0.09,641
Mar 26 2016 01: +0,0.092,406
Mar 27 2016 01: +0,0.091,509
Mar 28 2016 01: +0,0.085,359
Mar 29 2016 01: +0,0.081,390
Mar 30 2016 01: +0,0.084,415
Mar 31 2016 01: +0,0.086,482
Apr 01 2016 01: +0,0.086,582
Apr 02 2016 01: +0,0.09,730
Apr 03 2016 01: +0,0.082,627
Apr 04 2016 01: +0,0.079,418
Apr 05 2016 01: +0,0.09,390
Apr 06 2016 01: +0,0.088,351
Apr 07 2016 01: +0,0.092,342
Apr 08 2016 01: +0,0.093,389
Apr 09 2016 01: +0,0.092,487
Apr 10 2016 01: +0,0.092,485
Apr 11 2016 01: +0,0.09,328
Apr 12 2016 01: +0,0.088,323
Apr 13 2016 01: +0,0.091,481
Apr 14 2016 01: +0,0.088,398
Apr 15 2016 01: +0,0.092,347
Apr 16 2016 01: +0,0.095,478
Apr 17 2016 01: +0,0.09,457
Apr 18 2016 01: +0,0.09,400
Apr 19 2016 01: +0,0.087,328
Apr 20 2016 01: +0,0.092,314
Apr 21 2016 01: +0,0.092,511
Apr 22 2016 01: +0,0.092,377
Apr 23 2016 01: +0,0.092,378
Apr 24 2016 01: +0,0.086,422
Apr 25 2016 01: +0,0.091,373
Apr 26 2016 01: +0,0.09,319
Apr 27 2016 01: +0,0.089,347
Apr 28 2016 01: +0,0.088,402
Apr 29 2016 01: +0,0.092,535
Apr 30 2016 01: +0,0.089,491
May 01 2016 01: +0,0.096,587
May 02 2016 01: +0,0.093,390
May 03 2016 01: +0,0.095,399
May 04 2016 01: +0,0.093,476
May 05 2016 01: +0,0.098,424
May 06 2016 01: +0,0.095,396
May 07 2016 01: +0,0.097,459
May 08 2016 01: +0,0.094,396
May 09 2016 01: +0,0.092,387
May 10 2016 01: +0,0.093,343
May 11 2016 01: +0,0.091,389
May 12 2016 01: +0,0.096,313
May 13 2016 01: +0,0.093,363
May 14 2016 01: +0,0.09,368
May 15 2016 01: +0,0.091,543
May 16 2016 01: +0,0.092,481
May 17 2016 01: +0,0.086,286
May 18 2016 01: +0,0.087,362
May 19 2016 01: +0,0.085,328
May 20 2016 01: +0,0.08,388
May 21 2016 01: +0,0.08,401
May 22 2016 01: +0,0.085,513
May 23 2016 01: +0,0.086,365
May 24 2016 01: +0,0.083,308
May 25 2016 01: +0,0.082,277
May 26 2016 01: +0,0.078,245
May 27 2016 01: +0,0.08,323
May 28 2016 01: +0,0.081,338
May 29 2016 01: +0,0.084,432
May 30 2016 01: +0,0.081,287
May 31 2016 01: +0,0.08,345
Jun 01 2016 01: +0,0.078,247
Jun 02 2016 01: +0,0.077,300
Jun 03 2016 01: +0,0.08,427
Jun 04 2016 01: +0,0.077,415
Jun 05 2016 01: +0,0.076,497
Jun 06 2016 01: +0,0.079,377
Jun 07 2016 01: +0,0.077,266
Jun 08 2016 01: +0,0.076,272
Jun 09 2016 01: +0,0.077,333
Jun 10 2016 01: +0,0.076,285
Jun 11 2016 01: +0,0.076,298
Jun 12 2016 01: +0,0.079,311
Jun 13 2016 01: +0,0.079,236
Jun 14 2016 01: +0,0.073,236
Jun 15 2016 01: +0,0.079,309
Jun 16 2016 01: +0,0.078,356
Jun 17 2016 01: +0,0.079,484
Jun 18 2016 01: +0,0.079,495
Jun 19 2016 01: +0,0.082,568
Jun 20 2016 01: +0,0.082,378
Jun 21 2016 01: +0,0.083,420
Jun 22 2016 01: +0,0.085,329
Jun 23 2016 01: +0,0.075,362
Jun 24 2016 01: +0,0.065,377
Jun 25 2016 01: +0,0.064,412
Jun 26 2016 01: +0,0.066,421
Jun 27 2016 01: +0,0.066,354
Jun 28 2016 01: +0,0.065,470
Jun 29 2016 01: +0,0.069,408
Jun 30 2016 01: +0,0.066,400
Jul 01 2016 01: +0,0.067,372
Jul 02 2016 01: +0,0.071,354
Jul 03 2016 01: +0,0.07,385
Jul 04 2016 01: +0,0.073,375
Jul 05 2016 01: +0,0.076,524
Jul 06 2016 01: +0,0.074,449
Jul 07 2016 01: +0,0.078,383
Jul 08 2016 01: +0,0.08,435
Jul 09 2016 01: +0,0.085,396
Jul 10 2016 01: +0,0.077,340
Jul 11 2016 01: +0,0.075,413
Jul 12 2016 01: +0,0.08,345
Jul 13 2016 01: +0,0.088,396
Jul 14 2016 01: +0,0.084,351
Jul 15 2016 01: +0,0.088,411
Jul 16 2016 01: +0,0.088,505
Jul 17 2016 01: +0,0.091,400
Jul 18 2016 01: +0,0.09,417
Jul 19 2016 01: +0,0.089,346
Jul 20 2016 01: +0,0.093,358
Jul 21 2016 01: +0,0.09,277
Jul 22 2016 01: +0,0.094,297
Jul 23 2016 01: +0,0.095,241
Jul 24 2016 01: +0,0.094,275
Jul 25 2016 01: +0,0.096,287
Jul 26 2016 01: +0,0.092,295
Jul 27 2016 01: +0,0.095,398
Jul 28 2016 01: +0,0.098,369
Jul 29 2016 01: +0,0.092,276
Jul 30 2016 01: +0,0.094,353
Jul 31 2016 01: +0,0.094,382
Aug 01 2016 01: +0,0.096,282
Aug 02 2016 01: +0,0.099,348
Aug 03 2016 01: +0,0.099,459
Aug 04 2016 01: +0,0.097,352
Aug 05 2016 01: +0,0.093,305
Aug 06 2016 01: +0,0.094,263
Aug 07 2016 01: +0,0.093,253
Aug 08 2016 01: +0,0.09,291
Aug 09 2016 01: +0,0.091,226
Aug 10 2016 01: +0,0.091,294
Aug 11 2016 01: +0,0.09,254
Aug 12 2016 01: +0,0.089,269
Aug 13 2016 01: +0,0.088,323
Aug 14 2016 01: +0,0.089,321
Aug 15 2016 01: +0,0.091,332
Aug 16 2016 01: +0,0.089,236
