Sep 15 2017 01: +0,4.034,68
Sep 16 2017 01: +0,3.347,76
Sep 17 2017 01: +0,3.028,48
Sep 18 2017 01: +0,2.492,55
Sep 19 2017 01: +0,3.419,60
Sep 20 2017 01: +0,2.749,31
Sep 21 2017 01: +0,2.565,46
Sep 22 2017 01: +0,2.317,46
Sep 23 2017 01: +0,2.156,83
Sep 24 2017 01: +0,1.933,70
Sep 25 2017 01: +0,1.803,71
Sep 26 2017 01: +0,1.82,55
Sep 27 2017 01: +0,1.828,40
Sep 28 2017 01: +0,1.8,42
Sep 29 2017 01: +0,1.787,47
Sep 30 2017 01: +0,1.676,53
Oct 01 2017 01: +0,1.717,64
Oct 02 2017 01: +0,1.91,30
Oct 03 2017 01: +0,1.746,46
Oct 04 2017 01: +0,1.748,38
Oct 05 2017 01: +0,1.598,53
Oct 06 2017 01: +0,1.794,56
Oct 07 2017 01: +0,1.744,61
Oct 08 2017 01: +0,1.589,64
Oct 09 2017 01: +0,1.556,38
Oct 10 2017 01: +0,1.503,40
Oct 11 2017 01: +0,1.451,57
Oct 12 2017 01: +0,1.448,44
Oct 13 2017 01: +0,1.491,54
Oct 14 2017 01: +0,1.434,55
Oct 15 2017 01: +0,1.521,49
Oct 16 2017 01: +0,1.407,46
Oct 17 2017 01: +0,1.423,45
Oct 18 2017 01: +0,1.425,44
Oct 19 2017 01: +0,1.317,50
Oct 20 2017 01: +0,1.297,42
Oct 21 2017 01: +0,1.299,49
Oct 22 2017 01: +0,1.314,73
Oct 23 2017 01: +0,1.25,58
Oct 24 2017 01: +0,1.209,50
Oct 25 2017 01: +0,1.196,55
Oct 26 2017 01: +0,1.22,37
Oct 27 2017 01: +0,1.153,36
Oct 28 2017 01: +0,1.248,54
Oct 29 2017 01: +0,1.267,58
Oct 30 2017 01: +0,1.206,47
Oct 31 2017 01: +0,1.287,48
Nov 01 2017 01: +0,1.159,31
Nov 02 2017 01: +0,1.127,28
Nov 03 2017 01: +0,1.236,65
Nov 04 2017 01: +0,1.2,39
Nov 05 2017 01: +0,1.19,38
Nov 06 2017 01: +0,1.153,32
Nov 07 2017 01: +0,1.177,40
Nov 08 2017 01: +0,1.096,37
Nov 09 2017 01: +0,1.157,25
Nov 10 2017 01: +0,1.167,43
Nov 11 2017 01: +0,1.091,41
Nov 12 2017 01: +0,1.057,51
Nov 13 2017 01: +0,1.143,40
Nov 14 2017 01: +0,1.159,64
Nov 15 2017 01: +0,1.151,40
Nov 16 2017 01: +0,1.149,33
Nov 17 2017 01: +0,1.09,52
Nov 18 2017 01: +0,1.095,43
Nov 19 2017 01: +0,1.115,35
Nov 20 2017 01: +0,1.092,42
Nov 21 2017 01: +0,1.16,21
Nov 22 2017 01: +0,1.067,37
Nov 23 2017 01: +0,1.086,33
Nov 24 2017 01: +0,1.05,44
Nov 25 2017 01: +0,1.045,41
Nov 26 2017 01: +0,0.987,43
Nov 27 2017 01: +0,0.994,31
Nov 28 2017 01: +0,0.945,38
Nov 29 2017 01: +0,0.983,41
Nov 30 2017 01: +0,0.995,55
Dec 01 2017 01: +0,1.05,54
Dec 02 2017 01: +0,1.061,39
Dec 03 2017 01: +0,1.014,49
Dec 04 2017 01: +0,1.026,34
Dec 05 2017 01: +0,1.016,23
Dec 06 2017 01: +0,0.994,33
Dec 07 2017 01: +0,1.081,88
Dec 08 2017 01: +0,1.046,50
Dec 09 2017 01: +0,1.11,43
Dec 10 2017 01: +0,1.093,27
Dec 11 2017 01: +0,0.923,46
Dec 12 2017 01: +0,1.014,36
Dec 13 2017 01: +0,0.976,38
Dec 14 2017 01: +0,1.018,41
Dec 15 2017 01: +0,1.031,39
Dec 16 2017 01: +0,1.048,43
Dec 17 2017 01: +0,1.084,32
Dec 18 2017 01: +0,1.073,47
Dec 19 2017 01: +0,1.027,38
Dec 20 2017 01: +0,1.016,35
Dec 21 2017 01: +0,1.001,40
Dec 22 2017 01: +0,0.981,53
Dec 23 2017 01: +0,0.945,36
Dec 24 2017 01: +0,0.938,39
Dec 25 2017 01: +0,0.959,69
Dec 26 2017 01: +0,0.947,55
Dec 27 2017 01: +0,0.982,67
Dec 28 2017 01: +0,0.998,91
Dec 29 2017 01: +0,0.998,80
Dec 30 2017 01: +0,0.941,49
Dec 31 2017 01: +0,1.015,40
Jan 01 2018 01: +0,0.953,51
Jan 02 2018 01: +0,1.003,71
Jan 03 2018 01: +0,0.992,45
Jan 04 2018 01: +0,1.051,63
Jan 05 2018 01: +0,1.017,36
Jan 06 2018 01: +0,1.006,42
Jan 07 2018 01: +0,1.051,54
Jan 08 2018 01: +0,1.121,98
Jan 09 2018 01: +0,0.975,37
Jan 10 2018 01: +0,0.943,54
Jan 11 2018 01: +0,0.967,64
Jan 12 2018 01: +0,0.946,56
Jan 13 2018 01: +0,0.937,52
Jan 14 2018 01: +0,1.049,70
Jan 15 2018 01: +0,1.01,48
Jan 16 2018 01: +0,0.968,82
Jan 17 2018 01: +0,1.03,39
Jan 18 2018 01: +0,0.966,32
Jan 19 2018 01: +0,0.929,53
Jan 20 2018 01: +0,0.965,67
Jan 21 2018 01: +0,0.936,44
Jan 22 2018 01: +0,0.926,82
Jan 23 2018 01: +0,0.959,61
Jan 24 2018 01: +0,0.963,61
Jan 25 2018 01: +0,0.941,59
Jan 26 2018 01: +0,0.943,53
Jan 27 2018 01: +0,0.888,80
Jan 28 2018 01: +0,0.882,44
Jan 29 2018 01: +0,0.899,44
Jan 30 2018 01: +0,0.9,55
Jan 31 2018 01: +0,0.92,42
Feb 01 2018 01: +0,0.915,59
Feb 02 2018 01: +0,0.951,88
Feb 03 2018 01: +0,0.906,52
Feb 04 2018 01: +0,0.921,56
Feb 05 2018 01: +0,0.903,52
Feb 06 2018 01: +0,0.913,55
Feb 07 2018 01: +0,0.946,54
Feb 08 2018 01: +0,0.889,52
Feb 09 2018 01: +0,0.947,57
Feb 10 2018 01: +0,0.952,38
Feb 11 2018 01: +0,0.92,41
Feb 12 2018 01: +0,0.938,41
Feb 13 2018 01: +0,0.952,51
Feb 14 2018 01: +0,0.942,48
Feb 15 2018 01: +0,0.98,51
Feb 16 2018 01: +0,0.914,80
Feb 17 2018 01: +0,0.959,72
Feb 18 2018 01: +0,0.84,82
Feb 19 2018 01: +0,0.878,62
Feb 20 2018 01: +0,0.876,67
Feb 21 2018 01: +0,0.917,51
Feb 22 2018 01: +0,0.92,49
Feb 23 2018 01: +0,0.888,67
Feb 24 2018 01: +0,0.879,53
Feb 25 2018 01: +0,0.873,47
Feb 26 2018 01: +0,0.855,51
Feb 27 2018 01: +0,0.866,52
Feb 28 2018 01: +0,0.911,46
Feb 28 2018 20: +0,0.958,3
Feb 28 2018 21: +0,0.82,3
