Jul 11 2014 01: +0,3.306,62
Jul 12 2014 01: +0,2.249,66
Jul 13 2014 01: +0,2.091,87
Jul 14 2014 01: +0,1.961,81
Jul 15 2014 01: +0,1.725,102
Jul 16 2014 01: +0,1.878,88
Jul 17 2014 01: +0,1.684,88
Jul 18 2014 01: +0,1.554,96
Jul 19 2014 01: +0,1.473,102
Jul 20 2014 01: +0,1.568,94
Jul 21 2014 01: +0,1.434,111
Jul 22 2014 01: +0,1.469,114
Jul 23 2014 01: +0,1.504,98
Jul 24 2014 01: +0,1.437,94
Jul 25 2014 01: +0,1.338,146
Jul 26 2014 01: +0,1.563,147
Jul 27 2014 01: +0,1.503,124
Jul 28 2014 01: +0,1.505,139
Jul 29 2014 01: +0,1.457,144
Jul 30 2014 01: +0,1.405,156
Jul 31 2014 01: +0,1.443,160
Aug 01 2014 01: +0,1.438,186
Aug 02 2014 01: +0,1.447,186
Aug 03 2014 01: +0,1.506,175
Aug 04 2014 01: +0,1.507,168
Aug 05 2014 01: +0,1.137,214
Aug 06 2014 01: +0,1.234,191
Aug 07 2014 01: +0,1.254,198
Aug 08 2014 01: +0,1.293,182
Aug 09 2014 01: +0,1.287,169
Aug 10 2014 01: +0,1.24,173
Aug 11 2014 01: +0,1.271,188
Aug 12 2014 01: +0,1.293,167
Aug 13 2014 01: +0,1.307,149
Aug 14 2014 01: +0,1.373,163
Aug 15 2014 01: +0,1.351,205
Aug 16 2014 01: +0,1.427,277
Aug 17 2014 01: +0,1.296,269
Aug 18 2014 01: +0,1.464,239
Aug 19 2014 01: +0,1.589,209
Aug 20 2014 01: +0,1.566,203
Aug 21 2014 01: +0,1.526,226
Aug 22 2014 01: +0,1.526,200
Aug 23 2014 01: +0,1.528,247
Aug 24 2014 01: +0,1.61,217
Aug 25 2014 01: +0,1.531,238
Aug 26 2014 01: +0,1.518,256
Aug 27 2014 01: +0,1.548,245
Aug 28 2014 01: +0,1.573,221
Aug 29 2014 01: +0,1.482,300
Aug 30 2014 01: +0,1.498,296
Aug 31 2014 01: +0,1.446,274
Sep 01 2014 01: +0,1.53,252
Sep 02 2014 01: +0,1.507,232
Sep 03 2014 01: +0,1.444,269
Sep 04 2014 01: +0,1.307,207
Sep 05 2014 01: +0,1.15,265
Sep 06 2014 01: +0,1.185,258
Sep 07 2014 01: +0,1.14,255
Sep 08 2014 01: +0,1.111,212
Sep 09 2014 01: +0,1.123,192
Sep 10 2014 01: +0,1.103,217
Sep 11 2014 01: +0,0.979,245
Sep 12 2014 01: +0,0.909,289
Sep 13 2014 01: +0,0.862,323
Sep 14 2014 01: +0,0.861,296
Sep 15 2014 01: +0,0.92,276
Sep 16 2014 01: +0,0.932,250
Sep 17 2014 01: +0,0.906,266
Sep 18 2014 01: +0,0.874,252
Sep 19 2014 01: +0,0.863,270
Sep 20 2014 01: +0,0.803,357
Sep 21 2014 01: +0,0.836,287
Sep 22 2014 01: +0,0.775,278
Sep 23 2014 01: +0,0.832,221
Sep 24 2014 01: +0,0.807,217
Sep 25 2014 01: +0,0.84,197
Sep 26 2014 01: +0,0.767,313
Sep 27 2014 01: +0,0.768,310
Sep 28 2014 01: +0,0.791,311
Sep 29 2014 01: +0,0.758,267
Sep 30 2014 01: +0,0.724,271
Oct 01 2014 01: +0,0.848,247
Oct 02 2014 01: +0,0.789,256
Oct 03 2014 01: +0,0.762,303
Oct 04 2014 01: +0,0.801,350
Oct 05 2014 01: +0,0.782,323
Oct 06 2014 01: +0,0.777,251
Oct 07 2014 01: +0,0.799,213
Oct 08 2014 01: +0,0.806,256
Oct 09 2014 01: +0,0.765,247
Oct 10 2014 01: +0,0.772,309
Oct 11 2014 01: +0,0.764,377
Oct 12 2014 01: +0,0.807,315
Oct 13 2014 01: +0,0.777,264
Oct 14 2014 01: +0,0.856,256
Oct 15 2014 01: +0,0.813,295
Oct 16 2014 01: +0,0.852,247
Oct 17 2014 01: +0,0.752,298
Oct 18 2014 01: +0,0.747,365
