Feb 18 2016 01: +0,13.198,138
Feb 19 2016 01: +0,11.289,132
Feb 20 2016 01: +0,13.435,78
Feb 21 2016 01: +0,13.021,62
Feb 22 2016 01: +0,16.661,36
Feb 23 2016 01: +0,15.107,37
Feb 24 2016 01: +0,14.748,32
Feb 25 2016 01: +0,14.088,48
Feb 26 2016 01: +0,11.792,74
Feb 27 2016 01: +0,12.265,75
Feb 28 2016 01: +0,11.547,55
Feb 29 2016 01: +0,11.787,47
Mar 01 2016 01: +0,12.433,63
Mar 02 2016 01: +0,15.063,45
Mar 03 2016 01: +0,12.834,40
Mar 04 2016 01: +0,11.617,60
Mar 05 2016 01: +0,10.561,71
Mar 06 2016 01: +0,10.129,63
Mar 07 2016 01: +0,9.661,56
Mar 08 2016 01: +0,9.518,44
Mar 09 2016 01: +0,9.092,41
Mar 10 2016 01: +0,9.316,45
Mar 11 2016 01: +0,8.904,54
Mar 12 2016 01: +0,9.4,57
Mar 13 2016 01: +0,9.444,47
Mar 14 2016 01: +0,8.406,52
Mar 15 2016 01: +0,9.311,39
Mar 16 2016 01: +0,9.811,30
Mar 17 2016 01: +0,9.325,33
Mar 18 2016 01: +0,8.996,41
Mar 19 2016 01: +0,9.063,51
Mar 20 2016 01: +0,9.336,54
Mar 21 2016 01: +0,9.207,37
Mar 22 2016 01: +0,8.468,39
Mar 23 2016 01: +0,8.347,54
Mar 24 2016 01: +0,9.03,37
Mar 25 2016 01: +0,8.025,57
Mar 26 2016 01: +0,7.502,54
Mar 27 2016 01: +0,8.499,57
Mar 28 2016 01: +0,8.773,40
Mar 29 2016 01: +0,8.755,47
Mar 30 2016 01: +0,8.474,49
Mar 31 2016 01: +0,8.58,60
Apr 01 2016 01: +0,9.04,56
Apr 02 2016 01: +0,9.136,52
Apr 03 2016 01: +0,8.692,79
Apr 04 2016 01: +0,9.809,53
Apr 05 2016 01: +0,9.45,38
Apr 06 2016 01: +0,9.189,41
Apr 07 2016 01: +0,9.056,39
Apr 08 2016 01: +0,9.233,47
Apr 09 2016 01: +0,8.849,55
Apr 10 2016 01: +0,8.904,52
Apr 11 2016 01: +0,8.638,44
Apr 12 2016 01: +0,8.683,43
Apr 13 2016 01: +0,8.321,44
Apr 14 2016 01: +0,8.335,42
Apr 15 2016 01: +0,8.314,42
