Nov 08 2013 01: +0,35.255,11
Nov 09 2013 01: +0,28.226,14
Nov 10 2013 01: +0,24.202,17
Nov 11 2013 01: +0,20.957,15
Nov 12 2013 01: +0,23.487,5
Nov 13 2013 01: +0,18.662,8
Nov 14 2013 01: +0,21.116,12
Nov 15 2013 01: +0,19.401,13
Nov 16 2013 01: +0,18.934,9
Nov 17 2013 01: +0,15.879,12
Nov 18 2013 01: +0,16.741,15
Nov 19 2013 01: +0,15.459,11
Nov 20 2013 01: +0,16.265,10
Nov 21 2013 01: +0,13.535,10
Nov 22 2013 01: +0,15.159,10
Nov 23 2013 01: +0,15.353,12
Nov 24 2013 01: +0,14.103,11
Nov 25 2013 01: +0,13.389,15
Nov 26 2013 01: +0,12.433,15
Nov 27 2013 01: +0,13.018,15
Nov 28 2013 01: +0,17.655,12
Nov 29 2013 01: +0,17.546,10
Nov 30 2013 01: +0,13.877,11
Dec 01 2013 01: +0,16.902,9
Dec 02 2013 01: +0,14.791,21
Dec 03 2013 01: +0,13.295,12
Dec 04 2013 01: +0,12.433,12
Dec 05 2013 01: +0,11.894,19
Dec 06 2013 01: +0,14.919,7
Dec 07 2013 01: +0,13.349,23
Dec 08 2013 01: +0,11.718,11
Dec 09 2013 01: +0,11.786,17
Dec 10 2013 01: +0,13.981,19
Dec 11 2013 01: +0,13.103,10
Dec 12 2013 01: +0,12.388,15
Dec 13 2013 01: +0,11.678,13
Dec 14 2013 01: +0,12.053,15
Dec 15 2013 01: +0,11.528,11
Dec 16 2013 01: +0,11.877,17
Dec 17 2013 01: +0,11.252,9
Dec 18 2013 01: +0,11.225,12
Dec 19 2013 01: +0,7.846,16
Dec 20 2013 01: +0,6.347,29
Dec 21 2013 01: +0,5.679,30
Dec 22 2013 01: +0,6.309,22
Dec 23 2013 01: +0,6.215,22
Dec 24 2013 01: +0,6.179,17
Dec 25 2013 01: +0,6.017,17
Dec 26 2013 01: +0,7.835,19
Dec 27 2013 01: +0,7.807,15
Dec 28 2013 01: +0,7.581,12
Dec 29 2013 01: +0,6.276,18
Dec 30 2013 01: +0,7.139,15
Dec 31 2013 01: +0,6.9,15
Jan 01 2014 01: +0,7.458,12
Jan 02 2014 01: +0,6.699,15
Jan 03 2014 01: +0,6.016,10
Jan 04 2014 01: +0,6.404,28
Jan 05 2014 01: +0,6.393,17
Jan 06 2014 01: +0,6.707,19
Jan 07 2014 01: +0,7.173,21
Jan 08 2014 01: +0,8.188,6
Jan 09 2014 01: +0,9.779,11
Jan 10 2014 01: +0,6.567,14
Jan 11 2014 01: +0,6.407,19
Jan 12 2014 01: +0,5.853,18
Jan 13 2014 01: +0,6.567,12
Jan 14 2014 01: +0,6.994,9
Jan 15 2014 01: +0,7.266,19
Jan 16 2014 01: +0,7.383,12
Jan 17 2014 01: +0,7.318,13
Jan 18 2014 01: +0,6.592,11
Jan 19 2014 01: +0,6.333,19
Jan 20 2014 01: +0,6.847,20
Jan 21 2014 01: +0,7.256,17
Jan 22 2014 01: +0,7.053,9
Jan 23 2014 01: +0,7.036,15
Jan 24 2014 01: +0,6.619,13
Jan 25 2014 01: +0,7.188,17
Jan 26 2014 01: +0,6.563,28
Jan 27 2014 01: +0,7.092,17
Jan 28 2014 01: +0,7.44,13
Jan 29 2014 01: +0,7.162,15
Jan 30 2014 01: +0,7.16,13
Jan 31 2014 01: +0,7.049,17
Feb 01 2014 01: +0,6.668,28
Feb 02 2014 01: +0,6.339,23
Feb 03 2014 01: +0,6.301,18
Feb 04 2014 01: +0,6.709,28
Feb 05 2014 01: +0,7.707,16
Feb 06 2014 01: +0,7.793,17
Feb 07 2014 01: +0,8.186,15
Feb 08 2014 01: +0,7.218,22
Feb 09 2014 01: +0,6.777,20
Feb 10 2014 01: +0,7.436,22
Feb 11 2014 01: +0,8.448,18
Feb 12 2014 01: +0,8.14,10
Feb 13 2014 01: +0,7.467,9
Feb 14 2014 01: +0,6.712,15
Feb 15 2014 01: +0,6.686,17
Feb 16 2014 01: +0,5.783,20
Feb 17 2014 01: +0,5.803,15
Feb 18 2014 01: +0,6.034,16
Feb 19 2014 01: +0,5.574,12
Feb 20 2014 01: +0,5.915,15
Feb 21 2014 01: +0,4.842,25
Feb 22 2014 01: +0,4.743,28
Feb 23 2014 01: +0,4.828,24
Feb 24 2014 01: +0,4.881,23
Feb 25 2014 01: +0,5.313,17
Feb 26 2014 01: +0,5.32,20
Feb 27 2014 01: +0,5.259,24
Feb 28 2014 01: +0,5.164,18
Mar 01 2014 01: +0,5.923,23
Mar 02 2014 01: +0,6.733,8
Mar 03 2014 01: +0,5.918,13
Mar 04 2014 01: +0,5.339,14
Mar 05 2014 01: +0,6.329,15
Mar 06 2014 01: +0,8.29,7
Mar 07 2014 01: +0,7.105,13
Mar 08 2014 01: +0,7.026,13
Mar 09 2014 01: +0,5.931,17
Mar 10 2014 01: +0,6.304,21
Mar 11 2014 01: +0,6.585,8
Mar 12 2014 01: +0,5.355,17
Mar 13 2014 01: +0,5.961,9
Mar 14 2014 01: +0,6.125,18
Mar 15 2014 01: +0,5.923,19
Mar 16 2014 01: +0,6.056,18
Mar 17 2014 01: +0,6.342,20
Mar 18 2014 01: +0,7.294,13
Mar 19 2014 01: +0,8.33,9
Mar 20 2014 01: +0,8.029,12
Mar 21 2014 01: +0,7.466,15
Mar 22 2014 01: +0,7.014,9
Mar 23 2014 01: +0,10.007,16
Mar 24 2014 01: +0,7.011,9
Mar 25 2014 01: +0,7.082,12
Mar 26 2014 01: +0,7.621,11
Mar 27 2014 01: +0,6.431,13
Mar 28 2014 01: +0,6.542,24
Mar 29 2014 01: +0,7.753,14
Mar 30 2014 01: +0,6.538,21
Mar 31 2014 01: +0,6.718,18
Apr 01 2014 01: +0,5.804,10
Apr 02 2014 01: +0,7.403,20
Apr 03 2014 01: +0,7.478,11
Apr 04 2014 01: +0,7.71,20
Apr 05 2014 01: +0,7.696,12
Apr 06 2014 01: +0,8.467,9
Apr 07 2014 01: +0,8.348,11
Apr 08 2014 01: +0,8.629,11
Apr 09 2014 01: +0,7.637,13
Apr 10 2014 01: +0,9.735,13
Apr 11 2014 01: +0,7.688,17
Apr 12 2014 01: +0,7.363,20
Apr 13 2014 01: +0,9.86,11
Apr 14 2014 01: +0,10.51,17
Apr 15 2014 01: +0,9.422,10
Apr 16 2014 01: +0,9.478,12
Apr 17 2014 01: +0,13.242,17
