Dec 19 2013 01: +0,10.059,23
Dec 20 2013 01: +0,5.045,72
Dec 21 2013 01: +0,4.167,80
Dec 22 2013 01: +0,3.856,82
Dec 23 2013 01: +0,3.822,75
Dec 24 2013 01: +0,3.377,94
Dec 25 2013 01: +0,3.622,48
Dec 26 2013 01: +0,3.36,84
Dec 27 2013 01: +0,2.935,109
Dec 28 2013 01: +0,2.829,90
Dec 29 2013 01: +0,2.697,111
Dec 30 2013 01: +0,2.433,120
Dec 31 2013 01: +0,2.414,119
Jan 01 2014 01: +0,2.38,90
Jan 02 2014 01: +0,2.253,124
Jan 03 2014 01: +0,2.103,89
Jan 04 2014 01: +0,2.28,159
Jan 05 2014 01: +0,2.193,152
Jan 06 2014 01: +0,2.122,127
Jan 07 2014 01: +0,2.107,130
Jan 08 2014 01: +0,2.013,105
Jan 09 2014 01: +0,1.957,137
Jan 10 2014 01: +0,1.988,149
Jan 11 2014 01: +0,2.02,117
Jan 12 2014 01: +0,1.757,151
Jan 13 2014 01: +0,1.694,183
Jan 14 2014 01: +0,1.701,141
Jan 15 2014 01: +0,1.708,145
Jan 16 2014 01: +0,1.718,142
Jan 17 2014 01: +0,1.628,143
Jan 18 2014 01: +0,1.628,187
Jan 19 2014 01: +0,1.707,170
Jan 20 2014 01: +0,1.629,182
Jan 21 2014 01: +0,1.593,154
Jan 22 2014 01: +0,1.564,159
Jan 23 2014 01: +0,1.533,160
Jan 24 2014 01: +0,1.5,170
Jan 25 2014 01: +0,1.548,174
Jan 26 2014 01: +0,1.469,193
Jan 27 2014 01: +0,1.39,202
Jan 28 2014 01: +0,1.369,198
Jan 29 2014 01: +0,1.356,202
Jan 30 2014 01: +0,1.352,162
Jan 31 2014 01: +0,1.371,194
Feb 01 2014 01: +0,1.352,218
Feb 02 2014 01: +0,1.338,218
Feb 03 2014 01: +0,1.261,182
Feb 04 2014 01: +0,1.265,161
Feb 05 2014 01: +0,1.105,162
Feb 06 2014 01: +0,1.106,170
Feb 07 2014 01: +0,1.076,218
Feb 08 2014 01: +0,1.047,199
Feb 09 2014 01: +0,1.023,221
Feb 10 2014 01: +0,1.007,195
Feb 11 2014 01: +0,1,182
Feb 12 2014 01: +0,0.962,189
Feb 13 2014 01: +0,0.859,180
Feb 14 2014 01: +0,0.749,211
Feb 15 2014 01: +0,0.738,233
Feb 16 2014 01: +0,0.748,269
Feb 17 2014 01: +0,0.707,211
Feb 18 2014 01: +0,0.677,193
Feb 19 2014 01: +0,0.635,187
Feb 20 2014 01: +0,0.687,193
Feb 21 2014 01: +0,0.538,235
Feb 22 2014 01: +0,0.517,307
Feb 23 2014 01: +0,0.588,314
Feb 24 2014 01: +0,0.644,242
Feb 25 2014 01: +0,0.626,228
Feb 26 2014 01: +0,0.693,255
Feb 27 2014 01: +0,0.728,227
Feb 28 2014 01: +0,0.685,313
Mar 01 2014 01: +0,0.681,311
Mar 02 2014 01: +0,0.673,308
Mar 03 2014 01: +0,0.704,244
Mar 04 2014 01: +0,0.66,216
Mar 05 2014 01: +0,0.611,221
Mar 06 2014 01: +0,0.682,269
Mar 07 2014 01: +0,0.676,297
Mar 08 2014 01: +0,0.69,303
Mar 09 2014 01: +0,0.679,299
Mar 10 2014 01: +0,0.674,282
Mar 11 2014 01: +0,0.727,256
Mar 12 2014 01: +0,0.753,218
Mar 13 2014 01: +0,0.788,181
Mar 14 2014 01: +0,0.839,247
Mar 15 2014 01: +0,0.679,380
Mar 16 2014 01: +0,0.605,405
Mar 17 2014 01: +0,0.692,283
Mar 18 2014 01: +0,0.763,279
Mar 19 2014 01: +0,0.785,303
Mar 20 2014 01: +0,0.848,294
Mar 21 2014 01: +0,0.759,297
Mar 22 2014 01: +0,0.753,386
Mar 23 2014 01: +0,0.799,330
Mar 24 2014 01: +0,0.832,294
Mar 25 2014 01: +0,0.783,245
Mar 26 2014 01: +0,0.806,297
Mar 27 2014 01: +0,0.779,283
Mar 28 2014 01: +0,0.749,322
Mar 29 2014 01: +0,0.714,379
Mar 30 2014 01: +0,0.744,380
Mar 31 2014 01: +0,0.81,275
Apr 01 2014 01: +0,0.885,187
Apr 02 2014 01: +0,0.768,299
Apr 03 2014 01: +0,0.763,294
Apr 04 2014 01: +0,0.712,374
Apr 05 2014 01: +0,0.701,369
Apr 06 2014 01: +0,0.736,380
Apr 07 2014 01: +0,0.752,332
Apr 08 2014 01: +0,0.723,287
Apr 09 2014 01: +0,0.748,279
Apr 10 2014 01: +0,0.723,319
Apr 11 2014 01: +0,0.72,417
Apr 12 2014 01: +0,0.721,347
Apr 13 2014 01: +0,0.684,342
Apr 14 2014 01: +0,0.668,379
Apr 15 2014 01: +0,0.645,359
Apr 16 2014 01: +0,0.639,389
Apr 17 2014 01: +0,0.674,429
Apr 18 2014 01: +0,0.673,339
Apr 19 2014 01: +0,0.628,406
