Aug 19 2016 01: +0,3.351,53
Aug 20 2016 01: +0,2.031,75
Aug 21 2016 01: +0,1.969,61
Aug 22 2016 01: +0,1.788,61
Aug 23 2016 01: +0,1.618,53
Aug 24 2016 01: +0,1.436,65
Aug 25 2016 01: +0,1.328,50
Aug 26 2016 01: +0,1.388,52
Aug 27 2016 01: +0,1.435,50
Aug 28 2016 01: +0,1.353,59
Aug 29 2016 01: +0,1.183,56
Aug 30 2016 01: +0,1.25,76
Aug 31 2016 01: +0,1.107,72
Sep 01 2016 01: +0,1.184,54
Sep 02 2016 01: +0,1.168,62
Sep 03 2016 01: +0,1.285,54
Sep 04 2016 01: +0,1.196,47
Sep 05 2016 01: +0,1.044,57
Sep 06 2016 01: +0,1.124,49
Sep 07 2016 01: +0,1.058,61
Sep 08 2016 01: +0,1.002,63
Sep 09 2016 01: +0,1.11,60
Sep 10 2016 01: +0,1.046,91
Sep 11 2016 01: +0,1.049,68
Sep 12 2016 01: +0,0.996,59
Sep 13 2016 01: +0,0.981,65
Sep 14 2016 01: +0,0.999,56
Sep 15 2016 01: +0,0.961,73
Sep 16 2016 01: +0,0.968,87
Sep 17 2016 01: +0,0.941,103
Sep 18 2016 01: +0,0.958,84
Sep 19 2016 01: +0,0.896,61
Sep 20 2016 01: +0,0.884,64
Sep 21 2016 01: +0,0.868,81
Sep 22 2016 01: +0,0.903,53
Sep 23 2016 01: +0,0.93,69
Sep 24 2016 01: +0,0.948,113
Sep 25 2016 01: +0,0.887,85
Sep 26 2016 01: +0,0.871,75
Sep 27 2016 01: +0,0.871,73
Sep 28 2016 01: +0,0.895,68
Sep 29 2016 01: +0,0.865,69
Sep 30 2016 01: +0,0.849,83
Oct 01 2016 01: +0,0.849,134
Oct 02 2016 01: +0,0.854,93
Oct 03 2016 01: +0,0.874,78
Oct 04 2016 01: +0,0.849,92
Oct 05 2016 01: +0,0.854,73
Oct 06 2016 01: +0,0.845,61
Oct 07 2016 01: +0,0.811,105
Oct 08 2016 01: +0,0.829,113
Oct 09 2016 01: +0,0.81,104
Oct 10 2016 01: +0,0.807,81
Oct 11 2016 01: +0,0.8,68
Oct 12 2016 01: +0,0.751,70
Oct 13 2016 01: +0,0.786,76
Oct 14 2016 01: +0,0.745,97
Oct 15 2016 01: +0,0.74,104
Oct 16 2016 01: +0,0.757,80
Oct 17 2016 01: +0,0.715,85
Oct 18 2016 01: +0,0.725,75
Oct 19 2016 01: +0,0.687,88
Oct 20 2016 01: +0,0.745,63
Oct 21 2016 01: +0,0.737,91
Oct 22 2016 01: +0,0.739,95
Oct 23 2016 01: +0,0.711,99
Oct 24 2016 01: +0,0.721,78
Oct 25 2016 01: +0,0.736,83
Oct 26 2016 01: +0,0.741,72
Oct 27 2016 01: +0,0.692,77
