Feb 18 2016 01: +0,3.351,12
Feb 19 2016 01: +0,2.995,54
Feb 20 2016 01: +0,3.07,14
Feb 21 2016 01: +0,2.813,16
Feb 22 2016 01: +0,3.603,14
Feb 23 2016 01: +0,3.753,4
Feb 24 2016 01: +0,3.563,6
Feb 25 2016 01: +0,3.196,5
Feb 26 2016 01: +0,2.819,23
Feb 27 2016 01: +0,2.554,27
Feb 28 2016 01: +0,2.398,12
Feb 29 2016 01: +0,2.239,19
Mar 01 2016 01: +0,2.513,18
Mar 02 2016 01: +0,2.893,15
Mar 03 2016 01: +0,2.413,13
Mar 04 2016 01: +0,2.448,20
Mar 05 2016 01: +0,2.135,10
Mar 06 2016 01: +0,2.05,25
Mar 07 2016 01: +0,2.244,19
Mar 08 2016 01: +0,1.925,11
Mar 09 2016 01: +0,1.743,7
Mar 10 2016 01: +0,2.027,21
Mar 11 2016 01: +0,2.186,17
Mar 12 2016 01: +0,2.377,12
Mar 13 2016 01: +0,2.552,15
Mar 14 2016 01: +0,1.938,15
Mar 15 2016 01: +0,2.147,10
Mar 16 2016 01: +0,2.333,14
Mar 17 2016 01: +0,1.985,18
Mar 18 2016 01: +0,1.979,13
Mar 19 2016 01: +0,2.256,12
Mar 20 2016 01: +0,2.089,6
Mar 21 2016 01: +0,2.143,5
Mar 22 2016 01: +0,2.19,11
Mar 23 2016 01: +0,2.02,6
Mar 24 2016 01: +0,2.012,19
Mar 25 2016 01: +0,2.131,21
Mar 26 2016 01: +0,2.164,6
Mar 27 2016 01: +0,2.15,10
Mar 28 2016 01: +0,2.202,11
Mar 29 2016 01: +0,1.919,17
Mar 30 2016 01: +0,2.031,12
Mar 31 2016 01: +0,1.921,11
Apr 01 2016 01: +0,1.899,15
Apr 02 2016 01: +0,2.176,24
Apr 03 2016 01: +0,2.063,13
Apr 04 2016 01: +0,2.138,7
Apr 05 2016 01: +0,1.971,12
Apr 06 2016 01: +0,2.026,12
Apr 07 2016 01: +0,2.029,17
Apr 08 2016 01: +0,2.049,9
Apr 09 2016 01: +0,2.155,18
Apr 10 2016 01: +0,1.994,20
Apr 11 2016 01: +0,2.149,11
Apr 12 2016 01: +0,2.031,3
Apr 13 2016 01: +0,2.008,7
Apr 14 2016 01: +0,1.903,30
Apr 15 2016 01: +0,1.733,12
Apr 16 2016 01: +0,1.91,19
Apr 17 2016 01: +0,1.903,24
Apr 18 2016 01: +0,2.053,25
Apr 19 2016 01: +0,2.039,11
Apr 20 2016 01: +0,1.902,8
Apr 21 2016 01: +0,1.881,11
Apr 22 2016 01: +0,1.922,18
Apr 23 2016 01: +0,1.941,18
Apr 24 2016 01: +0,1.777,12
Apr 25 2016 01: +0,1.796,18
Apr 26 2016 01: +0,1.857,20
Apr 27 2016 01: +0,1.995,18
Apr 28 2016 01: +0,1.875,29
Apr 29 2016 01: +0,1.881,9
Apr 30 2016 01: +0,1.867,13
May 01 2016 01: +0,1.841,10
May 02 2016 01: +0,1.856,16
May 03 2016 01: +0,1.86,16
May 04 2016 01: +0,2.01,15
May 05 2016 01: +0,1.933,8
May 06 2016 01: +0,2.029,3
May 07 2016 01: +0,1.965,10
May 08 2016 01: +0,1.776,24
May 09 2016 01: +0,1.761,7
May 10 2016 01: +0,1.97,8
May 11 2016 01: +0,1.91,6
May 12 2016 01: +0,1.75,12
May 13 2016 01: +0,1.689,16
May 14 2016 01: +0,1.766,15
May 15 2016 01: +0,1.694,18
May 16 2016 01: +0,1.801,15
May 17 2016 01: +0,1.907,3
May 18 2016 01: +0,1.718,14
May 19 2016 01: +0,1.725,1
May 20 2016 01: +0,1.839,7
May 21 2016 01: +0,1.727,11
May 22 2016 01: +0,1.589,21
May 23 2016 01: +0,1.668,12
May 24 2016 01: +0,1.545,14
May 25 2016 01: +0,1.738,8
May 26 2016 01: +0,1.663,4
May 27 2016 01: +0,1.538,5
May 28 2016 01: +0,1.693,7
May 29 2016 01: +0,1.591,6
May 30 2016 01: +0,1.58,10
May 31 2016 01: +0,1.524,9
Jun 01 2016 01: +0,1.542,18
Jun 02 2016 01: +0,1.666,20
Jun 03 2016 01: +0,1.608,9
Jun 04 2016 01: +0,1.661,9
Jun 05 2016 01: +0,1.459,9
Jun 06 2016 01: +0,1.44,7
Jun 07 2016 01: +0,1.318,8
Jun 08 2016 01: +0,1.363,16
Jun 09 2016 01: +0,1.524,12
Jun 10 2016 01: +0,1.521,4
Jun 11 2016 01: +0,1.633,8
Jun 12 2016 01: +0,1.536,9
Jun 13 2016 01: +0,1.494,20
Jun 14 2016 01: +0,1.55,15
Jun 15 2016 01: +0,1.372,1
Jun 16 2016 01: +0,1.285,12
Jun 17 2016 01: +0,1.376,13
Jun 18 2016 01: +0,1.368,15
Jun 19 2016 01: +0,1.358,17
Jun 20 2016 01: +0,1.305,11
Jun 21 2016 01: +0,1.373,15
Jun 22 2016 01: +0,1.23,11
Jun 23 2016 01: +0,1.051,15
Jun 24 2016 01: +0,0.977,15
