Dec 19 2013 01: +0,7.688,15
Dec 20 2013 01: +0,2.939,40
Dec 21 2013 01: +0,2.21,33
Dec 22 2013 01: +0,1.943,50
Dec 23 2013 01: +0,1.705,35
Dec 24 2013 01: +0,1.512,60
Dec 25 2013 01: +0,1.627,31
Dec 26 2013 01: +0,1.692,51
Dec 27 2013 01: +0,1.663,43
Dec 28 2013 01: +0,1.923,62
Dec 29 2013 01: +0,1.785,42
Dec 30 2013 01: +0,1.475,48
Dec 31 2013 01: +0,1.464,45
Jan 01 2014 01: +0,1.496,40
Jan 02 2014 01: +0,1.196,66
Jan 03 2014 01: +0,1.2,46
Jan 04 2014 01: +0,1.354,72
Jan 05 2014 01: +0,1.171,70
Jan 06 2014 01: +0,1.242,75
Jan 07 2014 01: +0,1.356,50
Jan 08 2014 01: +0,1.309,58
Jan 09 2014 01: +0,1.271,62
Jan 10 2014 01: +0,1.179,68
Jan 11 2014 01: +0,1.171,56
Jan 12 2014 01: +0,1.061,77
Jan 13 2014 01: +0,1.038,68
Jan 14 2014 01: +0,0.971,75
Jan 15 2014 01: +0,1.074,80
Jan 16 2014 01: +0,1.03,73
Jan 17 2014 01: +0,0.896,72
Jan 18 2014 01: +0,0.943,112
Jan 19 2014 01: +0,0.887,85
Jan 20 2014 01: +0,0.883,81
Jan 21 2014 01: +0,0.891,74
Jan 22 2014 01: +0,0.893,80
Jan 23 2014 01: +0,0.939,82
Jan 24 2014 01: +0,0.912,89
Jan 25 2014 01: +0,0.821,98
Jan 26 2014 01: +0,0.846,103
Jan 27 2014 01: +0,0.855,93
Jan 28 2014 01: +0,0.851,92
Jan 29 2014 01: +0,0.986,85
Jan 30 2014 01: +0,0.87,82
Jan 31 2014 01: +0,0.878,88
Feb 01 2014 01: +0,0.859,82
Feb 02 2014 01: +0,0.811,91
Feb 03 2014 01: +0,0.729,66
Feb 04 2014 01: +0,0.727,75
Feb 05 2014 01: +0,0.755,66
Feb 06 2014 01: +0,0.78,91
Feb 07 2014 01: +0,0.751,106
Feb 08 2014 01: +0,0.731,115
Feb 09 2014 01: +0,0.805,102
Feb 10 2014 01: +0,0.822,94
Feb 11 2014 01: +0,0.792,93
Feb 12 2014 01: +0,0.786,78
Feb 13 2014 01: +0,0.594,75
Feb 14 2014 01: +0,0.572,84
