May 27 2015 01: +0,1.686,346
May 28 2015 01: +0,1.391,354
May 29 2015 01: +0,1.457,254
May 30 2015 01: +0,1.524,212
May 31 2015 01: +0,1.582,151
Jun 01 2015 01: +0,1.754,110
Jun 02 2015 01: +0,1.724,118
Jun 03 2015 01: +0,1.316,204
Jun 04 2015 01: +0,0.969,252
Jun 05 2015 01: +0,0.911,269
Jun 06 2015 01: +0,0.967,240
Jun 07 2015 01: +0,0.938,235
Jun 08 2015 01: +0,0.96,166
Jun 09 2015 01: +0,1.027,160
Jun 10 2015 01: +0,0.944,202
Jun 11 2015 01: +0,0.776,240
Jun 12 2015 01: +0,0.766,263
Jun 13 2015 01: +0,0.759,287
Jun 14 2015 01: +0,0.699,251
Jun 15 2015 01: +0,0.708,225
Jun 16 2015 01: +0,0.711,225
Jun 17 2015 01: +0,0.694,269
Jun 18 2015 01: +0,0.663,277
Jun 19 2015 01: +0,0.629,297
Jun 20 2015 01: +0,0.613,316
Jun 21 2015 01: +0,0.575,300
Jun 22 2015 01: +0,0.57,294
Jun 23 2015 01: +0,0.644,265
Jun 24 2015 01: +0,0.66,251
Jun 25 2015 01: +0,0.644,296
Jun 26 2015 01: +0,0.633,305
Jun 27 2015 01: +0,0.629,312
Jun 28 2015 01: +0,0.612,279
Jun 29 2015 01: +0,0.599,297
Jun 30 2015 01: +0,0.622,289
Jul 01 2015 01: +0,0.629,305
Jul 02 2015 01: +0,0.596,315
Jul 03 2015 01: +0,0.619,295
Jul 04 2015 01: +0,0.623,304
Jul 05 2015 01: +0,0.59,309
Jul 06 2015 01: +0,0.583,298
Jul 07 2015 01: +0,0.58,331
Jul 08 2015 01: +0,0.584,294
Jul 09 2015 01: +0,0.564,307
Jul 10 2015 01: +0,0.558,282
Jul 11 2015 01: +0,0.534,321
Jul 12 2015 01: +0,0.539,288
Jul 13 2015 01: +0,0.512,360
Jul 14 2015 01: +0,0.529,293
Jul 15 2015 01: +0,0.535,296
Jul 16 2015 01: +0,0.488,283
Jul 17 2015 01: +0,0.453,340
Jul 18 2015 01: +0,0.494,314
Jul 19 2015 01: +0,0.497,334
Jul 20 2015 01: +0,0.456,363
Jul 21 2015 01: +0,0.456,342
Jul 22 2015 01: +0,0.45,314
Jul 23 2015 01: +0,0.434,328
Jul 24 2015 01: +0,0.412,360
Jul 25 2015 01: +0,0.449,372
Jul 26 2015 01: +0,0.429,328
Jul 27 2015 01: +0,0.431,354
Jul 28 2015 01: +0,0.423,367
Jul 29 2015 01: +0,0.408,362
Jul 30 2015 01: +0,0.395,364
Jul 31 2015 01: +0,0.396,338
Aug 01 2015 01: +0,0.386,388
Aug 02 2015 01: +0,0.398,335
Aug 03 2015 01: +0,0.397,353
Aug 04 2015 01: +0,0.396,351
Aug 05 2015 01: +0,0.39,368
Aug 06 2015 01: +0,0.395,361
Aug 07 2015 01: +0,0.389,347
Aug 08 2015 01: +0,0.38,351
Aug 09 2015 01: +0,0.38,344
Aug 10 2015 01: +0,0.366,382
Aug 11 2015 01: +0,0.377,393
Aug 12 2015 01: +0,0.355,378
Aug 13 2015 01: +0,0.356,355
Aug 14 2015 01: +0,0.358,353
Aug 15 2015 01: +0,0.288,417
Aug 16 2015 01: +0,0.265,419
Aug 17 2015 01: +0,0.27,458
Aug 18 2015 01: +0,0.278,438
Aug 19 2015 01: +0,0.294,426
Aug 20 2015 01: +0,0.303,369
Aug 21 2015 01: +0,0.29,443
Aug 22 2015 01: +0,0.304,464
Aug 23 2015 01: +0,0.258,450
Aug 24 2015 01: +0,0.249,457
Aug 25 2015 01: +0,0.291,388
Aug 26 2015 01: +0,0.303,438
Aug 27 2015 01: +0,0.3,400
Aug 28 2015 01: +0,0.304,442
Aug 29 2015 01: +0,0.323,423
Aug 30 2015 01: +0,0.333,462
Aug 31 2015 01: +0,0.328,392
Sep 01 2015 01: +0,0.318,464
Sep 02 2015 01: +0,0.324,425
Sep 03 2015 01: +0,0.327,406
Sep 04 2015 01: +0,0.326,351
Sep 05 2015 01: +0,0.317,463
Sep 06 2015 01: +0,0.315,436
Sep 07 2015 01: +0,0.306,383
Sep 08 2015 01: +0,0.318,347
Sep 09 2015 01: +0,0.32,350
Sep 10 2015 01: +0,0.307,442
Sep 11 2015 01: +0,0.311,385
Sep 12 2015 01: +0,0.304,505
Sep 13 2015 01: +0,0.317,440
Sep 14 2015 01: +0,0.308,395
Sep 15 2015 01: +0,0.319,400
Sep 16 2015 01: +0,0.308,421
Sep 17 2015 01: +0,0.312,413
Sep 18 2015 01: +0,0.299,575
Sep 19 2015 01: +0,0.315,647
Sep 20 2015 01: +0,0.313,653
Sep 21 2015 01: +0,0.309,571
Sep 22 2015 01: +0,0.334,484
Sep 23 2015 01: +0,0.316,445
Sep 24 2015 01: +0,0.317,478
Sep 25 2015 01: +0,0.317,578
Sep 26 2015 01: +0,0.344,572
Sep 27 2015 01: +0,0.332,578
Sep 28 2015 01: +0,0.331,447
Sep 29 2015 01: +0,0.323,443
Sep 30 2015 01: +0,0.312,467
