Feb 13 2014 01: +0,25.447,2
Feb 14 2014 01: +0,13.676,13
Feb 15 2014 01: +0,13.521,6
Feb 16 2014 01: +0,12.56,8
Feb 17 2014 01: +0,12.075,6
Feb 18 2014 01: +0,12.163,4
Feb 19 2014 01: +0,12.412,2
Feb 20 2014 01: +0,13.14,7
Feb 21 2014 01: +0,10.734,5
Feb 22 2014 01: +0,11.017,6
Feb 23 2014 01: +0,11.332,11
Feb 24 2014 01: +0,11.647,13
Feb 25 2014 01: +0,13.795,2
Feb 26 2014 01: +0,12.488,1
Feb 27 2014 01: +0,12.405,9
Feb 28 2014 01: +0,11.999,10
Mar 01 2014 01: +0,11.564,9
Mar 02 2014 01: +0,10.035,6
Mar 03 2014 01: +0,11.014,11
Mar 04 2014 01: +0,11.282,6
Mar 05 2014 01: +0,11.562,3
Mar 06 2014 01: +0,12.769,3
Mar 07 2014 01: +0,9.075,7
Mar 08 2014 01: +0,9.81,10
Mar 09 2014 01: +0,9.758,12
Mar 10 2014 01: +0,10.027,2
Mar 11 2014 01: +0,11.587,4
Mar 12 2014 01: +0,10.229,7
Mar 13 2014 01: +0,11.124,10
Mar 14 2014 01: +0,12.404,3
Mar 15 2014 01: +0,10.554,7
Mar 16 2014 01: +0,12.316,7
Mar 17 2014 01: +0,11.312,5
Mar 18 2014 01: +0,11.653,9
Mar 19 2014 01: +0,11.637,5
Mar 20 2014 01: +0,12.147,9
Mar 21 2014 01: +0,11.115,5
Mar 22 2014 01: +0,10.494,4
Mar 23 2014 01: +0,8.879,14
Mar 24 2014 01: +0,9.079,10
Mar 25 2014 01: +0,9.659,8
Mar 26 2014 01: +0,10.805,11
Mar 27 2014 01: +0,8.629,6
Mar 28 2014 01: +0,9.833,9
Mar 29 2014 01: +0,9.27,14
Mar 30 2014 01: +0,9.52,11
Mar 31 2014 01: +0,9.79,10
Apr 01 2014 01: +0,10.583,6
Apr 02 2014 01: +0,10.538,9
Apr 03 2014 01: +0,9.377,7
Apr 04 2014 01: +0,9.906,6
Apr 05 2014 01: +0,10.198,14
Apr 06 2014 01: +0,9.236,15
Apr 07 2014 01: +0,9.257,16
Apr 08 2014 01: +0,10.107,8
Apr 09 2014 01: +0,9.453,4
Apr 10 2014 01: +0,8.925,13
Apr 11 2014 01: +0,9.286,15
Apr 12 2014 01: +0,9.615,10
Apr 13 2014 01: +0,9.094,11
Apr 14 2014 01: +0,8.826,15
Apr 15 2014 01: +0,8.749,12
Apr 16 2014 01: +0,8.03,15
Apr 17 2014 01: +0,9.846,11
Apr 18 2014 01: +0,9.945,7
Apr 19 2014 01: +0,9.305,13
Apr 20 2014 01: +0,8.791,9
Apr 21 2014 01: +0,7.974,15
Apr 22 2014 01: +0,8.157,11
Apr 23 2014 01: +0,9.116,12
Apr 24 2014 01: +0,8.643,13
Apr 25 2014 01: +0,8.675,15
Apr 26 2014 01: +0,9.248,8
Apr 27 2014 01: +0,8.545,19
Apr 28 2014 01: +0,8.791,19
Apr 29 2014 01: +0,8.327,16
Apr 30 2014 01: +0,9.556,15
May 01 2014 01: +0,9.135,9
May 02 2014 01: +0,9.309,14
May 03 2014 01: +0,7.973,20
May 04 2014 01: +0,7.424,12
May 05 2014 01: +0,7.873,12
May 06 2014 01: +0,8.361,13
May 07 2014 01: +0,8.661,21
May 08 2014 01: +0,7.886,12
May 09 2014 01: +0,7.621,13
May 10 2014 01: +0,7.418,19
May 11 2014 01: +0,7.071,21
May 12 2014 01: +0,7.294,23
May 13 2014 01: +0,7.736,14
May 14 2014 01: +0,7.654,12
May 15 2014 01: +0,7.782,10
May 16 2014 01: +0,7.814,13
