Nov 29 2016 01: +0,3.602,40
Nov 30 2016 01: +0,2.852,31
Dec 01 2016 01: +0,1.874,39
Dec 02 2016 01: +0,1.824,33
Dec 03 2016 01: +0,1.777,44
Dec 04 2016 01: +0,1.665,45
Dec 05 2016 01: +0,1.499,47
Dec 06 2016 01: +0,1.624,42
Dec 07 2016 01: +0,1.586,31
Dec 08 2016 01: +0,1.492,44
Dec 09 2016 01: +0,1.492,37
Dec 10 2016 01: +0,1.38,51
Dec 11 2016 01: +0,1.361,34
Dec 12 2016 01: +0,1.245,38
Dec 13 2016 01: +0,1.229,37
Dec 14 2016 01: +0,1.276,36
Dec 15 2016 01: +0,1.217,30
Dec 16 2016 01: +0,1.163,45
Dec 17 2016 01: +0,1.044,41
Dec 18 2016 01: +0,0.983,47
Dec 19 2016 01: +0,1.031,46
Dec 20 2016 01: +0,1.027,35
Dec 21 2016 01: +0,1.048,37
Dec 22 2016 01: +0,0.982,40
Dec 23 2016 01: +0,1.037,34
Dec 24 2016 01: +0,1.093,38
Dec 25 2016 01: +0,1.28,72
Dec 26 2016 01: +0,1.158,54
Dec 27 2016 01: +0,1.102,57
Dec 28 2016 01: +0,1.041,52
Dec 29 2016 01: +0,1.03,57
Dec 30 2016 01: +0,0.996,63
Dec 31 2016 01: +0,0.961,37
Jan 01 2017 01: +0,0.991,65
Jan 02 2017 01: +0,1.038,58
Jan 03 2017 01: +0,1.24,37
Jan 04 2017 01: +0,1.11,38
Jan 05 2017 01: +0,1,41
Jan 06 2017 01: +0,0.939,52
Jan 07 2017 01: +0,0.974,62
Jan 08 2017 01: +0,1.015,54
Jan 09 2017 01: +0,0.955,53
Jan 10 2017 01: +0,1.008,39
Jan 11 2017 01: +0,0.971,53
Jan 12 2017 01: +0,0.927,60
Jan 13 2017 01: +0,0.893,66
Jan 14 2017 01: +0,0.9,55
Jan 15 2017 01: +0,0.909,54
Jan 16 2017 01: +0,0.878,47
Jan 17 2017 01: +0,0.87,63
Jan 18 2017 01: +0,0.817,65
Jan 19 2017 01: +0,0.81,49
Jan 20 2017 01: +0,0.797,50
Jan 21 2017 01: +0,0.846,46
Jan 22 2017 01: +0,0.819,52
Jan 23 2017 01: +0,0.812,61
Jan 24 2017 01: +0,0.845,81
Jan 25 2017 01: +0,0.941,71
Jan 26 2017 01: +0,0.918,55
Jan 27 2017 01: +0,0.918,57
Jan 28 2017 01: +0,0.916,77
Jan 29 2017 01: +0,0.913,80
Jan 30 2017 01: +0,0.916,87
Jan 31 2017 01: +0,0.919,68
Feb 01 2017 01: +0,0.914,73
Feb 02 2017 01: +0,0.896,76
Feb 03 2017 01: +0,0.925,62
Feb 04 2017 01: +0,0.92,80
Feb 05 2017 01: +0,0.885,72
Feb 06 2017 01: +0,0.851,58
Feb 07 2017 01: +0,0.83,69
Feb 08 2017 01: +0,0.874,71
Feb 09 2017 01: +0,0.842,62
Feb 10 2017 01: +0,0.794,111
Feb 11 2017 01: +0,0.864,101
Feb 12 2017 01: +0,0.862,77
Feb 13 2017 01: +0,0.869,75
Feb 14 2017 01: +0,0.89,50
Feb 15 2017 01: +0,0.822,78
Feb 16 2017 01: +0,0.821,76
Feb 17 2017 01: +0,0.786,71
Feb 18 2017 01: +0,0.754,77
Feb 19 2017 01: +0,0.749,67
Feb 20 2017 01: +0,0.725,72
Feb 21 2017 01: +0,0.758,57
Feb 22 2017 01: +0,0.774,49
Feb 23 2017 01: +0,0.753,65
Feb 24 2017 01: +0,0.736,90
Feb 25 2017 01: +0,0.768,73
Feb 26 2017 01: +0,0.771,69
Feb 27 2017 01: +0,0.741,59
Feb 28 2017 01: +0,0.75,61
Mar 01 2017 01: +0,0.78,54
Mar 02 2017 01: +0,0.741,79
Mar 03 2017 01: +0,0.759,58
Mar 04 2017 01: +0,0.759,68
Mar 05 2017 01: +0,0.745,82
Mar 06 2017 01: +0,0.755,64
Mar 07 2017 01: +0,0.722,59
Mar 08 2017 01: +0,0.723,67
Mar 09 2017 01: +0,0.72,50
Mar 10 2017 01: +0,0.743,58
Mar 11 2017 01: +0,0.768,70
Mar 12 2017 01: +0,0.762,60
Mar 13 2017 01: +0,0.761,58
Mar 14 2017 01: +0,0.742,50
Mar 15 2017 01: +0,0.734,57
Mar 16 2017 01: +0,0.693,100
