Dec 19 2013 01: +0,13.74,1
Dec 20 2013 01: +0,2.04,7
Dec 21 2013 01: +0,0.669,4
Dec 22 2013 01: +0,0.335,6
Dec 23 2013 01: +0,1.396,7
Dec 24 2013 01: +0,1.463,4
Dec 25 2013 01: +0,1.547,3
Dec 26 2013 01: +0,1.444,8
Dec 27 2013 01: +0,1.281,9
Dec 28 2013 01: +0,1.299,6
Dec 29 2013 01: +0,1.5,1
Dec 30 2013 01: +0,0.995,6
Dec 31 2013 01: +0,1.047,6
Jan 01 2014 01: +0,1.119,8
Jan 02 2014 01: +0,0.875,13
Jan 03 2014 01: +0,1.275,4
Jan 04 2014 01: +0,0.995,17
Jan 05 2014 01: +0,0.963,10
Jan 06 2014 01: +0,0.844,6
Jan 07 2014 01: +0,0.559,8
Jan 08 2014 01: +0,0.772,11
Jan 09 2014 01: +0,0.688,11
Jan 10 2014 01: +0,0.709,10
Jan 11 2014 01: +0,0.725,12
Jan 12 2014 01: +0,0.633,21
Jan 13 2014 01: +0,0.622,11
Jan 14 2014 01: +0,0.663,13
Jan 15 2014 01: +0,0.725,7
Jan 16 2014 01: +0,0.66,4
Jan 17 2014 01: +0,0.576,11
Jan 18 2014 01: +0,0.645,12
Jan 19 2014 01: +0,0.65,21
Jan 20 2014 01: +0,0.813,10
Jan 21 2014 01: +0,0.75,9
Jan 22 2014 01: +0,0.605,10
Jan 23 2014 01: +0,0.569,9
Jan 24 2014 01: +0,0.492,8
Jan 25 2014 01: +0,0.311,12
Jan 26 2014 01: +0,0.475,16
Jan 27 2014 01: +0,0.371,16
Jan 28 2014 01: +0,0.398,16
Jan 29 2014 01: +0,0.477,12
Jan 30 2014 01: +0,0.484,10
Jan 31 2014 01: +0,0.506,7
Feb 01 2014 01: +0,0.442,21
Feb 02 2014 01: +0,0.44,12
Feb 03 2014 01: +0,0.569,17
Feb 04 2014 01: +0,0.562,5
Feb 05 2014 01: +0,0.52,6
Feb 06 2014 01: +0,0.403,7
Feb 07 2014 01: +0,0.366,17
Feb 08 2014 01: +0,0.408,12
Feb 09 2014 01: +0,0.348,15
Feb 10 2014 01: +0,0.467,16
Feb 11 2014 01: +0,0.407,15
Feb 12 2014 01: +0,0.422,6
Feb 13 2014 01: +0,0.342,8
Feb 14 2014 01: +0,0.286,17
Feb 15 2014 01: +0,0.337,15
Feb 16 2014 01: +0,0.281,29
Feb 17 2014 01: +0,0.3,13
Feb 18 2014 01: +0,0.269,9
