Nov 08 2013 01: +0,43.328,61
Nov 09 2013 01: +0,28.446,70
Nov 10 2013 01: +0,18.556,103
Nov 11 2013 01: +0,18.368,63
Nov 12 2013 01: +0,18.325,58
Nov 13 2013 01: +0,18.141,43
Nov 14 2013 01: +0,15.885,55
Nov 15 2013 01: +0,15.199,59
Nov 16 2013 01: +0,15.437,58
Nov 17 2013 01: +0,12.291,97
Nov 18 2013 01: +0,12.341,53
Nov 19 2013 01: +0,14.208,46
Nov 20 2013 01: +0,13.052,54
Nov 21 2013 01: +0,13.096,61
Nov 22 2013 01: +0,12.724,65
Nov 23 2013 01: +0,13.212,59
Nov 24 2013 01: +0,12.492,68
Nov 25 2013 01: +0,12.092,66
Nov 26 2013 01: +0,11.582,60
Nov 27 2013 01: +0,12.137,53
Nov 28 2013 01: +0,10.94,83
Nov 29 2013 01: +0,11.316,75
Nov 30 2013 01: +0,12.142,94
Dec 01 2013 01: +0,12.05,98
Dec 02 2013 01: +0,10.718,75
Dec 03 2013 01: +0,10.037,77
Dec 04 2013 01: +0,10.396,75
Dec 05 2013 01: +0,9.687,74
Dec 06 2013 01: +0,9.675,98
Dec 07 2013 01: +0,10.01,111
Dec 08 2013 01: +0,10.655,89
Dec 09 2013 01: +0,10.139,85
Dec 10 2013 01: +0,9.507,95
Dec 11 2013 01: +0,9.494,102
Dec 12 2013 01: +0,9.799,87
Dec 13 2013 01: +0,9.203,76
Dec 14 2013 01: +0,8.8,118
Dec 15 2013 01: +0,8.632,97
Dec 16 2013 01: +0,8.846,93
Dec 17 2013 01: +0,8.611,70
Dec 18 2013 01: +0,8.438,90
Dec 19 2013 01: +0,7.445,104
Dec 20 2013 01: +0,6.657,114
Dec 21 2013 01: +0,6.644,133
Dec 22 2013 01: +0,7.316,122
Dec 23 2013 01: +0,7.114,89
Dec 24 2013 01: +0,7.838,93
Dec 25 2013 01: +0,8.358,79
Dec 26 2013 01: +0,8.244,104
Dec 27 2013 01: +0,8.565,111
Dec 28 2013 01: +0,8.295,110
Dec 29 2013 01: +0,7.695,112
Dec 30 2013 01: +0,8.007,124
Dec 31 2013 01: +0,8.652,82
Jan 01 2014 01: +0,8.454,81
Jan 02 2014 01: +0,7.756,109
Jan 03 2014 01: +0,8.009,82
Jan 04 2014 01: +0,8.102,130
Jan 05 2014 01: +0,8.048,109
Jan 06 2014 01: +0,8.492,126
Jan 07 2014 01: +0,8.519,102
Jan 08 2014 01: +0,8.701,92
Jan 09 2014 01: +0,7.978,94
Jan 10 2014 01: +0,7.98,104
Jan 11 2014 01: +0,8.235,122
Jan 12 2014 01: +0,8.307,117
Jan 13 2014 01: +0,7.773,116
Jan 14 2014 01: +0,8.019,109
Jan 15 2014 01: +0,7.805,96
Jan 16 2014 01: +0,7.896,125
Jan 17 2014 01: +0,8.153,107
Jan 18 2014 01: +0,8.001,111
Jan 19 2014 01: +0,7.572,139
Jan 20 2014 01: +0,7.853,120
Jan 21 2014 01: +0,7.887,83
Jan 22 2014 01: +0,7.684,112
Jan 23 2014 01: +0,7.949,104
Jan 24 2014 01: +0,7.886,118
Jan 25 2014 01: +0,7.563,122
Jan 26 2014 01: +0,7.698,121
Jan 27 2014 01: +0,7.322,114
Jan 28 2014 01: +0,7.383,113
Jan 29 2014 01: +0,7.709,102
Jan 30 2014 01: +0,7.677,101
Jan 31 2014 01: +0,7.528,111
Feb 01 2014 01: +0,7.684,131
Feb 02 2014 01: +0,7.442,127
Feb 03 2014 01: +0,7.233,97
Feb 04 2014 01: +0,7.051,104
Feb 05 2014 01: +0,6.939,100
Feb 06 2014 01: +0,6.906,112
Feb 07 2014 01: +0,6.883,110
Feb 08 2014 01: +0,6.904,140
Feb 09 2014 01: +0,7.078,110
Feb 10 2014 01: +0,6.982,110
Feb 11 2014 01: +0,6.863,102
Feb 12 2014 01: +0,6.613,90
Feb 13 2014 01: +0,6.33,129
Feb 14 2014 01: +0,5.964,119
Feb 15 2014 01: +0,6.362,146
Feb 16 2014 01: +0,6.739,116
Feb 17 2014 01: +0,6.672,116
Feb 18 2014 01: +0,6.759,95
Feb 19 2014 01: +0,6.512,116
Feb 20 2014 01: +0,6.619,94
Feb 21 2014 01: +0,6.218,141
Feb 22 2014 01: +0,5.983,163
Feb 23 2014 01: +0,6.465,146
Feb 24 2014 01: +0,6.694,139
Feb 25 2014 01: +0,7.649,90
Feb 26 2014 01: +0,7.234,95
Feb 27 2014 01: +0,7.367,108
Feb 28 2014 01: +0,7.58,134
Mar 01 2014 01: +0,8.193,120
Mar 02 2014 01: +0,7.891,121
Mar 03 2014 01: +0,7.851,113
Mar 04 2014 01: +0,7.929,89
Mar 05 2014 01: +0,7.766,89
Mar 06 2014 01: +0,7.761,76
Mar 07 2014 01: +0,8.195,111
Mar 08 2014 01: +0,7.752,122
Mar 09 2014 01: +0,7.599,116
Mar 10 2014 01: +0,7.258,113
Mar 11 2014 01: +0,7.302,90
Mar 12 2014 01: +0,7.433,93
Mar 13 2014 01: +0,8.301,60
Mar 14 2014 01: +0,9.081,77
Mar 15 2014 01: +0,8.473,127
Mar 16 2014 01: +0,8.096,129
Mar 17 2014 01: +0,7.453,138
Mar 18 2014 01: +0,8.558,109
Mar 19 2014 01: +0,8.72,102
Mar 20 2014 01: +0,8.994,89
Mar 21 2014 01: +0,8.701,96
Mar 22 2014 01: +0,8.489,133
Mar 23 2014 01: +0,8.328,106
Mar 24 2014 01: +0,8.87,108
Mar 25 2014 01: +0,9.312,76
Mar 26 2014 01: +0,9.696,71
Mar 27 2014 01: +0,8.828,83
Mar 28 2014 01: +0,8.861,100
Mar 29 2014 01: +0,8.813,105
Mar 30 2014 01: +0,9.013,95
Mar 31 2014 01: +0,8.652,112
Apr 01 2014 01: +0,10.532,50
Apr 02 2014 01: +0,9.758,77
Apr 03 2014 01: +0,9.055,81
Apr 04 2014 01: +0,9.234,109
Apr 05 2014 01: +0,9.254,117
Apr 06 2014 01: +0,9.407,114
Apr 07 2014 01: +0,9.75,85
Apr 08 2014 01: +0,9.54,88
Apr 09 2014 01: +0,9.152,80
Apr 10 2014 01: +0,9.512,86
Apr 11 2014 01: +0,9.297,114
Apr 12 2014 01: +0,9.601,94
Apr 13 2014 01: +0,9.55,90
Apr 14 2014 01: +0,9.468,103
Apr 15 2014 01: +0,10.016,78
Apr 16 2014 01: +0,9.665,109
Apr 17 2014 01: +0,10.121,81
