Jun 16 2016 01: +0,1.709,62
Jun 17 2016 01: +0,1.28,75
Jun 18 2016 01: +0,1.004,43
Jun 19 2016 01: +0,1.031,50
Jun 20 2016 01: +0,0.81,64
Jun 21 2016 01: +0,1.006,29
Jun 22 2016 01: +0,0.78,40
Jun 23 2016 01: +0,0.797,69
Jun 24 2016 01: +0,0.741,29
Jun 25 2016 01: +0,0.681,46
Jun 26 2016 01: +0,0.558,39
Jun 27 2016 01: +0,0.535,72
Jun 28 2016 01: +0,0.562,50
Jun 29 2016 01: +0,0.551,63
Jun 30 2016 01: +0,0.554,33
Jul 01 2016 01: +0,0.575,36
Jul 02 2016 01: +0,0.564,36
Jul 03 2016 01: +0,0.478,62
Jul 04 2016 01: +0,0.496,68
Jul 05 2016 01: +0,0.524,59
Jul 06 2016 01: +0,0.508,59
Jul 07 2016 01: +0,0.551,57
Jul 08 2016 01: +0,0.54,69
Jul 09 2016 01: +0,0.528,79
Jul 10 2016 01: +0,0.485,47
Jul 11 2016 01: +0,0.473,78
Jul 12 2016 01: +0,0.479,69
Jul 13 2016 01: +0,0.508,68
Jul 14 2016 01: +0,0.551,39
Jul 15 2016 01: +0,0.466,56
Jul 16 2016 01: +0,0.521,67
Jul 17 2016 01: +0,0.559,58
Jul 18 2016 01: +0,0.526,48
Jul 19 2016 01: +0,0.512,92
Jul 20 2016 01: +0,0.463,47
Jul 21 2016 01: +0,0.415,90
Jul 22 2016 01: +0,0.463,49
Jul 23 2016 01: +0,0.511,61
Jul 24 2016 01: +0,0.467,63
Jul 25 2016 01: +0,0.442,68
Jul 26 2016 01: +0,0.435,69
Jul 27 2016 01: +0,0.477,84
Jul 28 2016 01: +0,0.513,45
Jul 29 2016 01: +0,0.423,62
Jul 30 2016 01: +0,0.422,87
Jul 31 2016 01: +0,0.45,67
Aug 01 2016 01: +0,0.416,94
Aug 02 2016 01: +0,0.445,83
Aug 03 2016 01: +0,0.441,74
Aug 04 2016 01: +0,0.427,59
Aug 05 2016 01: +0,0.395,64
Aug 06 2016 01: +0,0.385,81
Aug 07 2016 01: +0,0.405,86
Aug 08 2016 01: +0,0.363,66
Aug 09 2016 01: +0,0.383,82
Aug 10 2016 01: +0,0.383,76
Aug 11 2016 01: +0,0.345,52
Aug 12 2016 01: +0,0.337,65
Aug 13 2016 01: +0,0.348,83
Aug 14 2016 01: +0,0.334,61
Aug 15 2016 01: +0,0.326,65
Aug 16 2016 01: +0,0.326,98
Aug 17 2016 01: +0,0.335,84
Aug 18 2016 01: +0,0.348,68
Aug 19 2016 01: +0,0.323,72
Aug 20 2016 01: +0,0.308,121
Aug 21 2016 01: +0,0.31,132
Aug 22 2016 01: +0,0.326,101
Aug 23 2016 01: +0,0.32,103
Aug 24 2016 01: +0,0.317,76
Aug 25 2016 01: +0,0.308,105
Aug 26 2016 01: +0,0.324,98
Aug 27 2016 01: +0,0.314,79
Aug 28 2016 01: +0,0.326,88
Aug 29 2016 01: +0,0.353,106
Aug 30 2016 01: +0,0.345,69
Aug 31 2016 01: +0,0.321,88
Sep 01 2016 01: +0,0.329,93
Sep 02 2016 01: +0,0.31,71
Sep 03 2016 01: +0,0.32,105
Sep 04 2016 01: +0,0.308,102
Sep 05 2016 01: +0,0.318,91
Sep 06 2016 01: +0,0.311,48
Sep 07 2016 01: +0,0.302,86
Sep 08 2016 01: +0,0.301,97
Sep 09 2016 01: +0,0.319,83
Sep 10 2016 01: +0,0.291,68
Sep 11 2016 01: +0,0.29,99
Sep 12 2016 01: +0,0.298,113
Sep 13 2016 01: +0,0.296,63
Sep 14 2016 01: +0,0.279,70
Sep 15 2016 01: +0,0.298,67
