Feb 21 2014 01: +0,3.386,6
Feb 22 2014 01: +0,3.726,6
Feb 23 2014 01: +0,3.167,11
Feb 24 2014 01: +0,4.153,4
Feb 25 2014 01: +0,3.75,7
Feb 26 2014 01: +0,4.186,3
Feb 27 2014 01: +0,3.849,4
Feb 28 2014 01: +0,4.115,6
Mar 01 2014 01: +0,2.822,11
Mar 02 2014 01: +0,2.868,8
Mar 03 2014 01: +0,2.954,9
Mar 04 2014 01: +0,3.45,1
Mar 05 2014 01: +0,2.47,1
Mar 06 2014 01: +0,2.981,7
Mar 07 2014 01: +0,2.601,12
Mar 08 2014 01: +0,2.332,12
Mar 09 2014 01: +0,2.259,10
Mar 10 2014 01: +0,2.17,8
Mar 11 2014 01: +0,2.051,21
Mar 12 2014 01: +0,2.178,13
Mar 13 2014 01: +0,2.505,12
Mar 14 2014 01: +0,2.939,6
Mar 15 2014 01: +0,1.737,10
Mar 16 2014 01: +0,1.705,22
Mar 17 2014 01: +0,1.809,4
Mar 18 2014 01: +0,1.895,9
Mar 19 2014 01: +0,2.217,6
Mar 20 2014 01: +0,1.974,9
Mar 21 2014 01: +0,2.079,10
Mar 22 2014 01: +0,1.896,11
Mar 23 2014 01: +0,2.178,5
Mar 24 2014 01: +0,2.101,12
Mar 25 2014 01: +0,1.563,9
Mar 26 2014 01: +0,1.694,20
Mar 27 2014 01: +0,1.788,24
Mar 28 2014 01: +0,2.294,19
Mar 29 2014 01: +0,1.996,22
Mar 30 2014 01: +0,2.111,23
Mar 31 2014 01: +0,2.717,10
Apr 01 2014 01: +0,2.644,2
Apr 02 2014 01: +0,2.261,13
Apr 03 2014 01: +0,2.188,16
Apr 04 2014 01: +0,2.199,29
Apr 05 2014 01: +0,2.169,24
Apr 06 2014 01: +0,2.449,25
Apr 07 2014 01: +0,2.361,14
Apr 08 2014 01: +0,2.405,23
Apr 09 2014 01: +0,2.202,21
Apr 10 2014 01: +0,2.851,21
Apr 11 2014 01: +0,2.654,24
Apr 12 2014 01: +0,2.677,13
Apr 13 2014 01: +0,2.302,30
Apr 14 2014 01: +0,2.402,33
Apr 15 2014 01: +0,2.613,20
Apr 16 2014 01: +0,2.386,38
Apr 17 2014 01: +0,2.511,27
Apr 18 2014 01: +0,2.596,28
Apr 19 2014 01: +0,2.633,20
Apr 20 2014 01: +0,2.028,17
Apr 21 2014 01: +0,1.997,35
Apr 22 2014 01: +0,2.551,24
Apr 23 2014 01: +0,2.303,18
Apr 24 2014 01: +0,2.305,29
Apr 25 2014 01: +0,2.687,26
Apr 26 2014 01: +0,2.714,28
Apr 27 2014 01: +0,2.535,35
Apr 28 2014 01: +0,2.511,35
Apr 29 2014 01: +0,2.713,33
Apr 30 2014 01: +0,2.662,36
May 01 2014 01: +0,2.592,24
May 02 2014 01: +0,2.372,36
May 03 2014 01: +0,2.23,35
May 04 2014 01: +0,1.887,56
May 05 2014 01: +0,1.94,59
May 06 2014 01: +0,2.071,39
May 07 2014 01: +0,2.523,42
May 08 2014 01: +0,2.272,34
May 09 2014 01: +0,1.424,40
May 10 2014 01: +0,1.137,56
May 11 2014 01: +0,0.916,40
May 12 2014 01: +0,0.893,41
May 13 2014 01: +0,0.979,27
May 14 2014 01: +0,1.054,29
May 15 2014 01: +0,1.022,51
May 16 2014 01: +0,0.86,43
May 17 2014 01: +0,0.868,51
May 18 2014 01: +0,0.94,31
May 19 2014 01: +0,0.97,24
May 20 2014 01: +0,0.914,23
May 21 2014 01: +0,0.845,33
May 22 2014 01: +0,0.892,26
May 23 2014 01: +0,0.775,52
May 24 2014 01: +0,0.859,39
May 25 2014 01: +0,0.897,43
May 26 2014 01: +0,0.886,27
May 27 2014 01: +0,0.897,36
May 28 2014 01: +0,0.911,17
May 29 2014 01: +0,0.837,28
May 30 2014 01: +0,0.856,34
May 31 2014 01: +0,0.915,31
Jun 01 2014 01: +0,0.875,29
Jun 02 2014 01: +0,0.756,38
Jun 03 2014 01: +0,0.822,39
Jun 04 2014 01: +0,0.801,34
Jun 05 2014 01: +0,0.827,32
Jun 06 2014 01: +0,0.85,20
Jun 07 2014 01: +0,0.667,15
Jun 08 2014 01: +0,0.739,35
Jun 09 2014 01: +0,0.764,37
Jun 10 2014 01: +0,0.776,20
Jun 11 2014 01: +0,0.808,12
Jun 12 2014 01: +0,0.759,19
Jun 13 2014 01: +0,0.787,34
Jun 14 2014 01: +0,0.914,31
Jun 15 2014 01: +0,0.813,34
Jun 16 2014 01: +0,0.752,31
Jun 17 2014 01: +0,0.676,47
Jun 18 2014 01: +0,0.646,51
Jun 19 2014 01: +0,0.678,49
Jun 20 2014 01: +0,0.574,31
Jun 21 2014 01: +0,0.565,34
Jun 22 2014 01: +0,0.508,35
Jun 23 2014 01: +0,0.504,36
Jun 24 2014 01: +0,0.473,29
Jun 25 2014 01: +0,0.521,56
Jun 26 2014 01: +0,0.535,83
Jun 27 2014 01: +0,0.657,28
Jun 28 2014 01: +0,0.583,57
Jun 29 2014 01: +0,0.579,37
Jun 30 2014 01: +0,0.542,55
Jul 01 2014 01: +0,0.631,47
Jul 02 2014 01: +0,0.435,38
Jul 03 2014 01: +0,0.508,74
Jul 04 2014 01: +0,0.588,26
Jul 05 2014 01: +0,0.588,67
Jul 06 2014 01: +0,0.639,60
Jul 07 2014 01: +0,0.618,38
Jul 08 2014 01: +0,0.6,68
Jul 09 2014 01: +0,0.641,53
Jul 10 2014 01: +0,0.601,101
Jul 11 2014 01: +0,0.561,43
Jul 12 2014 01: +0,0.599,65
Jul 13 2014 01: +0,0.585,58
Jul 14 2014 01: +0,0.562,159
