Feb 21 2014 01: +0,5.28,8
Feb 22 2014 01: +0,4.057,28
Feb 23 2014 01: +0,4.117,10
Feb 24 2014 01: +0,4.627,10
Feb 25 2014 01: +0,4.246,11
Feb 26 2014 01: +0,4.012,6
Feb 27 2014 01: +0,4.373,10
Feb 28 2014 01: +0,4.108,10
Mar 01 2014 01: +0,3.638,14
Mar 02 2014 01: +0,3.359,23
Mar 03 2014 01: +0,3.209,20
Mar 04 2014 01: +0,3.106,13
Mar 05 2014 01: +0,3.12,18
Mar 06 2014 01: +0,3.302,14
Mar 07 2014 01: +0,3.119,12
Mar 08 2014 01: +0,2.746,23
Mar 09 2014 01: +0,2.791,22
Mar 10 2014 01: +0,2.665,21
Mar 11 2014 01: +0,2.814,20
Mar 12 2014 01: +0,2.863,15
Mar 13 2014 01: +0,2.766,23
Mar 14 2014 01: +0,2.869,12
Mar 15 2014 01: +0,2.493,31
Mar 16 2014 01: +0,2.263,19
Mar 17 2014 01: +0,2.162,21
Mar 18 2014 01: +0,2.338,36
Mar 19 2014 01: +0,2.459,26
Mar 20 2014 01: +0,2.454,22
Mar 21 2014 01: +0,2.461,24
Mar 22 2014 01: +0,2.559,23
Mar 23 2014 01: +0,2.21,25
Mar 24 2014 01: +0,2.124,20
Mar 25 2014 01: +0,2.174,17
Mar 26 2014 01: +0,2.016,16
Mar 27 2014 01: +0,1.997,32
Mar 28 2014 01: +0,2.383,26
Mar 29 2014 01: +0,2.327,40
Mar 30 2014 01: +0,2.308,31
Mar 31 2014 01: +0,2.481,18
Apr 01 2014 01: +0,2.537,22
Apr 02 2014 01: +0,2.353,42
Apr 03 2014 01: +0,2.222,38
Apr 04 2014 01: +0,2.128,41
Apr 05 2014 01: +0,2.113,26
Apr 06 2014 01: +0,2.256,33
Apr 07 2014 01: +0,2.275,30
Apr 08 2014 01: +0,2.233,38
Apr 09 2014 01: +0,2.059,32
Apr 10 2014 01: +0,2.308,22
Apr 11 2014 01: +0,2.376,46
Apr 12 2014 01: +0,2.386,34
Apr 13 2014 01: +0,2.279,51
Apr 14 2014 01: +0,2.202,22
Apr 15 2014 01: +0,2.076,45
Apr 16 2014 01: +0,2.013,32
Apr 17 2014 01: +0,2.08,36
Apr 18 2014 01: +0,2.021,42
Apr 19 2014 01: +0,2.126,38
Apr 20 2014 01: +0,1.879,40
Apr 21 2014 01: +0,1.917,48
Apr 22 2014 01: +0,2.06,70
Apr 23 2014 01: +0,1.854,43
Apr 24 2014 01: +0,2.048,37
Apr 25 2014 01: +0,2.051,38
Apr 26 2014 01: +0,2.05,39
Apr 27 2014 01: +0,2.211,42
Apr 28 2014 01: +0,2.148,37
Apr 29 2014 01: +0,2.38,41
Apr 30 2014 01: +0,2.328,39
May 01 2014 01: +0,2.039,35
May 02 2014 01: +0,1.702,47
May 03 2014 01: +0,1.667,60
May 04 2014 01: +0,1.615,56
May 05 2014 01: +0,1.682,53
May 06 2014 01: +0,1.394,85
May 07 2014 01: +0,1.747,56
May 08 2014 01: +0,1.637,57
May 09 2014 01: +0,1.293,56
May 10 2014 01: +0,1.179,76
May 11 2014 01: +0,1.197,58
May 12 2014 01: +0,1.186,60
May 13 2014 01: +0,1.162,44
May 14 2014 01: +0,1.119,37
May 15 2014 01: +0,1.062,65
May 16 2014 01: +0,1.056,58
May 17 2014 01: +0,0.996,61
May 18 2014 01: +0,1.007,61
May 19 2014 01: +0,0.974,49
May 20 2014 01: +0,0.982,43
May 21 2014 01: +0,1.033,51
May 22 2014 01: +0,0.982,49
May 23 2014 01: +0,0.94,81
May 24 2014 01: +0,0.924,60
May 25 2014 01: +0,1.005,61
May 26 2014 01: +0,0.957,58
May 27 2014 01: +0,0.994,52
May 28 2014 01: +0,0.951,48
May 29 2014 01: +0,0.971,55
May 30 2014 01: +0,1.004,53
May 31 2014 01: +0,0.978,58
Jun 01 2014 01: +0,0.927,46
Jun 02 2014 01: +0,0.867,60
Jun 03 2014 01: +0,0.949,45
Jun 04 2014 01: +0,0.932,54
Jun 05 2014 01: +0,0.989,37
Jun 06 2014 01: +0,0.907,47
Jun 07 2014 01: +0,0.939,53
Jun 08 2014 01: +0,0.894,56
Jun 09 2014 01: +0,0.911,35
Jun 10 2014 01: +0,0.901,48
Jun 11 2014 01: +0,0.926,43
Jun 12 2014 01: +0,0.82,59
Jun 13 2014 01: +0,0.901,61
Jun 14 2014 01: +0,0.94,59
Jun 15 2014 01: +0,0.927,63
Jun 16 2014 01: +0,0.833,75
Jun 17 2014 01: +0,0.791,62
Jun 18 2014 01: +0,0.828,48
Jun 19 2014 01: +0,0.785,55
Jun 20 2014 01: +0,5.05,85
Jun 21 2014 01: +0,0.658,59
Jun 22 2014 01: +0,0.612,70
Jun 23 2014 01: +0,0.556,59
Jun 24 2014 01: +0,0.568,72
Jun 25 2014 01: +0,0.566,81
Jun 26 2014 01: +0,0.637,61
Jun 27 2014 01: +0,0.68,56
Jun 28 2014 01: +0,0.688,73
Jun 29 2014 01: +0,0.642,87
Jun 30 2014 01: +0,0.658,67
Jul 01 2014 01: +0,0.708,104
Jul 02 2014 01: +0,0.535,85
Jul 03 2014 01: +0,0.557,89
Jul 04 2014 01: +0,0.722,84
Jul 05 2014 01: +0,0.762,65
Jul 06 2014 01: +0,0.734,66
Jul 07 2014 01: +0,0.706,76
Jul 08 2014 01: +0,0.724,63
Jul 09 2014 01: +0,0.727,61
Jul 10 2014 01: +0,0.664,70
Jul 11 2014 01: +0,0.677,71
Jul 12 2014 01: +0,0.652,91
Jul 13 2014 01: +0,0.662,78
Jul 14 2014 01: +0,0.659,82
Jul 15 2014 01: +0,0.633,82
Jul 16 2014 01: +0,0.701,86
Jul 17 2014 01: +0,0.655,60
