Sep 18 2015 01: +0,1.327,295
Sep 19 2015 01: +0,0.765,296
Sep 20 2015 01: +0,0.621,284
Sep 21 2015 01: +0,0.565,229
Sep 22 2015 01: +0,0.576,234
Sep 23 2015 01: +0,0.503,219
Sep 24 2015 01: +0,0.455,240
Sep 25 2015 01: +0,0.458,214
Sep 26 2015 01: +0,0.441,313
Sep 27 2015 01: +0,0.397,261
Sep 28 2015 01: +0,0.377,269
Sep 29 2015 01: +0,0.376,241
Sep 30 2015 01: +0,0.375,265
Oct 01 2015 01: +0,0.38,290
Oct 02 2015 01: +0,0.364,271
Oct 03 2015 01: +0,0.37,277
Oct 04 2015 01: +0,0.335,276
Oct 05 2015 01: +0,0.341,225
Oct 06 2015 01: +0,0.338,280
Oct 07 2015 01: +0,0.346,251
Oct 08 2015 01: +0,0.343,276
Oct 09 2015 01: +0,0.349,233
Oct 10 2015 01: +0,0.33,291
Oct 11 2015 01: +0,0.314,335
Oct 12 2015 01: +0,0.296,303
Oct 13 2015 01: +0,0.29,264
Oct 14 2015 01: +0,0.284,255
Oct 15 2015 01: +0,0.274,287
Oct 16 2015 01: +0,0.288,269
Oct 17 2015 01: +0,0.274,320
Oct 18 2015 01: +0,0.281,328
Oct 19 2015 01: +0,0.258,276
Oct 20 2015 01: +0,0.269,283
Oct 21 2015 01: +0,0.245,319
Oct 22 2015 01: +0,0.224,261
Oct 23 2015 01: +0,0.247,333
Oct 24 2015 01: +0,0.243,386
Oct 25 2015 01: +0,0.247,429
Oct 26 2015 01: +0,0.236,293
Oct 27 2015 01: +0,0.241,297
Oct 28 2015 01: +0,0.234,275
Oct 29 2015 01: +0,0.225,336
Oct 30 2015 01: +0,0.23,356
Oct 31 2015 01: +0,0.218,462
Nov 01 2015 01: +0,0.198,388
Nov 02 2015 01: +0,0.208,381
Nov 03 2015 01: +0,0.22,319
Nov 04 2015 01: +0,0.233,276
Nov 05 2015 01: +0,0.24,318
Nov 06 2015 01: +0,0.232,391
Nov 07 2015 01: +0,0.239,393
Nov 08 2015 01: +0,0.244,328
Nov 09 2015 01: +0,0.226,302
Nov 10 2015 01: +0,0.225,308
Nov 11 2015 01: +0,0.234,273
Nov 12 2015 01: +0,0.243,300
Nov 13 2015 01: +0,0.226,275
Nov 14 2015 01: +0,0.228,352
Nov 15 2015 01: +0,0.226,451
Nov 16 2015 01: +0,0.221,285
Nov 17 2015 01: +0,0.216,275
Nov 18 2015 01: +0,0.216,319
Nov 19 2015 01: +0,0.218,303
Nov 20 2015 01: +0,0.215,327
Nov 21 2015 01: +0,0.221,373
Nov 22 2015 01: +0,0.206,267
Nov 23 2015 01: +0,0.204,277
Nov 24 2015 01: +0,0.21,338
Nov 25 2015 01: +0,0.214,358
Nov 26 2015 01: +0,0.192,313
Nov 27 2015 01: +0,0.183,376
Nov 28 2015 01: +0,0.188,374
Nov 29 2015 01: +0,0.197,362
Nov 30 2015 01: +0,0.194,299
Dec 01 2015 01: +0,0.188,290
Dec 02 2015 01: +0,0.204,310
Dec 03 2015 01: +0,0.21,306
Dec 04 2015 01: +0,0.226,357
Dec 05 2015 01: +0,0.227,408
Dec 06 2015 01: +0,0.23,440
Dec 07 2015 01: +0,0.236,322
Dec 08 2015 01: +0,0.228,306
Dec 09 2015 01: +0,0.218,368
Dec 10 2015 01: +0,0.216,318
Dec 11 2015 01: +0,0.228,393
Dec 12 2015 01: +0,0.226,487
Dec 13 2015 01: +0,0.231,404
Dec 14 2015 01: +0,0.234,342
Dec 15 2015 01: +0,0.235,340
Dec 16 2015 01: +0,0.242,287
Dec 17 2015 01: +0,0.239,268
Dec 18 2015 01: +0,0.23,280
Dec 19 2015 01: +0,0.232,349
Dec 20 2015 01: +0,0.219,360
Dec 21 2015 01: +0,0.225,311
Dec 22 2015 01: +0,0.226,301
Dec 23 2015 01: +0,0.182,353
Dec 24 2015 01: +0,0.182,321
Dec 25 2015 01: +0,0.187,382
Dec 26 2015 01: +0,0.205,411
Dec 27 2015 01: +0,0.203,390
Dec 28 2015 01: +0,0.202,433
Dec 29 2015 01: +0,0.203,417
Dec 30 2015 01: +0,0.204,377
Dec 31 2015 01: +0,0.199,328
Jan 01 2016 01: +0,0.2,318
Jan 02 2016 01: +0,0.189,415
Jan 03 2016 01: +0,0.183,383
Jan 04 2016 01: +0,0.178,345
Jan 05 2016 01: +0,0.198,356
Jan 06 2016 01: +0,0.209,305
Jan 07 2016 01: +0,0.209,334
Jan 08 2016 01: +0,0.212,303
Jan 09 2016 01: +0,0.213,399
Jan 10 2016 01: +0,0.216,357
Jan 11 2016 01: +0,0.212,320
Jan 12 2016 01: +0,0.218,246
Jan 13 2016 01: +0,0.224,234
Jan 14 2016 01: +0,0.217,282
Jan 15 2016 01: +0,0.215,278
Jan 16 2016 01: +0,0.214,395
Jan 17 2016 01: +0,0.214,342
Jan 18 2016 01: +0,0.21,294
Jan 19 2016 01: +0,0.214,264
Jan 20 2016 01: +0,0.213,262
Jan 21 2016 01: +0,0.209,246
Jan 22 2016 01: +0,0.208,266
Jan 23 2016 01: +0,0.211,376
Jan 24 2016 01: +0,0.211,336
Jan 25 2016 01: +0,0.215,333
Jan 26 2016 01: +0,0.219,319
Jan 27 2016 01: +0,0.212,287
Jan 28 2016 01: +0,0.214,259
