Aug 15 2013 01: +0,5.206,1
Aug 16 2013 01: +0,4.493,9
Aug 17 2013 01: +0,3.302,2
Aug 18 2013 01: +0,3.51,11
Aug 19 2013 01: +0,3.473,9
Aug 20 2013 01: +0,3.208,7
Aug 21 2013 01: +0,2.743,8
Aug 22 2013 01: +0,2.408,18
Aug 23 2013 01: +0,1.931,16
Aug 24 2013 01: +0,1.928,16
Aug 25 2013 01: +0,1.69,17
Aug 26 2013 01: +0,1.617,12
Aug 27 2013 01: +0,1.579,9
Aug 28 2013 01: +0,1.694,16
Aug 29 2013 01: +0,1.588,18
Aug 30 2013 01: +0,1.498,21
Aug 31 2013 01: +0,1.462,13
Sep 01 2013 01: +0,1.374,13
Sep 02 2013 01: +0,1.422,18
Sep 03 2013 01: +0,1.449,12
Sep 04 2013 01: +0,1.486,14
Sep 05 2013 01: +0,1.197,18
Sep 06 2013 01: +0,0.98,15
Sep 07 2013 01: +0,1.098,22
Sep 08 2013 01: +0,1.045,21
Sep 09 2013 01: +0,1.151,9
Sep 10 2013 01: +0,1.074,8
Sep 11 2013 01: +0,1.093,12
Sep 12 2013 01: +0,1.203,9
Sep 13 2013 01: +0,1.125,15
Sep 14 2013 01: +0,1.142,17
Sep 15 2013 01: +0,1.089,14
Sep 16 2013 01: +0,1.171,9
Sep 17 2013 01: +0,1.036,11
Sep 18 2013 01: +0,1.029,8
Sep 19 2013 01: +0,1.013,10
Sep 20 2013 01: +0,0.808,17
Sep 21 2013 01: +0,0.857,23
Sep 22 2013 01: +0,0.743,46
Sep 23 2013 01: +0,0.773,10
Sep 24 2013 01: +0,0.729,19
Sep 25 2013 01: +0,0.814,24
Sep 26 2013 01: +0,0.745,15
Sep 27 2013 01: +0,0.731,21
Sep 28 2013 01: +0,0.717,20
Sep 29 2013 01: +0,0.856,16
Sep 30 2013 01: +0,0.855,18
Oct 01 2013 01: +0,0.718,36
Oct 02 2013 01: +0,0.752,13
Oct 03 2013 01: +0,0.725,22
Oct 04 2013 01: +0,0.683,17
Oct 05 2013 01: +0,0.769,14
Oct 06 2013 01: +0,0.667,21
Oct 07 2013 01: +0,0.666,11
Oct 08 2013 01: +0,0.623,13
Oct 09 2013 01: +0,0.558,27
Oct 10 2013 01: +0,0.507,20
Oct 11 2013 01: +0,0.548,20
Oct 12 2013 01: +0,0.498,21
Oct 13 2013 01: +0,0.657,22
Oct 14 2013 01: +0,0.578,17
Oct 15 2013 01: +0,0.534,9
Oct 16 2013 01: +0,0.548,13
Oct 17 2013 01: +0,0.565,18
Oct 18 2013 01: +0,0.587,27
Oct 19 2013 01: +0,0.581,17
Oct 20 2013 01: +0,0.572,12
Oct 21 2013 01: +0,0.552,21
Oct 22 2013 01: +0,0.586,14
Oct 23 2013 01: +0,0.536,9
Oct 24 2013 01: +0,0.561,18
Oct 25 2013 01: +0,0.527,19
Oct 26 2013 01: +0,0.621,19
Oct 27 2013 01: +0,0.563,18
Oct 28 2013 01: +0,0.546,21
Oct 29 2013 01: +0,0.492,9
Oct 30 2013 01: +0,0.443,16
Oct 31 2013 01: +0,0.511,10
Nov 01 2013 01: +0,0.476,19
Nov 02 2013 01: +0,0.506,13
Nov 03 2013 01: +0,0.524,22
Nov 04 2013 01: +0,0.526,19
Nov 05 2013 01: +0,0.495,15
Nov 06 2013 01: +0,0.526,13
Nov 07 2013 01: +0,0.465,10
Nov 08 2013 01: +0,0.47,26
Nov 09 2013 01: +0,0.462,17
Nov 10 2013 01: +0,0.406,19
Nov 11 2013 01: +0,0.378,16
Nov 12 2013 01: +0,0.401,21
Nov 13 2013 01: +0,0.47,19
Nov 14 2013 01: +0,0.452,23
Nov 15 2013 01: +0,0.485,10
Nov 16 2013 01: +0,0.472,11
Nov 17 2013 01: +0,0.417,16
Nov 18 2013 01: +0,0.462,18
Nov 19 2013 01: +0,0.451,9
Nov 20 2013 01: +0,0.447,7
Nov 21 2013 01: +0,0.434,10
Nov 22 2013 01: +0,0.459,11
Nov 23 2013 01: +0,0.452,8
Nov 24 2013 01: +0,0.489,11
Nov 25 2013 01: +0,0.448,12
Nov 26 2013 01: +0,0.467,18
Nov 27 2013 01: +0,0.456,20
Nov 28 2013 01: +0,0.405,8
Nov 29 2013 01: +0,0.386,13
Nov 30 2013 01: +0,0.398,24
Dec 01 2013 01: +0,0.403,21
Dec 02 2013 01: +0,0.415,24
Dec 03 2013 01: +0,0.448,18
Dec 04 2013 01: +0,0.444,23
Dec 05 2013 01: +0,0.447,26
Dec 06 2013 01: +0,0.516,16
Dec 07 2013 01: +0,0.483,19
Dec 08 2013 01: +0,0.472,18
Dec 09 2013 01: +0,0.497,8
Dec 10 2013 01: +0,0.416,18
Dec 11 2013 01: +0,0.442,19
Dec 12 2013 01: +0,0.496,16
Dec 13 2013 01: +0,0.462,10
Dec 14 2013 01: +0,0.444,19
Dec 15 2013 01: +0,0.441,23
Dec 16 2013 01: +0,0.43,7
Dec 17 2013 01: +0,0.409,11
Dec 18 2013 01: +0,0.394,19
Dec 19 2013 01: +0,0.37,28
Dec 20 2013 01: +0,0.353,22
Dec 21 2013 01: +0,0.327,22
Dec 22 2013 01: +0,0.385,33
Dec 23 2013 01: +0,0.39,21
Dec 24 2013 01: +0,0.371,24
Dec 25 2013 01: +0,0.427,24
Dec 26 2013 01: +0,0.428,35
Dec 27 2013 01: +0,0.45,27
