Nov 29 2016 01: +0,8.127,3
Nov 30 2016 01: +0,3.462,9
Dec 01 2016 01: +0,3.159,3
Dec 02 2016 01: +0,3.517,4
Dec 03 2016 01: +0,3.344,6
Dec 04 2016 01: +0,2.883,7
Dec 05 2016 01: +0,2.917,4
Dec 06 2016 01: +0,2.69,11
Dec 07 2016 01: +0,2.981,2
Dec 08 2016 01: +0,2.875,2
Dec 09 2016 01: +0,2.385,5
Dec 10 2016 01: +0,2.319,6
Dec 11 2016 01: +0,2.413,8
Dec 12 2016 01: +0,2.407,6
Dec 13 2016 01: +0,2.134,3
Dec 14 2016 01: +0,2.239,6
Dec 15 2016 01: +0,2.069,6
Dec 16 2016 01: +0,2.284,13
Dec 17 2016 01: +0,2.523,2
Dec 18 2016 01: +0,2.437,8
Dec 19 2016 01: +0,2.341,6
Dec 20 2016 01: +0,2.117,9
Dec 21 2016 01: +0,2.216,8
Dec 22 2016 01: +0,2.382,11
Dec 23 2016 01: +0,2.686,2
Dec 24 2016 01: +0,2.664,5
Dec 25 2016 01: +0,2.34,14
Dec 26 2016 01: +0,2.291,8
Dec 27 2016 01: +0,2.37,13
Dec 28 2016 01: +0,2.058,12
Dec 29 2016 01: +0,2.193,9
Dec 30 2016 01: +0,2.045,10
Dec 31 2016 01: +0,1.828,8
Jan 01 2017 01: +0,1.931,12
Jan 02 2017 01: +0,1.854,9
Jan 03 2017 01: +0,2.091,6
Jan 04 2017 01: +0,1.97,5
Jan 05 2017 01: +0,2.048,14
Jan 06 2017 01: +0,2.217,6
Jan 07 2017 01: +0,2.353,5
Jan 08 2017 01: +0,2.115,6
Jan 09 2017 01: +0,2.096,5
Jan 10 2017 01: +0,2.035,8
Jan 11 2017 01: +0,1.991,3
Jan 12 2017 01: +0,2.015,4
Jan 13 2017 01: +0,1.697,6
Jan 14 2017 01: +0,1.803,12
Jan 15 2017 01: +0,1.688,8
Jan 16 2017 01: +0,1.696,7
Jan 17 2017 01: +0,1.72,10
Jan 18 2017 01: +0,1.749,7
Jan 19 2017 01: +0,1.884,5
Jan 20 2017 01: +0,1.99,6
Jan 21 2017 01: +0,1.992,12
Jan 22 2017 01: +0,2.11,7
Jan 23 2017 01: +0,2.179,1
Jan 24 2017 01: +0,1.734,10
Jan 25 2017 01: +0,2.144,13
Jan 26 2017 01: +0,1.663,12
Jan 27 2017 01: +0,1.723,14
Jan 28 2017 01: +0,1.616,14
Jan 29 2017 01: +0,2.281,9
Jan 30 2017 01: +0,2.063,7
Jan 31 2017 01: +0,1.602,7
Feb 01 2017 01: +0,1.662,7
Feb 02 2017 01: +0,1.731,9
Feb 03 2017 01: +0,1.752,11
Feb 04 2017 01: +0,1.564,17
Feb 05 2017 01: +0,1.629,10
Feb 06 2017 01: +0,1.652,10
Feb 07 2017 01: +0,1.683,11
Feb 08 2017 01: +0,1.699,10
Feb 09 2017 01: +0,1.874,9
Feb 10 2017 01: +0,1.487,10
Feb 11 2017 01: +0,1.688,17
Feb 12 2017 01: +0,1.616,11
Feb 13 2017 01: +0,1.956,7
Feb 14 2017 01: +0,1.695,10
Feb 15 2017 01: +0,1.72,12
Feb 16 2017 01: +0,1.553,10
Feb 17 2017 01: +0,1.461,11
Feb 18 2017 01: +0,1.493,15
Feb 19 2017 01: +0,1.569,13
Feb 20 2017 01: +0,1.441,7
Feb 21 2017 01: +0,1.41,3
Feb 22 2017 01: +0,1.318,4
Feb 23 2017 01: +0,1.367,6
Feb 24 2017 01: +0,1.31,10
Feb 25 2017 01: +0,1.229,11
Feb 26 2017 01: +0,1.373,12
Feb 27 2017 01: +0,1.212,7
Feb 28 2017 01: +0,1.233,13
Mar 01 2017 01: +0,1.377,6
Mar 02 2017 01: +0,1.278,5
Mar 03 2017 01: +0,1.217,20
Mar 04 2017 01: +0,1.363,11
Mar 05 2017 01: +0,1.277,8
Mar 06 2017 01: +0,1.102,14
Mar 07 2017 01: +0,1.187,11
Mar 08 2017 01: +0,1.257,6
Mar 09 2017 01: +0,1.309,5
Mar 10 2017 01: +0,1.248,15
Mar 11 2017 01: +0,1.248,14
Mar 12 2017 01: +0,1.358,13
Mar 13 2017 01: +0,1.174,7
Mar 14 2017 01: +0,1.088,8
Mar 15 2017 01: +0,1.031,10
Mar 16 2017 01: +0,1.08,14
Mar 17 2017 01: +0,1.073,12
Mar 18 2017 01: +0,1.107,19
Mar 19 2017 01: +0,1.308,24
Mar 20 2017 01: +0,1.32,19
Mar 21 2017 01: +0,1.312,9
Mar 22 2017 01: +0,1.327,7
Mar 23 2017 01: +0,1.231,6
Mar 24 2017 01: +0,1.204,16
Mar 25 2017 01: +0,1.159,10
Mar 26 2017 01: +0,1.05,9
Mar 27 2017 01: +0,1.09,16
Mar 28 2017 01: +0,1.123,7
Mar 29 2017 01: +0,1.163,12
Mar 30 2017 01: +0,1.19,6
Mar 31 2017 01: +0,1.041,10
Apr 01 2017 01: +0,1.188,10
Apr 02 2017 01: +0,1.237,17
Apr 03 2017 01: +0,1.202,18
Apr 04 2017 01: +0,1.304,10
Apr 05 2017 01: +0,1.235,8
Apr 06 2017 01: +0,1.414,10
Apr 07 2017 01: +0,1.219,9
Apr 08 2017 01: +0,1.323,13
Apr 09 2017 01: +0,1.117,3
Apr 10 2017 01: +0,1.105,15
Apr 11 2017 01: +0,1.197,13
Apr 12 2017 01: +0,1.199,7
Apr 13 2017 01: +0,1.157,14
Apr 14 2017 01: +0,1.204,19
Apr 15 2017 01: +0,1.189,14
Apr 16 2017 01: +0,1.184,9
Apr 17 2017 01: +0,1.154,6
Apr 18 2017 01: +0,1.174,13
Apr 19 2017 01: +0,1.224,6
Apr 20 2017 01: +0,1.183,5
Apr 21 2017 01: +0,1.121,8
Apr 22 2017 01: +0,1.136,13
Apr 23 2017 01: +0,1.121,10
Apr 24 2017 01: +0,1.12,10
Apr 25 2017 01: +0,1.176,7
Apr 26 2017 01: +0,1.195,7
Apr 27 2017 01: +0,1.043,13
Apr 28 2017 01: +0,1.078,11
Apr 29 2017 01: +0,1.083,13
Apr 30 2017 01: +0,1.088,9
May 01 2017 01: +0,1.127,13
May 02 2017 01: +0,1.093,2
May 03 2017 01: +0,1.106,9
May 04 2017 01: +0,1.162,10
May 05 2017 01: +0,1.041,12
May 06 2017 01: +0,1.081,12
May 07 2017 01: +0,1.042,10
May 08 2017 01: +0,1.061,11
May 09 2017 01: +0,1.077,12
May 10 2017 01: +0,1.014,18
May 11 2017 01: +0,1.142,11
May 12 2017 01: +0,1.094,6
May 13 2017 01: +0,1.086,12
May 14 2017 01: +0,1.18,11
May 15 2017 01: +0,1.03,8
May 16 2017 01: +0,1.126,10
May 17 2017 01: +0,1.146,8
May 18 2017 01: +0,1.16,8
May 19 2017 01: +0,1.221,7
May 20 2017 01: +0,1.169,10
May 21 2017 01: +0,1.203,13
May 22 2017 01: +0,1.151,11
May 23 2017 01: +0,1.069,10
May 24 2017 01: +0,0.881,17
May 25 2017 01: +0,0.836,17
May 26 2017 01: +0,0.945,18
May 27 2017 01: +0,1.121,10
May 28 2017 01: +0,1.096,10
May 29 2017 01: +0,1.103,8
May 30 2017 01: +0,1.092,4
May 31 2017 01: +0,1.074,13
Jun 01 2017 01: +0,1.076,14
Jun 02 2017 01: +0,1.104,11
Jun 03 2017 01: +0,1.203,10
Jun 04 2017 01: +0,1.213,11
Jun 05 2017 01: +0,1.303,10
Jun 06 2017 01: +0,1.267,5
Jun 07 2017 01: +0,1.154,9
Jun 08 2017 01: +0,1.172,8
Jun 09 2017 01: +0,1.191,13
Jun 10 2017 01: +0,1.279,13
Jun 11 2017 01: +0,1.285,6
Jun 12 2017 01: +0,1.327,5
Jun 13 2017 01: +0,1.183,9
Jun 14 2017 01: +0,1.315,12
Jun 15 2017 01: +0,1.27,9
Jun 16 2017 01: +0,1.269,13
Jun 17 2017 01: +0,1.225,10
Jun 18 2017 01: +0,0.969,6
Jun 19 2017 01: +0,1.085,15
Jun 20 2017 01: +0,1.116,9
Jun 21 2017 01: +0,1.217,4
Jun 22 2017 01: +0,1.146,11
Jun 23 2017 01: +0,1.078,8
Jun 24 2017 01: +0,1.129,12
Jun 25 2017 01: +0,1.167,7
Jun 26 2017 01: +0,1.21,12
Jun 27 2017 01: +0,1.13,2
Jun 28 2017 01: +0,1.155,13
Jun 29 2017 01: +0,1.214,10
Jun 30 2017 01: +0,1.242,8
Jul 01 2017 01: +0,1.189,10
Jul 02 2017 01: +0,1.174,14
Jul 03 2017 01: +0,1.312,13
Jul 04 2017 01: +0,1.32,6
Jul 05 2017 01: +0,1.181,6
Jul 06 2017 01: +0,1.275,11
Jul 07 2017 01: +0,1.345,5
Jul 08 2017 01: +0,1.362,10
Jul 09 2017 01: +0,1.318,6
Jul 10 2017 01: +0,1.232,11
Jul 11 2017 01: +0,1.342,7
Jul 12 2017 01: +0,1.341,6
Jul 13 2017 01: +0,1.27,10
Jul 14 2017 01: +0,1.274,6
Jul 15 2017 01: +0,1.203,11
Jul 16 2017 01: +0,1.138,8
Jul 17 2017 01: +0,1.057,16
Jul 18 2017 01: +0,1.308,11
Jul 19 2017 01: +0,1.352,7
Jul 20 2017 01: +0,1.367,11
Jul 21 2017 01: +0,1.276,5
Jul 22 2017 01: +0,1.268,6
Jul 23 2017 01: +0,1.013,6
Jul 24 2017 01: +0,1.07,15
Jul 25 2017 01: +0,1.122,9
Jul 26 2017 01: +0,1.163,8
Jul 27 2017 01: +0,1.204,8
Jul 28 2017 01: +0,1.214,7
Jul 29 2017 01: +0,1.369,9
Jul 30 2017 01: +0,1.395,7
Jul 31 2017 01: +0,1.464,9
Aug 01 2017 01: +0,1.386,8
Aug 02 2017 01: +0,1.419,10
Aug 03 2017 01: +0,1.588,6
Aug 04 2017 01: +0,1.471,7
Aug 05 2017 01: +0,1.374,11
Aug 06 2017 01: +0,1.499,9
Aug 07 2017 01: +0,1.537,12
Aug 08 2017 01: +0,1.585,7
Aug 09 2017 01: +0,1.479,12
Aug 10 2017 01: +0,1.447,11
Aug 11 2017 01: +0,1.237,7
Aug 12 2017 01: +0,1.321,6
Aug 13 2017 01: +0,1.307,7
Aug 14 2017 01: +0,1.289,5
Aug 15 2017 01: +0,1.303,5
Aug 16 2017 01: +0,1.207,8
Aug 17 2017 01: +0,1.25,4
Aug 18 2017 01: +0,1.209,11
Aug 19 2017 01: +0,1.077,10
Aug 20 2017 01: +0,1.14,9
Aug 21 2017 01: +0,1.366,2
Aug 22 2017 01: +0,1.128,6
Aug 23 2017 01: +0,1.337,5
Aug 24 2017 01: +0,1.348,12
Aug 25 2017 01: +0,1.283,7
Aug 26 2017 01: +0,1.243,8
Aug 27 2017 01: +0,1.381,6
Aug 28 2017 01: +0,1.137,8
Aug 29 2017 01: +0,1.199,10
Aug 30 2017 01: +0,1.387,6
Aug 31 2017 01: +0,1.142,8
Sep 01 2017 01: +0,1.195,11
Sep 02 2017 01: +0,1.223,11
Sep 03 2017 01: +0,1.025,8
Sep 04 2017 01: +0,1.021,7
Sep 05 2017 01: +0,1.175,9
Sep 06 2017 01: +0,1.151,7
Sep 07 2017 01: +0,1.177,7
Sep 08 2017 01: +0,1.258,11
Sep 09 2017 01: +0,1.112,12
Sep 10 2017 01: +0,1.236,6
Sep 11 2017 01: +0,1.16,13
Sep 12 2017 01: +0,1.099,7
Sep 13 2017 01: +0,1.025,7
Sep 14 2017 01: +0,1.183,9
Sep 15 2017 01: +0,1.261,8
Sep 16 2017 01: +0,1.285,9
Sep 17 2017 01: +0,1.21,12
Sep 18 2017 01: +0,1.204,6
Sep 19 2017 01: +0,1.254,6
Sep 20 2017 01: +0,1.179,12
Sep 21 2017 01: +0,1.108,2
Sep 22 2017 01: +0,1.185,14
Sep 23 2017 01: +0,1.17,6
Sep 24 2017 01: +0,1.275,3
Sep 25 2017 01: +0,1.284,7
Sep 26 2017 01: +0,1.257,6
Sep 27 2017 01: +0,1.297,8
Sep 28 2017 01: +0,1.271,2
Sep 29 2017 01: +0,1.21,7
Sep 30 2017 01: +0,1.076,9
Oct 01 2017 01: +0,1.187,5
Oct 02 2017 01: +0,1.141,5
Oct 03 2017 01: +0,1.119,11
