Jul 11 2014 01: +0,3.723,3
Jul 12 2014 01: +0,5.892,3
Jul 13 2014 01: +0,3.12,1
Jul 14 2014 01: +0,4.15,5
Jul 15 2014 01: +0,4.779,4
Jul 16 2014 01: +0,5.275,2
Jul 17 2014 01: +0,5.165,2
Jul 19 2014 01: +0,2.745,1
Jul 20 2014 01: +0,3.919,5
Jul 21 2014 01: +0,3.618,2
Jul 22 2014 01: +0,4.348,2
Jul 24 2014 01: +0,3.75,2
Jul 25 2014 01: +0,3.749,2
Jul 26 2014 01: +0,3.194,1
Jul 27 2014 01: +0,2.548,5
Jul 28 2014 01: +0,2.545,5
Jul 29 2014 01: +0,2.208,3
Jul 30 2014 01: +0,2.783,3
Jul 31 2014 01: +0,2.914,2
Aug 01 2014 01: +0,2.831,2
Aug 02 2014 01: +0,1.668,1
Aug 03 2014 01: +0,2.62,10
Aug 04 2014 01: +0,2.603,4
Aug 05 2014 01: +0,2.674,4
Aug 06 2014 01: +0,2.008,4
Aug 07 2014 01: +0,2.181,14
Aug 08 2014 01: +0,2.862,6
Aug 09 2014 01: +0,2.414,4
Aug 10 2014 01: +0,2.535,5
Aug 11 2014 01: +0,1.637,2
Aug 12 2014 01: +0,1.921,7
Aug 13 2014 01: +0,2.111,5
Aug 14 2014 01: +0,1.939,10
Aug 15 2014 01: +0,1.973,2
Aug 16 2014 01: +0,2.003,7
Aug 17 2014 01: +0,1.842,10
Aug 18 2014 01: +0,1.787,8
Aug 19 2014 01: +0,1.882,7
Aug 20 2014 01: +0,2.16,5
Aug 21 2014 01: +0,2.084,5
Aug 22 2014 01: +0,2.114,4
Aug 23 2014 01: +0,2.279,11
Aug 24 2014 01: +0,2.617,6
Aug 25 2014 01: +0,3.375,3
Aug 26 2014 01: +0,2.784,6
Aug 27 2014 01: +0,2.689,3
Aug 28 2014 01: +0,2.426,4
Aug 29 2014 01: +0,2.527,6
Aug 30 2014 01: +0,2.264,5
Aug 31 2014 01: +0,2.315,6
Sep 01 2014 01: +0,2.229,8
Sep 02 2014 01: +0,2.225,11
Sep 03 2014 01: +0,1.703,8
Sep 04 2014 01: +0,1.829,7
Sep 05 2014 01: +0,1.746,10
Sep 06 2014 01: +0,1.73,9
Sep 07 2014 01: +0,1.913,4
Sep 08 2014 01: +0,1.526,7
Sep 09 2014 01: +0,1.596,10
Sep 10 2014 01: +0,1.668,10
Sep 11 2014 01: +0,1.419,7
Sep 12 2014 01: +0,1.415,8
Sep 13 2014 01: +0,1.493,7
Sep 14 2014 01: +0,1.367,6
Sep 15 2014 01: +0,1.317,9
Sep 16 2014 01: +0,1.476,10
Sep 17 2014 01: +0,1.95,4
Sep 18 2014 01: +0,1.817,6
Sep 19 2014 01: +0,1.62,8
Sep 20 2014 01: +0,1.572,5
Sep 21 2014 01: +0,1.471,11
Sep 22 2014 01: +0,1.53,8
Sep 23 2014 01: +0,1.695,6
Sep 24 2014 01: +0,1.952,5
Sep 25 2014 01: +0,1.603,6
Sep 26 2014 01: +0,1.615,8
Sep 27 2014 01: +0,1.467,7
Sep 28 2014 01: +0,1.458,13
Sep 29 2014 01: +0,1.737,8
Sep 30 2014 01: +0,1.407,8
Oct 01 2014 01: +0,1.556,10
Oct 02 2014 01: +0,1.648,2
Oct 03 2014 01: +0,1.265,8
Oct 04 2014 01: +0,1.247,12
Oct 05 2014 01: +0,1.45,16
Oct 06 2014 01: +0,1.54,8
Oct 07 2014 01: +0,1.594,8
Oct 08 2014 01: +0,1.532,10
Oct 09 2014 01: +0,2.111,9
Oct 10 2014 01: +0,1.846,7
Oct 11 2014 01: +0,1.603,9
Oct 12 2014 01: +0,1.557,9
Oct 13 2014 01: +0,1.647,11
Oct 14 2014 01: +0,1.837,10
Oct 15 2014 01: +0,1.679,8
Oct 16 2014 01: +0,1.991,8
Oct 17 2014 01: +0,1.855,10
Oct 18 2014 01: +0,1.749,12
Oct 19 2014 01: +0,1.596,8
Oct 20 2014 01: +0,1.734,6
Oct 21 2014 01: +0,1.728,12
Oct 22 2014 01: +0,1.694,9
Oct 23 2014 01: +0,1.75,6
Oct 24 2014 01: +0,1.821,8
Oct 25 2014 01: +0,1.749,6
Oct 26 2014 01: +0,1.612,8
Oct 27 2014 01: +0,1.617,8
Oct 28 2014 01: +0,1.356,4
Oct 29 2014 01: +0,1.34,10
Oct 30 2014 01: +0,1.519,9
Oct 31 2014 01: +0,1.73,18
Nov 01 2014 01: +0,2.757,15
Nov 02 2014 01: +0,1.312,7
Nov 03 2014 01: +0,1.618,11
Nov 04 2014 01: +0,1.514,7
Nov 05 2014 01: +0,2.033,7
Nov 06 2014 01: +0,1.854,4
Nov 07 2014 01: +0,1.896,4
Nov 08 2014 01: +0,1.535,10
Nov 09 2014 01: +0,1.646,13
Nov 10 2014 01: +0,1.853,8
Nov 11 2014 01: +0,1.635,9
Nov 12 2014 01: +0,1.408,7
Nov 13 2014 01: +0,1.222,7
Nov 14 2014 01: +0,1.3,6
Nov 15 2014 01: +0,1.385,11
Nov 16 2014 01: +0,1.553,9
Nov 17 2014 01: +0,1.778,6
Nov 18 2014 01: +0,1.973,4
Nov 19 2014 01: +0,2.049,2
Nov 20 2014 01: +0,1.518,7
Nov 21 2014 01: +0,1.685,6
Nov 22 2014 01: +0,1.627,7
Nov 23 2014 01: +0,1.434,9
Nov 24 2014 01: +0,1.437,11
Nov 25 2014 01: +0,1.586,9
Nov 26 2014 01: +0,1.433,4
Nov 27 2014 01: +0,1.7,13
Nov 28 2014 01: +0,1.849,7
Nov 29 2014 01: +0,1.917,3
Nov 30 2014 01: +0,2.011,22
Dec 01 2014 01: +0,1.073,5
Dec 02 2014 01: +0,1.861,5
Dec 03 2014 01: +0,1.935,4
Dec 04 2014 01: +0,1.841,3
Dec 05 2014 01: +0,2.138,9
Dec 06 2014 01: +0,1.882,5
Dec 07 2014 01: +0,1.889,11
Dec 08 2014 01: +0,1.841,6
Dec 09 2014 01: +0,1.896,7
Dec 10 2014 01: +0,1.887,7
Dec 11 2014 01: +0,1.797,10
Dec 12 2014 01: +0,1.921,12
Dec 13 2014 01: +0,1.781,9
Dec 14 2014 01: +0,1.789,7
Dec 15 2014 01: +0,1.588,4
Dec 16 2014 01: +0,1.607,8
Dec 17 2014 01: +0,1.811,4
Dec 18 2014 01: +0,1.552,17
Dec 19 2014 01: +0,1.847,9
Dec 20 2014 01: +0,2.043,10
Dec 21 2014 01: +0,2.218,6
Dec 22 2014 01: +0,1.99,12
Dec 23 2014 01: +0,3.169,13
Dec 24 2014 01: +0,1.556,7
Dec 25 2014 01: +0,1.737,13
Dec 26 2014 01: +0,1.69,13
Dec 27 2014 01: +0,1.875,14
Dec 28 2014 01: +0,2.289,14
Dec 29 2014 01: +0,2.013,10
Dec 30 2014 01: +0,2.049,13
Dec 31 2014 01: +0,2.202,13
Jan 01 2015 01: +0,2.371,9
Jan 02 2015 01: +0,2.194,10
Jan 03 2015 01: +0,1.959,18
Jan 04 2015 01: +0,1.854,21
Jan 05 2015 01: +0,1.875,13
Jan 06 2015 01: +0,1.925,17
Jan 07 2015 01: +0,2.011,15
Jan 08 2015 01: +0,2.068,12
Jan 09 2015 01: +0,1.885,13
Jan 10 2015 01: +0,2.054,16
Jan 11 2015 01: +0,1.883,19
Jan 12 2015 01: +0,1.949,11
Jan 13 2015 01: +0,1.886,16
Jan 14 2015 01: +0,1.97,12
Jan 15 2015 01: +0,1.755,18
Jan 16 2015 01: +0,2.024,10
Jan 17 2015 01: +0,2.086,14
Jan 18 2015 01: +0,1.572,18
Jan 19 2015 01: +0,2.054,10
Jan 20 2015 01: +0,2.134,5
Jan 21 2015 01: +0,2.102,10
Jan 22 2015 01: +0,1.752,13
Jan 23 2015 01: +0,1.658,10
Jan 24 2015 01: +0,1.848,11
Jan 25 2015 01: +0,1.934,13
Jan 26 2015 01: +0,1.821,12
Jan 27 2015 01: +0,1.672,21
Jan 28 2015 01: +0,1.924,13
Jan 29 2015 01: +0,2.006,11
Jan 30 2015 01: +0,2.005,18
Jan 31 2015 01: +0,1.987,10
Feb 01 2015 01: +0,1.836,5
Feb 02 2015 01: +0,1.703,14
Feb 03 2015 01: +0,1.633,14
Feb 04 2015 01: +0,1.775,12
Feb 05 2015 01: +0,1.585,10
Feb 06 2015 01: +0,1.608,21
Feb 07 2015 01: +0,1.943,20
Feb 08 2015 01: +0,1.826,9
Feb 09 2015 01: +0,2.074,11
Feb 10 2015 01: +0,2.344,10
Feb 11 2015 01: +0,1.825,9
Feb 12 2015 01: +0,1.664,10
Feb 13 2015 01: +0,2.057,8
Feb 14 2015 01: +0,1.966,13
Feb 15 2015 01: +0,1.626,21
Feb 16 2015 01: +0,1.57,16
Feb 17 2015 01: +0,1.666,6
Feb 18 2015 01: +0,1.644,12
Feb 19 2015 01: +0,1.878,10
Feb 20 2015 01: +0,2.081,9
Feb 21 2015 01: +0,1.716,12
Feb 22 2015 01: +0,1.735,12
Feb 23 2015 01: +0,1.759,11
Feb 24 2015 01: +0,1.769,8
Feb 25 2015 01: +0,1.821,6
Feb 26 2015 01: +0,1.835,11
Feb 27 2015 01: +0,2.07,11
Feb 28 2015 01: +0,2.03,9
Mar 01 2015 01: +0,1.903,6
Mar 02 2015 01: +0,1.927,7
Mar 03 2015 01: +0,1.93,9
Mar 04 2015 01: +0,1.926,11
Mar 05 2015 01: +0,1.968,6
Mar 06 2015 01: +0,1.803,16
Mar 07 2015 01: +0,1.858,7
Mar 08 2015 01: +0,1.605,10
Mar 09 2015 01: +0,1.518,11
Mar 10 2015 01: +0,1.687,8
Mar 11 2015 01: +0,1.822,9
Mar 12 2015 01: +0,1.775,12
Mar 13 2015 01: +0,1.777,8
Mar 14 2015 01: +0,1.883,12
Mar 15 2015 01: +0,1.659,13
Mar 16 2015 01: +0,1.935,8
Mar 17 2015 01: +0,1.815,12
Mar 18 2015 01: +0,1.909,9
Mar 19 2015 01: +0,1.819,12
Mar 20 2015 01: +0,2.039,16
Mar 21 2015 01: +0,2.281,10
Mar 22 2015 01: +0,1.921,5
Mar 23 2015 01: +0,2.02,9
Mar 24 2015 01: +0,1.935,8
Mar 25 2015 01: +0,2.171,8
Mar 26 2015 01: +0,1.805,12
Mar 27 2015 01: +0,2.088,9
Mar 28 2015 01: +0,1.695,3
Mar 29 2015 01: +0,1.686,9
Mar 30 2015 01: +0,1.933,7
Mar 31 2015 01: +0,1.724,11
Apr 01 2015 01: +0,3.761,40
Apr 02 2015 01: +0,3.447,11
Apr 03 2015 01: +0,3.69,19
Apr 04 2015 01: +0,3.927,17
Apr 05 2015 01: +0,3.5,15
Apr 06 2015 01: +0,3.493,12
Apr 07 2015 01: +0,3.493,8
Apr 08 2015 01: +0,3.443,19
Apr 09 2015 01: +0,4.255,11
Apr 10 2015 01: +0,4.177,9
Apr 11 2015 01: +0,4.017,13
Apr 12 2015 01: +0,4.231,13
Apr 13 2015 01: +0,4.017,11
Apr 14 2015 01: +0,4.115,10
Apr 15 2015 01: +0,4.582,7
Apr 16 2015 01: +0,2.706,10
Apr 17 2015 01: +0,3.13,14
Apr 18 2015 01: +0,3.484,8
Apr 19 2015 01: +0,3.32,16
Apr 20 2015 01: +0,3.068,16
Apr 21 2015 01: +0,3.881,7
Apr 22 2015 01: +0,4.155,6
Apr 23 2015 01: +0,4.068,7
Apr 24 2015 01: +0,3.804,12
Apr 25 2015 01: +0,3.773,14
Apr 26 2015 01: +0,3.631,13
Apr 27 2015 01: +0,3.508,12
Apr 28 2015 01: +0,4.134,8
Apr 29 2015 01: +0,3.622,11
Apr 30 2015 01: +0,3.754,10
May 01 2015 01: +0,4.021,8
May 02 2015 01: +0,4.172,17
May 03 2015 01: +0,4.262,14
May 04 2015 01: +0,4.326,13
May 05 2015 01: +0,4.539,6
May 06 2015 01: +0,4.567,9
May 07 2015 01: +0,4.498,8
May 08 2015 01: +0,4.459,8
May 09 2015 01: +0,4.807,5
May 10 2015 01: +0,4.553,13
May 11 2015 01: +0,4.887,5
May 12 2015 01: +0,4.835,3
May 13 2015 01: +0,4.265,9
May 14 2015 01: +0,4.085,7
May 15 2015 01: +0,4.642,11
May 16 2015 01: +0,4.461,14
May 17 2015 01: +0,4.18,9
May 18 2015 01: +0,4.313,11
May 19 2015 01: +0,4.189,6
May 20 2015 01: +0,4.122,6
May 21 2015 01: +0,4.157,4
May 22 2015 01: +0,4.345,4
May 23 2015 01: +0,4.544,9
May 24 2015 01: +0,4.496,8
May 25 2015 01: +0,3.884,9
May 26 2015 01: +0,4.22,7
May 27 2015 01: +0,2.653,14
May 28 2015 01: +0,3.465,12
May 29 2015 01: +0,3.768,9
May 30 2015 01: +0,3.59,16
May 31 2015 01: +0,3.98,9
Jun 01 2015 01: +0,3.934,10
Jun 02 2015 01: +0,4.196,13
Jun 03 2015 01: +0,4.143,10
Jun 04 2015 01: +0,4.028,10
Jun 05 2015 01: +0,3.552,12
Jun 06 2015 01: +0,3.972,11
Jun 07 2015 01: +0,3.777,9
Jun 08 2015 01: +0,4.323,8
Jun 09 2015 01: +0,4.87,5
Jun 10 2015 01: +0,4.406,4
Jun 11 2015 01: +0,4.407,7
Jun 12 2015 01: +0,4.057,4
Jun 13 2015 01: +0,3.911,9
