Jan 09 2015 01: +0,1.102,98
Jan 10 2015 01: +0,0.796,114
Jan 11 2015 01: +0,0.598,137
Jan 12 2015 01: +0,0.488,127
Jan 13 2015 01: +0,0.44,119
Jan 14 2015 01: +0,0.38,125
Jan 15 2015 01: +0,0.348,151
Jan 16 2015 01: +0,0.366,112
Jan 17 2015 01: +0,0.328,151
Jan 18 2015 01: +0,0.281,168
Jan 19 2015 01: +0,0.243,155
Jan 20 2015 01: +0,0.238,156
Jan 21 2015 01: +0,0.227,153
Jan 22 2015 01: +0,0.231,142
Jan 23 2015 01: +0,0.232,158
Jan 24 2015 01: +0,0.246,200
Jan 25 2015 01: +0,0.213,221
Jan 26 2015 01: +0,0.197,197
Jan 27 2015 01: +0,0.191,178
Jan 28 2015 01: +0,0.182,191
Jan 29 2015 01: +0,0.178,192
Jan 30 2015 01: +0,0.178,235
Jan 31 2015 01: +0,0.176,292
Feb 01 2015 01: +0,0.165,288
Feb 02 2015 01: +0,0.15,270
Feb 03 2015 01: +0,0.147,252
Feb 04 2015 01: +0,0.158,256
Feb 05 2015 01: +0,0.143,232
Feb 06 2015 01: +0,0.145,249
Feb 07 2015 01: +0,0.143,348
Feb 08 2015 01: +0,0.142,332
Feb 09 2015 01: +0,0.132,256
Feb 10 2015 01: +0,0.126,281
Feb 11 2015 01: +0,0.132,254
Feb 12 2015 01: +0,0.12,273
Feb 13 2015 01: +0,0.117,301
Feb 14 2015 01: +0,0.129,310
Feb 15 2015 01: +0,0.136,317
Feb 16 2015 01: +0,0.124,286
Feb 17 2015 01: +0,0.114,322
Feb 18 2015 01: +0,0.115,292
Feb 19 2015 01: +0,0.122,333
Feb 20 2015 01: +0,0.121,325
Feb 21 2015 01: +0,0.127,339
Feb 22 2015 01: +0,0.119,379
Feb 23 2015 01: +0,0.114,294
Feb 24 2015 01: +0,0.115,321
Feb 25 2015 01: +0,0.109,321
Feb 26 2015 01: +0,0.115,285
Feb 27 2015 01: +0,0.11,365
Feb 28 2015 01: +0,0.106,406
Mar 01 2015 01: +0,0.103,418
Mar 02 2015 01: +0,0.102,350
Mar 03 2015 01: +0,0.101,286
Mar 04 2015 01: +0,0.098,319
Mar 05 2015 01: +0,0.097,318
Mar 06 2015 01: +0,0.096,348
Mar 07 2015 01: +0,0.098,404
Mar 08 2015 01: +0,0.094,390
Mar 09 2015 01: +0,0.093,311
Mar 10 2015 01: +0,0.091,320
Mar 11 2015 01: +0,0.091,283
Mar 12 2015 01: +0,0.092,321
Mar 13 2015 01: +0,0.089,321
Mar 14 2015 01: +0,0.088,481
Mar 15 2015 01: +0,0.079,487
Mar 16 2015 01: +0,0.074,408
Mar 17 2015 01: +0,0.083,426
Mar 18 2015 01: +0,0.09,401
Mar 19 2015 01: +0,0.092,402
Mar 20 2015 01: +0,0.092,433
Mar 21 2015 01: +0,0.095,500
Mar 22 2015 01: +0,0.098,465
Mar 23 2015 01: +0,0.095,362
Mar 24 2015 01: +0,0.093,398
Mar 25 2015 01: +0,0.093,430
Mar 26 2015 01: +0,0.094,370
Mar 27 2015 01: +0,0.09,452
Mar 28 2015 01: +0,0.095,544
Mar 29 2015 01: +0,0.091,503
Mar 30 2015 01: +0,0.092,385
Mar 31 2015 01: +0,0.091,425
Apr 01 2015 01: +0,0.35,2138
Apr 02 2015 01: +0,0.345,853
Apr 03 2015 01: +0,0.352,674
Apr 04 2015 01: +0,0.329,621
Apr 05 2015 01: +0,0.319,525
Apr 06 2015 01: +0,0.315,483
Apr 07 2015 01: +0,0.318,451
Apr 08 2015 01: +0,0.324,424
Apr 09 2015 01: +0,0.326,381
Apr 10 2015 01: +0,0.326,370
Apr 11 2015 01: +0,0.318,449
Apr 12 2015 01: +0,0.319,439
Apr 13 2015 01: +0,0.307,328
Apr 14 2015 01: +0,0.297,294
Apr 15 2015 01: +0,0.282,306
Apr 16 2015 01: +0,0.251,431
Apr 17 2015 01: +0,0.243,378
Apr 18 2015 01: +0,0.253,556
Apr 19 2015 01: +0,0.26,417
Apr 20 2015 01: +0,0.243,378
Apr 21 2015 01: +0,0.249,430
Apr 22 2015 01: +0,0.252,323
Apr 23 2015 01: +0,0.258,396
Apr 24 2015 01: +0,0.252,431
Apr 25 2015 01: +0,0.256,478
Apr 26 2015 01: +0,0.257,434
Apr 27 2015 01: +0,0.252,385
Apr 28 2015 01: +0,0.259,380
Apr 29 2015 01: +0,0.267,325
Apr 30 2015 01: +0,0.27,397
May 01 2015 01: +0,0.268,404
May 02 2015 01: +0,0.268,466
May 03 2015 01: +0,0.264,469
May 04 2015 01: +0,0.256,410
May 05 2015 01: +0,0.269,370
May 06 2015 01: +0,0.267,370
May 07 2015 01: +0,0.261,294
May 08 2015 01: +0,0.263,419
May 09 2015 01: +0,0.266,453
May 10 2015 01: +0,0.258,425
May 11 2015 01: +0,0.257,352
May 12 2015 01: +0,0.271,338
May 13 2015 01: +0,0.275,349
May 14 2015 01: +0,0.269,363
May 15 2015 01: +0,0.27,388
May 16 2015 01: +0,0.281,421
May 17 2015 01: +0,0.267,434
May 18 2015 01: +0,0.268,347
May 19 2015 01: +0,0.267,399
May 20 2015 01: +0,0.274,328
May 21 2015 01: +0,0.271,315
May 22 2015 01: +0,0.266,372
May 23 2015 01: +0,0.274,370
May 24 2015 01: +0,0.271,378
May 25 2015 01: +0,0.279,328
May 26 2015 01: +0,0.266,373
May 27 2015 01: +0,0.173,502
May 28 2015 01: +0,0.195,440
May 29 2015 01: +0,0.21,468
May 30 2015 01: +0,0.236,473
May 31 2015 01: +0,0.239,379
Jun 01 2015 01: +0,0.245,362
Jun 02 2015 01: +0,0.245,393
Jun 03 2015 01: +0,0.254,381
Jun 04 2015 01: +0,0.237,385
Jun 05 2015 01: +0,0.217,395
Jun 06 2015 01: +0,0.229,375
Jun 07 2015 01: +0,0.226,398
Jun 08 2015 01: +0,0.226,383
Jun 09 2015 01: +0,0.226,328
Jun 10 2015 01: +0,0.232,376
Jun 11 2015 01: +0,0.22,349
Jun 12 2015 01: +0,0.194,400
Jun 13 2015 01: +0,0.191,481
Jun 14 2015 01: +0,0.184,432
Jun 15 2015 01: +0,0.189,399
Jun 16 2015 01: +0,0.194,348
Jun 17 2015 01: +0,0.195,441
Jun 18 2015 01: +0,0.198,332
Jun 19 2015 01: +0,0.197,358
Jun 20 2015 01: +0,0.198,410
Jun 21 2015 01: +0,0.198,434
Jun 22 2015 01: +0,0.201,372
Jun 23 2015 01: +0,0.211,357
Jun 24 2015 01: +0,0.229,314
Jun 25 2015 01: +0,0.23,317
Jun 26 2015 01: +0,0.235,324
Jun 27 2015 01: +0,0.235,343
Jun 28 2015 01: +0,0.24,313
Jun 29 2015 01: +0,0.239,369
Jun 30 2015 01: +0,0.241,355
Jul 01 2015 01: +0,0.242,309
Jul 02 2015 01: +0,0.239,335
Jul 03 2015 01: +0,0.238,298
Jul 04 2015 01: +0,0.245,283
Jul 05 2015 01: +0,0.244,288
Jul 06 2015 01: +0,0.242,319
Jul 07 2015 01: +0,0.244,344
Jul 08 2015 01: +0,0.236,320
Jul 09 2015 01: +0,0.237,315
Jul 10 2015 01: +0,0.239,334
Jul 11 2015 01: +0,0.233,343
Jul 12 2015 01: +0,0.233,356
Jul 13 2015 01: +0,0.232,337
Jul 14 2015 01: +0,0.233,346
Jul 15 2015 01: +0,0.235,311
Jul 16 2015 01: +0,0.229,328
Jul 17 2015 01: +0,0.226,334
Jul 18 2015 01: +0,0.227,321
Jul 19 2015 01: +0,0.237,331
Jul 20 2015 01: +0,0.234,378
Jul 21 2015 01: +0,0.231,364
Jul 22 2015 01: +0,0.235,319
Jul 23 2015 01: +0,0.228,343
Jul 24 2015 01: +0,0.237,365
Jul 25 2015 01: +0,0.23,274
Jul 26 2015 01: +0,0.231,293
Jul 27 2015 01: +0,0.232,343
Jul 28 2015 01: +0,0.227,338
Jul 29 2015 01: +0,0.228,321
Jul 30 2015 01: +0,0.235,312
Jul 31 2015 01: +0,0.224,356
Aug 01 2015 01: +0,0.228,318
Aug 02 2015 01: +0,0.226,340
Aug 03 2015 01: +0,0.223,337
Aug 04 2015 01: +0,0.231,312
Aug 05 2015 01: +0,0.228,332
Aug 06 2015 01: +0,0.223,336
Aug 07 2015 01: +0,0.226,313
Aug 08 2015 01: +0,0.229,300
Aug 09 2015 01: +0,0.225,272
Aug 10 2015 01: +0,0.228,360
Aug 11 2015 01: +0,0.23,335
Aug 12 2015 01: +0,0.229,340
Aug 13 2015 01: +0,0.218,302
Aug 14 2015 01: +0,0.217,320
Aug 15 2015 01: +0,0.187,338
Aug 16 2015 01: +0,0.185,360
Aug 17 2015 01: +0,0.188,350
Aug 18 2015 01: +0,0.192,341
Aug 19 2015 01: +0,0.194,315
Aug 20 2015 01: +0,0.191,331
Aug 21 2015 01: +0,0.184,436
Aug 22 2015 01: +0,0.188,381
Aug 23 2015 01: +0,0.163,463
Aug 24 2015 01: +0,0.169,409
Aug 25 2015 01: +0,0.209,329
Aug 26 2015 01: +0,0.221,312
Aug 27 2015 01: +0,0.221,321
Aug 28 2015 01: +0,0.223,408
Aug 29 2015 01: +0,0.232,388
Aug 30 2015 01: +0,0.234,366
Aug 31 2015 01: +0,0.231,381
Sep 01 2015 01: +0,0.236,379
Sep 02 2015 01: +0,0.236,290
Sep 03 2015 01: +0,0.227,309
Sep 04 2015 01: +0,0.229,320
Sep 05 2015 01: +0,0.23,397
Sep 06 2015 01: +0,0.228,391
Sep 07 2015 01: +0,0.224,284
Sep 08 2015 01: +0,0.23,316
Sep 09 2015 01: +0,0.227,229
Sep 10 2015 01: +0,0.232,322
Sep 11 2015 01: +0,0.228,331
Sep 12 2015 01: +0,0.228,423
Sep 13 2015 01: +0,0.233,357
Sep 14 2015 01: +0,0.23,397
Sep 15 2015 01: +0,0.239,270
Sep 16 2015 01: +0,0.231,298
Sep 17 2015 01: +0,0.228,303
Sep 18 2015 01: +0,0.223,442
Sep 19 2015 01: +0,0.232,510
Sep 20 2015 01: +0,0.241,440
Sep 21 2015 01: +0,0.228,392
Sep 22 2015 01: +0,0.239,397
Sep 23 2015 01: +0,0.247,404
Sep 24 2015 01: +0,0.243,339
Sep 25 2015 01: +0,0.25,372
Sep 26 2015 01: +0,0.254,451
Sep 27 2015 01: +0,0.253,456
Sep 28 2015 01: +0,0.255,307
Sep 29 2015 01: +0,0.252,298
Sep 30 2015 01: +0,0.25,340
Oct 01 2015 01: +0,0.249,298
Oct 02 2015 01: +0,0.251,344
Oct 03 2015 01: +0,0.252,430
Oct 04 2015 01: +0,0.25,348
Oct 05 2015 01: +0,0.249,310
Oct 06 2015 01: +0,0.26,243
Oct 07 2015 01: +0,0.258,289
Oct 08 2015 01: +0,0.256,287
Oct 09 2015 01: +0,0.26,317
Oct 10 2015 01: +0,0.261,349
Oct 11 2015 01: +0,0.266,325
Oct 12 2015 01: +0,0.263,301
Oct 13 2015 01: +0,0.255,262
Oct 14 2015 01: +0,0.254,273
Oct 15 2015 01: +0,0.234,281
Oct 16 2015 01: +0,0.242,263
Oct 17 2015 01: +0,0.251,335
Oct 18 2015 01: +0,0.238,366
Oct 19 2015 01: +0,0.237,266
Oct 20 2015 01: +0,2.318,255
Oct 21 2015 01: +0,0.222,231
Oct 22 2015 01: +0,0.215,229
Oct 23 2015 01: +0,0.221,323
Oct 24 2015 01: +0,0.227,328
Oct 25 2015 01: +0,0.227,319
Oct 26 2015 01: +0,0.22,244
Oct 27 2015 01: +0,0.225,270
Oct 28 2015 01: +0,0.221,264
Oct 29 2015 01: +0,0.215,271
Oct 30 2015 01: +0,0.21,337
Oct 31 2015 01: +0,0.208,330
Nov 01 2015 01: +0,0.182,415
Nov 02 2015 01: +0,0.186,317
Nov 03 2015 01: +0,0.21,297
Nov 04 2015 01: +0,0.222,249
Nov 05 2015 01: +0,0.232,242
Nov 06 2015 01: +0,0.23,273
Nov 07 2015 01: +0,0.238,314
Nov 08 2015 01: +0,0.238,308
