Nov 29 2016 01: +0,1.829,72
Nov 30 2016 01: +0,1.31,78
Dec 01 2016 01: +0,1.286,65
Dec 02 2016 01: +0,1.074,75
Dec 03 2016 01: +0,0.889,100
Dec 04 2016 01: +0,0.748,93
Dec 05 2016 01: +0,0.881,61
Dec 06 2016 01: +0,0.8,87
Dec 07 2016 01: +0,0.789,81
Dec 08 2016 01: +0,0.805,76
Dec 09 2016 01: +0,1.053,61
Dec 10 2016 01: +0,0.768,101
Dec 11 2016 01: +0,0.693,73
Dec 12 2016 01: +0,0.701,99
Dec 13 2016 01: +0,0.728,81
Dec 14 2016 01: +0,0.697,67
Dec 15 2016 01: +0,0.666,79
Dec 16 2016 01: +0,0.63,81
Dec 17 2016 01: +0,0.671,57
Dec 18 2016 01: +0,0.574,87
Dec 19 2016 01: +0,0.578,97
Dec 20 2016 01: +0,0.669,89
Dec 21 2016 01: +0,0.821,73
Dec 22 2016 01: +0,0.761,98
Dec 23 2016 01: +0,0.761,63
Dec 24 2016 01: +0,0.793,108
Dec 25 2016 01: +0,0.845,177
Dec 26 2016 01: +0,0.848,108
Dec 27 2016 01: +0,0.788,103
Dec 28 2016 01: +0,0.69,118
Dec 29 2016 01: +0,0.732,79
Dec 30 2016 01: +0,0.732,85
Dec 31 2016 01: +0,0.659,114
Jan 01 2017 01: +0,0.706,132
Jan 02 2017 01: +0,0.723,99
Jan 03 2017 01: +0,0.728,94
Jan 04 2017 01: +0,0.628,86
Jan 05 2017 01: +0,0.626,120
Jan 06 2017 01: +0,0.681,85
Jan 07 2017 01: +0,0.661,114
Jan 08 2017 01: +0,0.655,102
Jan 09 2017 01: +0,0.67,97
Jan 10 2017 01: +0,0.612,99
Jan 11 2017 01: +0,0.587,112
Jan 12 2017 01: +0,0.598,166
Jan 13 2017 01: +0,0.554,138
Jan 14 2017 01: +0,0.605,128
Jan 15 2017 01: +0,0.572,151
Jan 16 2017 01: +0,0.537,107
Jan 17 2017 01: +0,0.566,86
Jan 18 2017 01: +0,0.577,68
Jan 19 2017 01: +0,0.549,116
Jan 20 2017 01: +0,0.549,122
Jan 21 2017 01: +0,0.569,102
Jan 22 2017 01: +0,0.56,132
Jan 23 2017 01: +0,0.565,106
Jan 24 2017 01: +0,0.589,106
Jan 25 2017 01: +0,0.6,122
Jan 26 2017 01: +0,0.573,110
Jan 27 2017 01: +0,0.588,132
Jan 28 2017 01: +0,0.642,138
Jan 29 2017 01: +0,0.603,137
Jan 30 2017 01: +0,0.607,135
Jan 31 2017 01: +0,0.65,134
Feb 01 2017 01: +0,0.633,121
Feb 02 2017 01: +0,0.624,95
Feb 03 2017 01: +0,0.654,148
Feb 04 2017 01: +0,0.676,183
Feb 05 2017 01: +0,0.648,141
Feb 06 2017 01: +0,0.623,112
Feb 07 2017 01: +0,0.636,110
Feb 08 2017 01: +0,0.613,116
Feb 09 2017 01: +0,0.618,96
Feb 10 2017 01: +0,0.613,140
Feb 11 2017 01: +0,0.618,130
Feb 12 2017 01: +0,0.633,138
Feb 13 2017 01: +0,0.632,116
Feb 14 2017 01: +0,0.597,127
Feb 15 2017 01: +0,0.549,84
Feb 16 2017 01: +0,0.586,112
Feb 17 2017 01: +0,0.568,81
Feb 18 2017 01: +0,0.539,138
Feb 19 2017 01: +0,0.556,176
Feb 20 2017 01: +0,0.545,129
Feb 21 2017 01: +0,0.555,115
Feb 22 2017 01: +0,0.53,91
Feb 23 2017 01: +0,0.545,96
Feb 24 2017 01: +0,0.542,100
Feb 25 2017 01: +0,0.545,115
Feb 26 2017 01: +0,0.523,121
Feb 27 2017 01: +0,0.518,86
Feb 28 2017 01: +0,0.537,148
Mar 01 2017 01: +0,0.545,129
Mar 02 2017 01: +0,0.547,133
Mar 03 2017 01: +0,0.542,103
Mar 04 2017 01: +0,0.535,138
Mar 05 2017 01: +0,0.53,122
Mar 06 2017 01: +0,0.532,155
Mar 07 2017 01: +0,0.532,142
Mar 08 2017 01: +0,0.533,120
