Jun 16 2016 01: +0,3.438,6
Jun 17 2016 01: +0,1.43,2
Jun 18 2016 01: +0,1.329,11
Jun 19 2016 01: +0,1.601,11
Jun 20 2016 01: +0,1.703,1
Jun 21 2016 01: +0,2.362,6
Jun 22 2016 01: +0,1.726,5
Jun 23 2016 01: +0,1.044,6
Jun 24 2016 01: +0,1.028,7
Jun 25 2016 01: +0,0.932,15
Jun 26 2016 01: +0,1.119,3
Jun 27 2016 01: +0,0.88,8
Jun 28 2016 01: +0,0.938,10
Jun 29 2016 01: +0,0.987,12
Jun 30 2016 01: +0,1.131,5
Jul 01 2016 01: +0,0.938,5
Jul 02 2016 01: +0,0.957,6
Jul 03 2016 01: +0,0.987,6
Jul 04 2016 01: +0,1.082,19
Jul 05 2016 01: +0,1.49,3
Jul 06 2016 01: +0,0.94,1
Jul 07 2016 01: +0,0.925,2
Jul 08 2016 01: +0,0.82,6
Jul 09 2016 01: +0,0.594,3
Jul 10 2016 01: +0,0.771,12
Jul 11 2016 01: +0,0.689,7
Jul 12 2016 01: +0,0.695,11
Jul 13 2016 01: +0,0.702,7
Jul 14 2016 01: +0,0.655,12
Jul 15 2016 01: +0,0.716,9
Jul 16 2016 01: +0,0.756,11
Jul 17 2016 01: +0,0.731,12
Jul 18 2016 01: +0,0.797,10
Jul 19 2016 01: +0,0.723,28
Jul 20 2016 01: +0,0.829,4
Jul 21 2016 01: +0,0.744,4
Jul 22 2016 01: +0,0.65,16
Jul 23 2016 01: +0,0.534,19
Jul 24 2016 01: +0,0.476,22
Jul 25 2016 01: +0,0.674,17
Jul 26 2016 01: +0,0.72,6
Jul 27 2016 01: +0,0.639,9
Jul 28 2016 01: +0,0.601,6
Jul 29 2016 01: +0,0.538,18
Jul 30 2016 01: +0,0.615,15
Jul 31 2016 01: +0,0.708,6
Aug 01 2016 01: +0,0.547,10
Aug 02 2016 01: +0,0.523,15
Aug 03 2016 01: +0,0.617,10
Aug 04 2016 01: +0,0.576,6
Aug 05 2016 01: +0,0.547,9
Aug 06 2016 01: +0,0.448,12
Aug 07 2016 01: +0,0.482,17
Aug 08 2016 01: +0,0.495,10
Aug 09 2016 01: +0,0.468,15
Aug 10 2016 01: +0,0.48,14
Aug 11 2016 01: +0,0.469,4
Aug 12 2016 01: +0,0.455,6
Aug 13 2016 01: +0,0.52,14
Aug 14 2016 01: +0,0.569,5
Aug 15 2016 01: +0,0.52,9
Aug 16 2016 01: +0,0.438,20
Aug 17 2016 01: +0,0.434,9
Aug 18 2016 01: +0,0.443,8
Aug 19 2016 01: +0,0.39,10
Aug 20 2016 01: +0,0.389,15
Aug 21 2016 01: +0,0.393,16
Aug 22 2016 01: +0,0.367,16
Aug 23 2016 01: +0,0.346,23
Aug 24 2016 01: +0,0.435,8
Aug 25 2016 01: +0,0.355,16
Aug 26 2016 01: +0,0.454,13
Aug 27 2016 01: +0,0.373,17
Aug 28 2016 01: +0,0.422,34
Aug 29 2016 01: +0,0.867,6
Aug 30 2016 01: +0,0.519,9
Aug 31 2016 01: +0,0.398,13
Sep 01 2016 01: +0,0.779,7
Sep 02 2016 01: +0,0.39,6
Sep 03 2016 01: +0,0.403,8
Sep 04 2016 01: +0,0.326,11
Sep 05 2016 01: +0,0.322,6
Sep 06 2016 01: +0,0.328,11
Sep 07 2016 01: +0,0.338,17
Sep 08 2016 01: +0,0.351,17
Sep 09 2016 01: +0,0.36,8
Sep 10 2016 01: +0,0.379,13
Sep 11 2016 01: +0,0.389,14
Sep 12 2016 01: +0,0.406,10
Sep 13 2016 01: +0,0.633,8
Sep 14 2016 01: +0,0.39,5
Sep 15 2016 01: +0,0.492,19
Sep 16 2016 01: +0,0.554,16
Sep 17 2016 01: +0,1.579,6
Sep 18 2016 01: +0,0.493,5
Sep 19 2016 01: +0,0.402,9
Sep 20 2016 01: +0,0.378,8
Sep 21 2016 01: +0,0.324,14
Sep 22 2016 01: +0,0.591,22
Sep 23 2016 01: +0,0.76,3
Sep 24 2016 01: +0,0.459,12
Sep 25 2016 01: +0,0.364,12
Sep 26 2016 01: +0,0.352,5
Sep 27 2016 01: +0,0.338,7
Sep 28 2016 01: +0,0.346,12
Sep 29 2016 01: +0,0.286,16
Sep 30 2016 01: +0,0.318,13
Oct 01 2016 01: +0,0.343,22
Oct 02 2016 01: +0,0.312,21
Oct 03 2016 01: +0,0.343,16
Oct 04 2016 01: +0,0.366,10
Oct 05 2016 01: +0,0.325,15
Oct 06 2016 01: +0,0.359,7
Oct 07 2016 01: +0,0.339,12
Oct 08 2016 01: +0,0.324,13
Oct 09 2016 01: +0,0.349,20
Oct 10 2016 01: +0,0.305,8
Oct 11 2016 01: +0,0.304,8
Oct 12 2016 01: +0,0.356,15
Oct 13 2016 01: +0,0.375,8
Oct 14 2016 01: +0,0.303,10
