Jun 17 2016 01: +0,2.187,3
Jun 18 2016 01: +0,1.462,12
Jun 19 2016 01: +0,1.452,22
Jun 20 2016 01: +0,1.306,9
Jun 21 2016 01: +0,1.145,15
Jun 22 2016 01: +0,1.075,20
Jun 23 2016 01: +0,1.011,6
Jun 24 2016 01: +0,1.316,15
Jun 25 2016 01: +0,1.49,11
Jun 26 2016 01: +0,1.083,8
Jun 27 2016 01: +0,1.039,13
Jun 28 2016 01: +0,1.035,9
Jun 29 2016 01: +0,0.868,11
Jun 30 2016 01: +0,0.872,9
Jul 01 2016 01: +0,0.858,10
Jul 02 2016 01: +0,0.951,21
Jul 03 2016 01: +0,0.8,9
Jul 04 2016 01: +0,0.824,13
Jul 05 2016 01: +0,0.796,16
Jul 06 2016 01: +0,0.849,14
Jul 07 2016 01: +0,0.804,20
Jul 08 2016 01: +0,0.797,14
Jul 09 2016 01: +0,0.845,15
Jul 10 2016 01: +0,0.77,15
Jul 11 2016 01: +0,0.778,12
Jul 12 2016 01: +0,0.751,14
Jul 13 2016 01: +0,0.764,17
Jul 14 2016 01: +0,0.915,12
Jul 15 2016 01: +0,0.845,17
Jul 16 2016 01: +0,0.786,13
Jul 17 2016 01: +0,2.053,19
Jul 18 2016 01: +0,0.726,13
Jul 19 2016 01: +0,0.691,20
Jul 20 2016 01: +0,0.692,19
Jul 21 2016 01: +0,0.656,9
Jul 22 2016 01: +0,0.621,14
Jul 23 2016 01: +0,0.56,15
Jul 24 2016 01: +0,0.567,16
Jul 25 2016 01: +0,0.633,13
Jul 26 2016 01: +0,0.691,14
Jul 27 2016 01: +0,0.779,13
Jul 28 2016 01: +0,0.755,14
Jul 29 2016 01: +0,0.727,13
Jul 30 2016 01: +0,0.642,18
Jul 31 2016 01: +0,0.533,8
Aug 01 2016 01: +0,0.63,12
Aug 02 2016 01: +0,0.611,13
Aug 03 2016 01: +0,0.606,15
Aug 04 2016 01: +0,0.583,4
Aug 05 2016 01: +0,0.553,11
Aug 06 2016 01: +0,0.581,11
Aug 07 2016 01: +0,0.584,18
Aug 08 2016 01: +0,0.575,13
Aug 09 2016 01: +0,0.569,16
Aug 10 2016 01: +0,0.549,14
Aug 11 2016 01: +0,0.528,18
Aug 12 2016 01: +0,0.505,15
Aug 13 2016 01: +0,0.545,15
Aug 14 2016 01: +0,0.511,15
Aug 15 2016 01: +0,0.551,12
Aug 16 2016 01: +0,0.597,14
Aug 17 2016 01: +0,0.617,13
Aug 18 2016 01: +0,0.549,15
Aug 19 2016 01: +0,0.496,16
Aug 20 2016 01: +0,0.409,10
Aug 21 2016 01: +0,0.445,14
Aug 22 2016 01: +0,0.459,12
Aug 23 2016 01: +0,0.456,15
Aug 24 2016 01: +0,0.482,18
Aug 25 2016 01: +0,0.475,14
Aug 26 2016 01: +0,0.461,17
Aug 27 2016 01: +0,0.491,13
Aug 28 2016 01: +0,0.476,14
Aug 29 2016 01: +0,0.527,13
Aug 30 2016 01: +0,0.472,10
Aug 31 2016 01: +0,0.443,15
Sep 01 2016 01: +0,0.446,22
Sep 02 2016 01: +0,0.4,15
Sep 03 2016 01: +0,0.496,18
Sep 04 2016 01: +0,0.464,13
Sep 05 2016 01: +0,0.467,15
Sep 06 2016 01: +0,0.41,22
Sep 07 2016 01: +0,0.435,16
Sep 08 2016 01: +0,0.383,14
Sep 09 2016 01: +0,0.38,31
Sep 10 2016 01: +0,0.423,17
Sep 11 2016 01: +0,0.418,23
Sep 12 2016 01: +0,0.442,11
Sep 13 2016 01: +0,0.48,14
Sep 14 2016 01: +0,0.417,14
Sep 15 2016 01: +0,0.404,13
Sep 16 2016 01: +0,0.444,11
Sep 17 2016 01: +0,0.39,23
Sep 18 2016 01: +0,0.408,21
Sep 19 2016 01: +0,0.449,14
Sep 20 2016 01: +0,0.411,7
Sep 21 2016 01: +0,0.414,13
Sep 22 2016 01: +0,0.372,14
Sep 23 2016 01: +0,0.407,22
Sep 24 2016 01: +0,0.44,19
Sep 25 2016 01: +0,0.392,14
Sep 26 2016 01: +0,0.364,12
Sep 27 2016 01: +0,0.359,16
Sep 28 2016 01: +0,0.337,21
Sep 29 2016 01: +0,0.334,18
Sep 30 2016 01: +0,0.412,22
Oct 01 2016 01: +0,0.376,12
Oct 02 2016 01: +0,0.388,18
Oct 03 2016 01: +0,0.376,12
Oct 04 2016 01: +0,0.388,11
Oct 05 2016 01: +0,0.415,6
Oct 06 2016 01: +0,0.375,12
Oct 07 2016 01: +0,0.363,17
Oct 08 2016 01: +0,0.353,18
Oct 09 2016 01: +0,0.376,13
Oct 10 2016 01: +0,0.335,14
Oct 11 2016 01: +0,0.292,15
Oct 12 2016 01: +0,0.334,17
Oct 13 2016 01: +0,0.341,21
