May 27 2015 01: +0,1.353,370
May 28 2015 01: +0,1.136,353
May 29 2015 01: +0,1.361,245
May 30 2015 01: +0,1.571,204
May 31 2015 01: +0,1.694,146
Jun 01 2015 01: +0,1.864,143
Jun 02 2015 01: +0,1.741,116
Jun 03 2015 01: +0,1.568,221
Jun 04 2015 01: +0,0.963,203
Jun 05 2015 01: +0,0.853,203
Jun 06 2015 01: +0,0.967,226
Jun 07 2015 01: +0,1.055,181
Jun 08 2015 01: +0,1.107,136
Jun 09 2015 01: +0,0.952,125
Jun 10 2015 01: +0,1.027,206
Jun 11 2015 01: +0,0.958,163
Jun 12 2015 01: +0,0.722,232
Jun 13 2015 01: +0,0.727,222
Jun 14 2015 01: +0,0.744,255
Jun 15 2015 01: +0,0.842,164
Jun 16 2015 01: +0,0.792,189
Jun 17 2015 01: +0,0.833,168
Jun 18 2015 01: +0,0.826,204
Jun 19 2015 01: +0,0.773,240
Jun 20 2015 01: +0,0.778,257
Jun 21 2015 01: +0,0.801,248
Jun 22 2015 01: +0,0.741,194
Jun 23 2015 01: +0,0.715,204
Jun 24 2015 01: +0,0.734,181
Jun 25 2015 01: +0,0.71,211
Jun 26 2015 01: +0,0.808,265
Jun 27 2015 01: +0,0.759,230
Jun 28 2015 01: +0,0.733,261
Jun 29 2015 01: +0,0.735,232
Jun 30 2015 01: +0,0.756,234
Jul 01 2015 01: +0,0.738,231
Jul 02 2015 01: +0,0.691,174
Jul 03 2015 01: +0,0.704,241
Jul 04 2015 01: +0,0.718,295
Jul 05 2015 01: +0,0.711,230
Jul 06 2015 01: +0,0.714,237
Jul 07 2015 01: +0,0.689,243
Jul 08 2015 01: +0,0.729,266
Jul 09 2015 01: +0,0.736,232
Jul 10 2015 01: +0,0.693,207
Jul 11 2015 01: +0,0.655,228
Jul 12 2015 01: +0,0.626,221
Jul 13 2015 01: +0,0.625,273
Jul 14 2015 01: +0,0.623,247
Jul 15 2015 01: +0,0.615,257
Jul 16 2015 01: +0,0.629,231
Jul 17 2015 01: +0,0.635,189
Jul 18 2015 01: +0,0.581,272
Jul 19 2015 01: +0,0.592,222
Jul 20 2015 01: +0,0.575,245
Jul 21 2015 01: +0,0.612,243
Jul 22 2015 01: +0,0.652,216
Jul 23 2015 01: +0,0.533,188
Jul 24 2015 01: +0,0.538,247
Jul 25 2015 01: +0,0.545,234
Jul 26 2015 01: +0,0.501,224
Jul 27 2015 01: +0,0.496,250
Jul 28 2015 01: +0,0.531,254
Jul 29 2015 01: +0,0.507,230
Jul 30 2015 01: +0,0.558,301
Jul 31 2015 01: +0,0.555,241
Aug 01 2015 01: +0,0.531,218
Aug 02 2015 01: +0,0.527,247
Aug 03 2015 01: +0,0.467,256
Aug 04 2015 01: +0,0.503,293
Aug 05 2015 01: +0,0.52,262
Aug 06 2015 01: +0,0.491,308
Aug 07 2015 01: +0,0.488,227
Aug 08 2015 01: +0,0.509,248
Aug 09 2015 01: +0,0.527,324
Aug 10 2015 01: +0,0.546,236
Aug 11 2015 01: +0,0.525,253
Aug 12 2015 01: +0,0.506,244
Aug 13 2015 01: +0,0.5,219
Aug 14 2015 01: +0,0.425,269
Aug 15 2015 01: +0,0.412,293
Aug 16 2015 01: +0,0.365,257
Aug 17 2015 01: +0,0.357,286
Aug 18 2015 01: +0,0.415,261
Aug 19 2015 01: +0,0.402,209
Aug 20 2015 01: +0,0.402,293
Aug 21 2015 01: +0,0.379,310
Aug 22 2015 01: +0,0.41,487
Aug 23 2015 01: +0,0.37,291
Aug 24 2015 01: +0,0.371,279
Aug 25 2015 01: +0,0.435,318
Aug 26 2015 01: +0,0.463,301
Aug 27 2015 01: +0,0.442,285
Aug 28 2015 01: +0,0.465,257
Aug 29 2015 01: +0,0.456,289
Aug 30 2015 01: +0,0.437,292
Aug 31 2015 01: +0,0.474,279
Sep 01 2015 01: +0,0.49,282
Sep 02 2015 01: +0,0.46,227
Sep 03 2015 01: +0,0.438,233
Sep 04 2015 01: +0,0.431,307
Sep 05 2015 01: +0,0.435,291
Sep 06 2015 01: +0,0.451,366
Sep 07 2015 01: +0,0.454,268
Sep 08 2015 01: +0,0.425,237
Sep 09 2015 01: +0,0.439,246
Sep 10 2015 01: +0,0.444,342
Sep 11 2015 01: +0,0.431,306
Sep 12 2015 01: +0,0.444,339
Sep 13 2015 01: +0,0.454,305
Sep 14 2015 01: +0,0.433,321
Sep 15 2015 01: +0,0.469,250
Sep 16 2015 01: +0,0.583,365
Sep 17 2015 01: +0,0.628,301
Sep 18 2015 01: +0,0.584,350
Sep 19 2015 01: +0,0.546,459
Sep 20 2015 01: +0,0.54,383
Sep 21 2015 01: +0,0.52,317
Sep 22 2015 01: +0,0.552,356
Sep 23 2015 01: +0,0.501,278
Sep 24 2015 01: +0,0.506,360
Sep 25 2015 01: +0,0.497,307
Sep 26 2015 01: +0,0.501,391
Sep 27 2015 01: +0,0.501,388
Sep 28 2015 01: +0,0.462,232
Sep 29 2015 01: +0,0.461,314
Sep 30 2015 01: +0,0.468,363
Oct 01 2015 01: +0,0.506,299
Oct 02 2015 01: +0,0.497,308
Oct 03 2015 01: +0,0.482,311
Oct 04 2015 01: +0,0.483,259
Oct 05 2015 01: +0,0.493,361
Oct 06 2015 01: +0,0.568,253
Oct 07 2015 01: +0,0.581,208
