Jul 02 2014 01: +0,14.147,21
Jul 03 2014 01: +0,10.729,20
Jul 04 2014 01: +0,12.567,17
Jul 05 2014 01: +0,16.386,11
Jul 06 2014 01: +0,21.51,6
Jul 07 2014 01: +0,20.917,6
Jul 08 2014 01: +0,19.031,4
Jul 09 2014 01: +0,16.408,4
Jul 10 2014 01: +0,11.627,13
Jul 11 2014 01: +0,8.897,24
Jul 12 2014 01: +0,8.792,15
Jul 13 2014 01: +0,9.167,14
Jul 14 2014 01: +0,9.994,8
Jul 15 2014 01: +0,11.375,9
Jul 16 2014 01: +0,12.208,14
Jul 17 2014 01: +0,11.647,5
Jul 18 2014 01: +0,8.85,20
Jul 19 2014 01: +0,7.992,13
Jul 20 2014 01: +0,8.191,11
Jul 21 2014 01: +0,8.926,16
Jul 22 2014 01: +0,10.583,8
Jul 23 2014 01: +0,8.806,8
Jul 24 2014 01: +0,7.002,14
Jul 25 2014 01: +0,8.986,11
Jul 26 2014 01: +0,7.771,15
Jul 27 2014 01: +0,7.693,27
Jul 28 2014 01: +0,6.99,24
Jul 29 2014 01: +0,7.456,19
Jul 30 2014 01: +0,8.574,18
Jul 31 2014 01: +0,8.077,13
Aug 01 2014 01: +0,8.2,20
Aug 02 2014 01: +0,7.676,14
Aug 03 2014 01: +0,7.078,17
Aug 04 2014 01: +0,6.652,16
Aug 05 2014 01: +0,7.762,21
Aug 06 2014 01: +0,7.034,15
Aug 07 2014 01: +0,6.668,20
Aug 08 2014 01: +0,6.465,22
Aug 09 2014 01: +0,7.397,16
Aug 10 2014 01: +0,7.559,13
Aug 11 2014 01: +0,6.589,19
Aug 12 2014 01: +0,6.804,17
Aug 13 2014 01: +0,5.945,13
Aug 14 2014 01: +0,6.442,27
Aug 15 2014 01: +0,7.244,25
Aug 16 2014 01: +0,6.776,20
Aug 17 2014 01: +0,5.744,26
Aug 18 2014 01: +0,6.867,21
Aug 19 2014 01: +0,6.93,12
Aug 20 2014 01: +0,6.401,25
Aug 21 2014 01: +0,6.611,21
Aug 22 2014 01: +0,5.66,20
Aug 23 2014 01: +0,5.701,25
Aug 24 2014 01: +0,5.62,29
Aug 25 2014 01: +0,5.449,24
Aug 26 2014 01: +0,5.467,32
Aug 27 2014 01: +0,5.267,27
Aug 28 2014 01: +0,5.793,24
Aug 29 2014 01: +0,6.114,25
Aug 30 2014 01: +0,5.762,22
Aug 31 2014 01: +0,5.121,31
Sep 01 2014 01: +0,5.142,27
Sep 02 2014 01: +0,5.315,20
Sep 03 2014 01: +0,5.404,29
Sep 04 2014 01: +0,5.392,20
Sep 05 2014 01: +0,4.852,30
Sep 06 2014 01: +0,5.185,27
Sep 07 2014 01: +0,4.5,33
Sep 08 2014 01: +0,4.868,23
Sep 09 2014 01: +0,4.289,33
Sep 10 2014 01: +0,4.235,30
Sep 11 2014 01: +0,4.538,29
Sep 12 2014 01: +0,4.867,28
Sep 13 2014 01: +0,4.49,36
Sep 14 2014 01: +0,4.395,31
Sep 15 2014 01: +0,4.091,32
Sep 16 2014 01: +0,4.444,26
Sep 17 2014 01: +0,4.29,39
Sep 18 2014 01: +0,4.64,28
Sep 19 2014 01: +0,3.773,37
Sep 20 2014 01: +0,3.551,42
Sep 21 2014 01: +0,3.72,42
Sep 22 2014 01: +0,3.932,44
Sep 23 2014 01: +0,3.97,33
Sep 24 2014 01: +0,3.605,34
Sep 25 2014 01: +0,3.512,39
Sep 26 2014 01: +0,3.362,35
Sep 27 2014 01: +0,3.722,32
Sep 28 2014 01: +0,3.831,44
Sep 29 2014 01: +0,3.623,27
Sep 30 2014 01: +0,3.021,41
Oct 01 2014 01: +0,3.122,45
Oct 02 2014 01: +0,3.317,35
Oct 03 2014 01: +0,3.1,49
Oct 04 2014 01: +0,3.225,40
Oct 05 2014 01: +0,3.317,51
Oct 06 2014 01: +0,3.216,36
Oct 07 2014 01: +0,2.948,44
Oct 08 2014 01: +0,3.231,43
Oct 09 2014 01: +0,3.322,43
Oct 10 2014 01: +0,2.951,34
Oct 11 2014 01: +0,2.874,59
Oct 12 2014 01: +0,3.021,55
Oct 13 2014 01: +0,3.232,38
Oct 14 2014 01: +0,2.824,34
Oct 15 2014 01: +0,3.137,45
Oct 16 2014 01: +0,2.962,36
Oct 17 2014 01: +0,2.8,44
Oct 18 2014 01: +0,2.787,50
Oct 19 2014 01: +0,2.615,51
Oct 20 2014 01: +0,2.699,47
Oct 21 2014 01: +0,2.78,25
Oct 22 2014 01: +0,2.533,30
Oct 23 2014 01: +0,2.695,52
Oct 24 2014 01: +0,2.803,52
Oct 25 2014 01: +0,3.22,49
Oct 26 2014 01: +0,2.642,46
Oct 27 2014 01: +0,2.668,46
Oct 28 2014 01: +0,2.859,41
Oct 29 2014 01: +0,2.771,32
Oct 30 2014 01: +0,2.932,40
Oct 31 2014 01: +0,2.617,43
Nov 01 2014 01: +0,2.72,51
Nov 02 2014 01: +0,2.53,51
Nov 03 2014 01: +0,2.419,41
Nov 04 2014 01: +0,2.475,43
Nov 05 2014 01: +0,2.422,41
Nov 06 2014 01: +0,2.751,39
Nov 07 2014 01: +0,2.586,44
Nov 08 2014 01: +0,2.616,43
Nov 09 2014 01: +0,2.513,38
Nov 10 2014 01: +0,2.443,38
Nov 11 2014 01: +0,2.369,47
Nov 12 2014 01: +0,1.838,72
Nov 13 2014 01: +0,2.004,68
Nov 14 2014 01: +0,2.443,41
Nov 15 2014 01: +0,2.339,47
Nov 16 2014 01: +0,2.142,52
Nov 17 2014 01: +0,1.949,55
Nov 18 2014 01: +0,2.109,40
Nov 19 2014 01: +0,1.969,39
Nov 20 2014 01: +0,1.924,40
Nov 21 2014 01: +0,1.952,54
Nov 22 2014 01: +0,2.125,41
Nov 23 2014 01: +0,2.005,51
Nov 24 2014 01: +0,1.946,43
Nov 25 2014 01: +0,1.91,37
Nov 26 2014 01: +0,1.894,45
Nov 27 2014 01: +0,1.988,51
Nov 28 2014 01: +0,2.004,55
Nov 29 2014 01: +0,2.544,23
Nov 30 2014 01: +0,1.838,84
Dec 01 2014 01: +0,1.786,52
Dec 02 2014 01: +0,1.954,60
Dec 03 2014 01: +0,2.194,38
Dec 04 2014 01: +0,1.989,47
Dec 05 2014 01: +0,2.084,52
Dec 06 2014 01: +0,2.005,53
Dec 07 2014 01: +0,2.111,61
Dec 08 2014 01: +0,2.244,35
Dec 09 2014 01: +0,1.917,50
Dec 10 2014 01: +0,1.884,51
Dec 11 2014 01: +0,1.758,66
Dec 12 2014 01: +0,1.987,40
Dec 13 2014 01: +0,2.205,72
Dec 14 2014 01: +0,2.191,73
Dec 15 2014 01: +0,2.087,45
Dec 16 2014 01: +0,2.079,51
Dec 17 2014 01: +0,2.129,56
Dec 18 2014 01: +0,2.204,40
Dec 19 2014 01: +0,1.996,50
Dec 20 2014 01: +0,1.986,65
Dec 21 2014 01: +0,2.06,58
Dec 22 2014 01: +0,1.758,73
Dec 23 2014 01: +0,1.834,71
Dec 24 2014 01: +0,1.917,67
Dec 25 2014 01: +0,2.047,60
Dec 26 2014 01: +0,2.09,75
Dec 27 2014 01: +0,2.066,80
Dec 28 2014 01: +0,2.086,65
Dec 29 2014 01: +0,1.921,76
Dec 30 2014 01: +0,1.937,88
Dec 31 2014 01: +0,1.997,51
Jan 01 2015 01: +0,1.843,46
Jan 02 2015 01: +0,2.007,78
Jan 03 2015 01: +0,2.171,82
Jan 04 2015 01: +0,2.095,91
Jan 05 2015 01: +0,2.064,80
Jan 06 2015 01: +0,2.079,69
Jan 07 2015 01: +0,2.02,63
Jan 08 2015 01: +0,1.918,81
Jan 09 2015 01: +0,1.831,108
Jan 10 2015 01: +0,1.946,76
Jan 11 2015 01: +0,1.823,113
Jan 12 2015 01: +0,2.017,69
Jan 13 2015 01: +0,2.007,97
Jan 14 2015 01: +0,1.858,83
Jan 15 2015 01: +0,1.853,100
Jan 16 2015 01: +0,1.904,111
Jan 17 2015 01: +0,1.979,110
Jan 18 2015 01: +0,1.985,99
Jan 19 2015 01: +0,1.905,106
Jan 20 2015 01: +0,1.913,78
Jan 21 2015 01: +0,1.879,84
Jan 22 2015 01: +0,1.726,84
Jan 23 2015 01: +0,1.972,91
Jan 24 2015 01: +0,1.98,102
Jan 25 2015 01: +0,1.795,106
Jan 26 2015 01: +0,1.772,92
Jan 27 2015 01: +0,1.965,95
Jan 28 2015 01: +0,1.957,67
Jan 29 2015 01: +0,1.907,84
Jan 30 2015 01: +0,1.968,87
Jan 31 2015 01: +0,2.079,93
Feb 01 2015 01: +0,1.937,96
Feb 02 2015 01: +0,1.907,84
Feb 03 2015 01: +0,1.851,88
Feb 04 2015 01: +0,1.913,70
Feb 05 2015 01: +0,1.801,81
Feb 06 2015 01: +0,1.744,104
Feb 07 2015 01: +0,1.85,120
Feb 08 2015 01: +0,1.715,118
Feb 09 2015 01: +0,1.734,79
Feb 10 2015 01: +0,1.777,84
Feb 11 2015 01: +0,1.851,77
Feb 12 2015 01: +0,1.75,74
Feb 13 2015 01: +0,1.781,87
Feb 14 2015 01: +0,1.926,91
Feb 15 2015 01: +0,1.784,93
Feb 16 2015 01: +0,1.754,98
Feb 17 2015 01: +0,1.725,101
Feb 18 2015 01: +0,1.748,82
Feb 19 2015 01: +0,1.697,97
Feb 20 2015 01: +0,1.867,99
Feb 21 2015 01: +0,1.731,76
Feb 22 2015 01: +0,1.711,94
Feb 23 2015 01: +0,1.729,80
Feb 24 2015 01: +0,1.842,77
Feb 25 2015 01: +0,1.952,72
Feb 26 2015 01: +0,1.943,67
Feb 27 2015 01: +0,1.755,116
Feb 28 2015 01: +0,1.655,108
Mar 01 2015 01: +0,1.722,110
Mar 02 2015 01: +0,1.792,85
Mar 03 2015 01: +0,2.034,70
Mar 04 2015 01: +0,1.753,83
Mar 05 2015 01: +0,1.756,82
Mar 06 2015 01: +0,1.693,101
Mar 07 2015 01: +0,1.677,104
Mar 08 2015 01: +0,1.664,107
Mar 09 2015 01: +0,1.614,66
Mar 10 2015 01: +0,1.598,70
Mar 11 2015 01: +0,1.504,85
Mar 12 2015 01: +0,1.608,70
Mar 13 2015 01: +0,1.74,84
Mar 14 2015 01: +0,1.719,112
Mar 15 2015 01: +0,1.577,128
Mar 16 2015 01: +0,1.615,101
Mar 17 2015 01: +0,1.605,77
Mar 18 2015 01: +0,1.648,85
Mar 19 2015 01: +0,1.632,88
Mar 20 2015 01: +0,1.615,89
Mar 21 2015 01: +0,1.614,112
Mar 22 2015 01: +0,1.627,102
Mar 23 2015 01: +0,1.71,84
Mar 24 2015 01: +0,1.709,91
Mar 25 2015 01: +0,1.697,83
Mar 26 2015 01: +0,1.723,85
Mar 27 2015 01: +0,1.819,92
Mar 28 2015 01: +0,1.72,112
Mar 29 2015 01: +0,1.706,114
Mar 30 2015 01: +0,1.857,89
Mar 31 2015 01: +0,1.78,105
Apr 01 2015 01: +0,1.651,136
Apr 02 2015 01: +0,1.818,104
Apr 03 2015 01: +0,1.816,116
Apr 04 2015 01: +0,1.895,111
Apr 05 2015 01: +0,1.821,87
Apr 06 2015 01: +0,1.947,130
Apr 07 2015 01: +0,2.106,94
Apr 08 2015 01: +0,1.889,107
Apr 09 2015 01: +0,2.008,80
Apr 10 2015 01: +0,2.076,83
Apr 11 2015 01: +0,1.98,111
Apr 12 2015 01: +0,1.896,97
Apr 13 2015 01: +0,1.969,94
Apr 14 2015 01: +0,1.718,88
Apr 15 2015 01: +0,1.739,71
Apr 16 2015 01: +0,1.44,103
Apr 17 2015 01: +0,1.467,105
Apr 18 2015 01: +0,1.539,123
Apr 19 2015 01: +0,1.716,106
Apr 20 2015 01: +0,1.778,102
Apr 21 2015 01: +0,1.752,87
Apr 22 2015 01: +0,1.693,88
Apr 23 2015 01: +0,1.69,110
Apr 24 2015 01: +0,1.883,98
Apr 25 2015 01: +0,1.911,118
Apr 26 2015 01: +0,1.788,111
Apr 27 2015 01: +0,1.753,100
Apr 28 2015 01: +0,1.819,90
Apr 29 2015 01: +0,1.947,74
Apr 30 2015 01: +0,1.783,104
May 01 2015 01: +0,1.714,100
May 02 2015 01: +0,1.81,131
May 03 2015 01: +0,1.762,110
May 04 2015 01: +0,1.717,100
May 05 2015 01: +0,1.66,84
May 06 2015 01: +0,1.732,84
May 07 2015 01: +0,1.795,78
May 08 2015 01: +0,1.775,106
May 09 2015 01: +0,1.819,95
May 10 2015 01: +0,1.663,113
May 11 2015 01: +0,1.697,89
May 12 2015 01: +0,1.758,95
May 13 2015 01: +0,1.699,93
May 14 2015 01: +0,1.61,104
May 15 2015 01: +0,1.729,87
May 16 2015 01: +0,1.772,113
May 17 2015 01: +0,1.813,118
May 18 2015 01: +0,1.855,74
May 19 2015 01: +0,1.83,83
May 20 2015 01: +0,1.861,88
May 21 2015 01: +0,1.914,67
May 22 2015 01: +0,1.77,96
May 23 2015 01: +0,1.81,92
May 24 2015 01: +0,1.794,95
May 25 2015 01: +0,1.863,81
May 26 2015 01: +0,1.739,74
May 27 2015 01: +0,1.116,176
May 28 2015 01: +0,1.104,134
May 29 2015 01: +0,1.286,113
May 30 2015 01: +0,1.361,137
May 31 2015 01: +0,1.378,129
Jun 01 2015 01: +0,1.355,107
Jun 02 2015 01: +0,1.387,111
Jun 03 2015 01: +0,1.41,106
Jun 04 2015 01: +0,1.344,107
Jun 05 2015 01: +0,1.26,99
Jun 06 2015 01: +0,1.297,122
Jun 07 2015 01: +0,1.272,128
Jun 08 2015 01: +0,1.372,111
Jun 09 2015 01: +0,1.368,82
Jun 10 2015 01: +0,1.302,109
Jun 11 2015 01: +0,1.223,97
Jun 12 2015 01: +0,1.132,112
Jun 13 2015 01: +0,1.105,116
Jun 14 2015 01: +0,1.046,105
Jun 15 2015 01: +0,0.977,115
Jun 16 2015 01: +0,1.027,107
Jun 17 2015 01: +0,0.997,121
Jun 18 2015 01: +0,1.06,116
Jun 19 2015 01: +0,1.094,113
Jun 20 2015 01: +0,1.115,116
Jun 21 2015 01: +0,1.018,111
Jun 22 2015 01: +0,1.02,124
Jun 23 2015 01: +0,1.124,102
Jun 24 2015 01: +0,1.101,111
Jun 25 2015 01: +0,1.254,103
Jun 26 2015 01: +0,1.288,98
Jun 27 2015 01: +0,1.24,95
Jun 28 2015 01: +0,1.186,120
Jun 29 2015 01: +0,1.213,116
Jun 30 2015 01: +0,1.29,91
Jul 01 2015 01: +0,1.211,93
Jul 02 2015 01: +0,1.185,106
Jul 03 2015 01: +0,1.285,81
Jul 04 2015 01: +0,1.304,80
Jul 05 2015 01: +0,1.239,80
Jul 06 2015 01: +0,1.272,92
Jul 07 2015 01: +0,1.159,100
Jul 08 2015 01: +0,1.199,102
Jul 09 2015 01: +0,1.263,101
Jul 10 2015 01: +0,1.324,98
Jul 11 2015 01: +0,1.29,90
Jul 12 2015 01: +0,1.255,93
Jul 13 2015 01: +0,1.187,122
Jul 14 2015 01: +0,1.15,110
Jul 15 2015 01: +0,1.179,97
Jul 16 2015 01: +0,1.222,97
Jul 17 2015 01: +0,1.201,106
Jul 18 2015 01: +0,1.273,95
Jul 19 2015 01: +0,1.262,97
Jul 20 2015 01: +0,1.232,107
Jul 21 2015 01: +0,1.269,95
Jul 22 2015 01: +0,1.257,81
Jul 23 2015 01: +0,1.242,94
Jul 24 2015 01: +0,1.22,76
Jul 25 2015 01: +0,1.209,91
Jul 26 2015 01: +0,1.24,88
Jul 27 2015 01: +0,1.141,113
Jul 28 2015 01: +0,1.152,104
Jul 29 2015 01: +0,1.25,78
Jul 30 2015 01: +0,1.196,89
Jul 31 2015 01: +0,1.245,89
Aug 01 2015 01: +0,1.142,97
Aug 02 2015 01: +0,1.191,98
Aug 03 2015 01: +0,1.199,98
Aug 04 2015 01: +0,1.091,79
Aug 05 2015 01: +0,1.166,96
Aug 06 2015 01: +0,1.152,96
Aug 07 2015 01: +0,1.17,99
Aug 08 2015 01: +0,1.119,83
Aug 09 2015 01: +0,1.198,98
Aug 10 2015 01: +0,1.157,72
Aug 11 2015 01: +0,1.164,83
Aug 12 2015 01: +0,1.133,101
Aug 13 2015 01: +0,1.181,102
Aug 14 2015 01: +0,1.208,80
Aug 15 2015 01: +0,0.996,117
Aug 16 2015 01: +0,1.022,92
Aug 17 2015 01: +0,0.974,85
Aug 18 2015 01: +0,1.02,89
Aug 19 2015 01: +0,1.109,74
Aug 20 2015 01: +0,0.965,97
Aug 21 2015 01: +0,0.993,101
Aug 22 2015 01: +0,0.988,110
Aug 23 2015 01: +0,0.92,127
Aug 24 2015 01: +0,0.942,116
Aug 25 2015 01: +0,1.067,103
Aug 26 2015 01: +0,1.186,100
Aug 27 2015 01: +0,1.205,98
Aug 28 2015 01: +0,1.213,80
Aug 29 2015 01: +0,1.139,101
Aug 30 2015 01: +0,1.164,104
Aug 31 2015 01: +0,1.321,94
Sep 01 2015 01: +0,1.277,87
Sep 02 2015 01: +0,1.32,91
Sep 03 2015 01: +0,1.35,76
Sep 04 2015 01: +0,1.29,105
Sep 05 2015 01: +0,1.394,94
Sep 06 2015 01: +0,1.33,107
Sep 07 2015 01: +0,1.372,73
Sep 08 2015 01: +0,1.29,77
Sep 09 2015 01: +0,1.41,67
Sep 10 2015 01: +0,1.414,96
Sep 11 2015 01: +0,1.341,88
Sep 12 2015 01: +0,1.439,94
Sep 13 2015 01: +0,1.391,98
Sep 14 2015 01: +0,1.326,82
Sep 15 2015 01: +0,1.251,96
