Apr 28 2016 01: +0,11.958,54
Apr 29 2016 01: +0,9.178,72
Apr 30 2016 01: +0,8.948,74
May 01 2016 01: +0,7.747,66
May 02 2016 01: +0,8.232,48
May 03 2016 01: +0,6.382,53
May 04 2016 01: +0,5.645,77
May 05 2016 01: +0,6.257,55
May 06 2016 01: +0,6.437,50
May 07 2016 01: +0,5.082,67
May 08 2016 01: +0,5.173,74
May 09 2016 01: +0,5.288,56
May 10 2016 01: +0,5.078,60
May 11 2016 01: +0,4.87,55
May 12 2016 01: +0,4.774,44
May 13 2016 01: +0,4.829,44
May 14 2016 01: +0,4.505,65
May 15 2016 01: +0,4.155,71
May 16 2016 01: +0,3.99,62
May 17 2016 01: +0,3.519,74
May 18 2016 01: +0,4.351,53
May 19 2016 01: +0,3.901,55
May 20 2016 01: +0,4.091,56
May 21 2016 01: +0,3.882,80
May 22 2016 01: +0,3.991,74
May 23 2016 01: +0,3.803,51
May 24 2016 01: +0,3.745,50
May 25 2016 01: +0,3.534,62
May 26 2016 01: +0,3.446,62
May 27 2016 01: +0,3.267,58
May 28 2016 01: +0,2.959,81
May 29 2016 01: +0,3.085,88
May 30 2016 01: +0,3.655,71
May 31 2016 01: +0,3.302,56
Jun 01 2016 01: +0,3.386,60
Jun 02 2016 01: +0,3.006,69
Jun 03 2016 01: +0,2.882,83
Jun 04 2016 01: +0,2.871,68
Jun 05 2016 01: +0,2.788,88
Jun 06 2016 01: +0,3.013,65
Jun 07 2016 01: +0,2.739,70
Jun 08 2016 01: +0,2.771,75
Jun 09 2016 01: +0,2.761,47
Jun 10 2016 01: +0,2.736,58
Jun 11 2016 01: +0,2.834,82
Jun 12 2016 01: +0,2.593,82
Jun 13 2016 01: +0,2.832,75
Jun 14 2016 01: +0,2.927,65
Jun 15 2016 01: +0,2.784,52
Jun 16 2016 01: +0,2.583,92
Jun 17 2016 01: +0,2.414,85
Jun 18 2016 01: +0,2.3,94
Jun 19 2016 01: +0,2.151,105
Jun 20 2016 01: +0,2.026,93
Jun 21 2016 01: +0,2.029,109
Jun 22 2016 01: +0,1.964,84
Jun 23 2016 01: +0,1.77,111
Jun 24 2016 01: +0,1.742,103
Jun 25 2016 01: +0,1.559,107
Jun 26 2016 01: +0,1.575,121
Jun 27 2016 01: +0,1.643,119
Jun 28 2016 01: +0,1.829,74
Jun 29 2016 01: +0,1.705,106
Jun 30 2016 01: +0,1.842,97
Jul 01 2016 01: +0,1.684,129
Jul 02 2016 01: +0,1.711,120
Jul 03 2016 01: +0,1.756,110
Jul 04 2016 01: +0,1.85,110
Jul 05 2016 01: +0,1.975,90
Jul 06 2016 01: +0,1.977,96
Jul 07 2016 01: +0,1.963,110
Jul 08 2016 01: +0,2.067,108
Jul 09 2016 01: +0,2.13,112
Jul 10 2016 01: +0,2.065,109
Jul 11 2016 01: +0,2.066,77
Jul 12 2016 01: +0,1.901,73
Jul 13 2016 01: +0,2.093,81
Jul 14 2016 01: +0,2.034,100
Jul 15 2016 01: +0,2.11,82
Jul 16 2016 01: +0,2.004,101
Jul 17 2016 01: +0,1.923,79
Jul 18 2016 01: +0,2.018,94
Jul 19 2016 01: +0,1.899,71
Jul 20 2016 01: +0,1.853,74
Jul 21 2016 01: +0,1.864,70
Jul 22 2016 01: +0,1.98,71
Jul 23 2016 01: +0,1.905,89
Jul 24 2016 01: +0,1.998,76
Jul 25 2016 01: +0,2.032,70
Jul 26 2016 01: +0,2.049,70
Jul 27 2016 01: +0,1.849,86
Jul 28 2016 01: +0,2.005,100
Jul 29 2016 01: +0,1.936,82
Jul 30 2016 01: +0,1.865,88
Jul 31 2016 01: +0,1.813,96
Aug 01 2016 01: +0,1.751,113
Aug 02 2016 01: +0,1.818,93
Aug 03 2016 01: +0,1.673,107
Aug 04 2016 01: +0,1.699,86
Aug 05 2016 01: +0,1.741,87
Aug 06 2016 01: +0,1.832,96
Aug 07 2016 01: +0,1.941,75
Aug 08 2016 01: +0,1.719,71
Aug 09 2016 01: +0,1.717,84
Aug 10 2016 01: +0,1.715,71
Aug 11 2016 01: +0,1.737,76
Aug 12 2016 01: +0,1.693,83
Aug 13 2016 01: +0,1.849,69
Aug 14 2016 01: +0,1.838,87
Aug 15 2016 01: +0,1.82,81
Aug 16 2016 01: +0,1.695,91
Aug 17 2016 01: +0,1.67,75
Aug 18 2016 01: +0,1.67,75
Aug 19 2016 01: +0,1.698,100
Aug 20 2016 01: +0,1.705,107
Aug 21 2016 01: +0,1.756,94
Aug 22 2016 01: +0,1.725,99
Aug 23 2016 01: +0,1.72,83
Aug 24 2016 01: +0,1.729,87
Aug 25 2016 01: +0,1.539,69
Aug 26 2016 01: +0,1.577,88
Aug 27 2016 01: +0,1.634,84
Aug 28 2016 01: +0,1.74,90
Aug 29 2016 01: +0,1.763,78
Aug 30 2016 01: +0,1.662,70
Aug 31 2016 01: +0,1.68,72
Sep 01 2016 01: +0,1.661,74
Sep 02 2016 01: +0,1.633,65
Sep 03 2016 01: +0,1.683,91
Sep 04 2016 01: +0,1.656,104
Sep 05 2016 01: +0,1.626,75
Sep 06 2016 01: +0,1.876,70
Sep 07 2016 01: +0,1.685,67
Sep 08 2016 01: +0,1.64,57
Sep 09 2016 01: +0,1.558,89
Sep 10 2016 01: +0,1.577,78
Sep 11 2016 01: +0,1.523,101
Sep 12 2016 01: +0,1.576,72
Sep 13 2016 01: +0,1.636,63
Sep 14 2016 01: +0,1.535,55
Sep 15 2016 01: +0,1.532,80
Sep 16 2016 01: +0,1.566,61
Sep 17 2016 01: +0,1.506,93
Sep 18 2016 01: +0,1.473,101
Sep 19 2016 01: +0,1.343,84
Sep 20 2016 01: +0,1.517,70
Sep 21 2016 01: +0,1.475,75
Sep 22 2016 01: +0,1.482,73
Sep 23 2016 01: +0,1.589,65
Sep 24 2016 01: +0,1.594,80
Sep 25 2016 01: +0,1.49,83
Sep 26 2016 01: +0,1.448,59
Sep 27 2016 01: +0,1.471,45
Sep 28 2016 01: +0,1.452,63
Sep 29 2016 01: +0,1.488,72
Sep 30 2016 01: +0,1.311,83
Oct 01 2016 01: +0,1.368,97
Oct 02 2016 01: +0,1.35,79
Oct 03 2016 01: +0,1.367,57
Oct 04 2016 01: +0,1.402,71
Oct 05 2016 01: +0,1.302,68
Oct 06 2016 01: +0,1.272,67
Oct 07 2016 01: +0,1.243,91
Oct 08 2016 01: +0,1.234,79
Oct 09 2016 01: +0,1.228,97
Oct 10 2016 01: +0,1.184,76
Oct 11 2016 01: +0,1.265,68
Oct 12 2016 01: +0,1.251,65
Oct 13 2016 01: +0,1.246,71
Oct 14 2016 01: +0,1.243,71
Oct 15 2016 01: +0,1.237,91
Oct 16 2016 01: +0,1.449,89
Oct 17 2016 01: +0,1.383,63
Oct 18 2016 01: +0,1.274,70
Oct 19 2016 01: +0,1.297,60
Oct 20 2016 01: +0,1.275,56
Oct 21 2016 01: +0,1.311,55
Oct 22 2016 01: +0,1.227,65
Oct 23 2016 01: +0,1.251,84
Oct 24 2016 01: +0,1.298,53
Oct 25 2016 01: +0,1.272,43
Oct 26 2016 01: +0,1.191,65
Oct 27 2016 01: +0,1.287,49
Oct 28 2016 01: +0,1.195,61
Oct 29 2016 01: +0,1.266,80
Oct 30 2016 01: +0,1.197,67
Oct 31 2016 01: +0,1.11,79
Nov 01 2016 01: +0,1.157,60
Nov 02 2016 01: +0,1.209,57
Nov 03 2016 01: +0,1.239,49
Nov 04 2016 01: +0,1.26,58
Nov 05 2016 01: +0,1.275,80
Nov 06 2016 01: +0,1.267,90
Nov 07 2016 01: +0,1.313,61
Nov 08 2016 01: +0,1.355,80
Nov 09 2016 01: +0,1.359,66
Nov 10 2016 01: +0,1.35,55
Nov 11 2016 01: +0,1.319,76
Nov 12 2016 01: +0,1.312,47
Nov 13 2016 01: +0,1.32,81
Nov 14 2016 01: +0,1.303,66
Nov 15 2016 01: +0,1.168,60
Nov 16 2016 01: +0,1.311,68
Nov 17 2016 01: +0,1.362,56
