Jun 16 2016 01: +0,2.135,157
Jun 17 2016 01: +0,1.545,151
Jun 18 2016 01: +0,1.278,174
Jun 19 2016 01: +0,1.156,136
Jun 20 2016 01: +0,1.047,125
Jun 21 2016 01: +0,1.042,142
Jun 22 2016 01: +0,0.986,144
Jun 23 2016 01: +0,0.867,148
Jun 24 2016 01: +0,0.816,123
Jun 25 2016 01: +0,0.786,143
Jun 26 2016 01: +0,0.693,154
Jun 27 2016 01: +0,0.644,162
Jun 28 2016 01: +0,0.647,170
Jun 29 2016 01: +0,0.7,160
Jun 30 2016 01: +0,0.709,136
Jul 01 2016 01: +0,0.664,142
Jul 02 2016 01: +0,0.666,162
Jul 03 2016 01: +0,0.636,161
Jul 04 2016 01: +0,0.613,194
Jul 05 2016 01: +0,0.683,181
Jul 06 2016 01: +0,0.62,185
Jul 07 2016 01: +0,0.623,156
Jul 08 2016 01: +0,0.618,246
Jul 09 2016 01: +0,0.65,197
Jul 10 2016 01: +0,0.532,195
Jul 11 2016 01: +0,0.554,178
Jul 12 2016 01: +0,0.553,227
Jul 13 2016 01: +0,0.62,158
Jul 14 2016 01: +0,0.589,175
Jul 15 2016 01: +0,0.597,219
Jul 16 2016 01: +0,0.633,216
Jul 17 2016 01: +0,0.632,196
Jul 18 2016 01: +0,0.702,179
Jul 19 2016 01: +0,0.623,176
Jul 20 2016 01: +0,0.558,210
Jul 21 2016 01: +0,0.572,223
Jul 22 2016 01: +0,0.616,194
Jul 23 2016 01: +0,0.576,168
Jul 24 2016 01: +0,0.537,226
Jul 25 2016 01: +0,0.579,216
Jul 26 2016 01: +0,0.572,203
Jul 27 2016 01: +0,0.575,190
Jul 28 2016 01: +0,0.587,206
Jul 29 2016 01: +0,0.565,208
Jul 30 2016 01: +0,0.534,231
Jul 31 2016 01: +0,0.528,196
Aug 01 2016 01: +0,0.514,205
Aug 02 2016 01: +0,0.528,246
Aug 03 2016 01: +0,0.536,221
Aug 04 2016 01: +0,0.529,187
Aug 05 2016 01: +0,0.532,232
Aug 06 2016 01: +0,0.504,200
Aug 07 2016 01: +0,0.49,203
Aug 08 2016 01: +0,0.445,252
Aug 09 2016 01: +0,0.472,224
Aug 10 2016 01: +0,0.465,219
Aug 11 2016 01: +0,0.444,273
Aug 12 2016 01: +0,0.447,222
Aug 13 2016 01: +0,0.444,226
Aug 14 2016 01: +0,0.436,245
Aug 15 2016 01: +0,0.441,236
Aug 16 2016 01: +0,0.453,225
Aug 17 2016 01: +0,0.467,214
Aug 18 2016 01: +0,0.46,241
Aug 19 2016 01: +0,0.435,273
Aug 20 2016 01: +0,0.419,366
Aug 21 2016 01: +0,0.405,322
Aug 22 2016 01: +0,0.407,292
Aug 23 2016 01: +0,0.403,290
Aug 24 2016 01: +0,0.407,313
Aug 25 2016 01: +0,0.409,328
Aug 26 2016 01: +0,0.414,297
Aug 27 2016 01: +0,0.427,281
Aug 28 2016 01: +0,0.42,310
Aug 29 2016 01: +0,0.422,320
Aug 30 2016 01: +0,0.417,319
Aug 31 2016 01: +0,0.417,275
Sep 01 2016 01: +0,0.412,272
Sep 02 2016 01: +0,0.414,321
Sep 03 2016 01: +0,0.411,324
Sep 04 2016 01: +0,0.402,307
Sep 05 2016 01: +0,0.401,271
Sep 06 2016 01: +0,0.403,254
Sep 07 2016 01: +0,0.399,276
Sep 08 2016 01: +0,0.395,296
Sep 09 2016 01: +0,0.395,304
Sep 10 2016 01: +0,0.392,322
Sep 11 2016 01: +0,0.393,325
Sep 12 2016 01: +0,0.383,267
Sep 13 2016 01: +0,0.384,228
Sep 14 2016 01: +0,0.381,257
Sep 15 2016 01: +0,0.369,294
Sep 16 2016 01: +0,0.355,344
Sep 17 2016 01: +0,0.346,388
Sep 18 2016 01: +0,0.343,338
Sep 19 2016 01: +0,0.336,283
Sep 20 2016 01: +0,0.341,304
Sep 21 2016 01: +0,0.347,293
Sep 22 2016 01: +0,0.375,236
Sep 23 2016 01: +0,0.36,311
Sep 24 2016 01: +0,0.359,352
Sep 25 2016 01: +0,0.357,281
Sep 26 2016 01: +0,0.355,243
Sep 27 2016 01: +0,0.344,248
Sep 28 2016 01: +0,0.354,236
Sep 29 2016 01: +0,0.334,296
Sep 30 2016 01: +0,0.338,341
Oct 01 2016 01: +0,0.34,325
Oct 02 2016 01: +0,0.341,382
Oct 03 2016 01: +0,0.329,290
Oct 04 2016 01: +0,0.332,258
Oct 05 2016 01: +0,0.336,292
Oct 06 2016 01: +0,0.331,296
Oct 07 2016 01: +0,0.316,412
Oct 08 2016 01: +0,0.325,423
Oct 09 2016 01: +0,0.312,340
Oct 10 2016 01: +0,0.301,324
Oct 11 2016 01: +0,0.312,268
Oct 12 2016 01: +0,0.302,251
Oct 13 2016 01: +0,0.312,259
Oct 14 2016 01: +0,0.309,301
Oct 15 2016 01: +0,0.31,296
Oct 16 2016 01: +0,0.312,320
Oct 17 2016 01: +0,0.296,246
Oct 18 2016 01: +0,0.298,222
Oct 19 2016 01: +0,0.298,242
Oct 20 2016 01: +0,0.299,263
Oct 21 2016 01: +0,0.296,319
Oct 22 2016 01: +0,0.296,346
Oct 23 2016 01: +0,0.297,311
Oct 24 2016 01: +0,0.297,241
Oct 25 2016 01: +0,0.297,180
Oct 26 2016 01: +0,0.302,227
Oct 27 2016 01: +0,0.294,228
Oct 28 2016 01: +0,0.293,255
Oct 29 2016 01: +0,0.289,265
Oct 30 2016 01: +0,0.279,299
Oct 31 2016 01: +0,0.27,269
Nov 01 2016 01: +0,0.271,262
Nov 02 2016 01: +0,0.282,320
Nov 03 2016 01: +0,0.293,220
Nov 04 2016 01: +0,0.302,293
Nov 05 2016 01: +0,0.312,339
Nov 06 2016 01: +0,0.318,273
Nov 07 2016 01: +0,0.316,220
Nov 08 2016 01: +0,0.312,199
Nov 09 2016 01: +0,0.313,215
Nov 10 2016 01: +0,0.31,203
Nov 11 2016 01: +0,0.322,334
Nov 12 2016 01: +0,0.329,279
Nov 13 2016 01: +0,0.328,280
Nov 14 2016 01: +0,0.319,290
Nov 15 2016 01: +0,0.329,202
Nov 16 2016 01: +0,0.324,213
Nov 17 2016 01: +0,0.331,172
Nov 18 2016 01: +0,0.324,186
Nov 19 2016 01: +0,0.331,237
Nov 20 2016 01: +0,0.326,258
Nov 21 2016 01: +0,0.314,234
Nov 22 2016 01: +0,0.301,219
Nov 23 2016 01: +0,0.294,215
Nov 24 2016 01: +0,0.263,271
Nov 25 2016 01: +0,0.274,244
Nov 26 2016 01: +0,0.28,238
Nov 27 2016 01: +0,0.27,285
Nov 28 2016 01: +0,0.274,183
Nov 29 2016 01: +0,0.276,255
Nov 30 2016 01: +0,0.301,204
Dec 01 2016 01: +0,0.301,235
Dec 02 2016 01: +0,0.296,275
Dec 03 2016 01: +0,0.309,408
Dec 04 2016 01: +0,0.32,386
Dec 05 2016 01: +0,0.332,229
Dec 06 2016 01: +0,0.34,242
Dec 07 2016 01: +0,0.325,253
Dec 08 2016 01: +0,0.328,260
Dec 09 2016 01: +0,0.331,250
Dec 10 2016 01: +0,0.339,343
Dec 11 2016 01: +0,0.346,321
Dec 12 2016 01: +0,0.341,242
Dec 13 2016 01: +0,0.321,234
Dec 14 2016 01: +0,0.312,212
Dec 15 2016 01: +0,0.303,250
Dec 16 2016 01: +0,0.293,285
Dec 17 2016 01: +0,0.297,333
Dec 18 2016 01: +0,0.302,258
Dec 19 2016 01: +0,0.304,204
Dec 20 2016 01: +0,0.294,203
