Sep 18 2015 01: +0,13.018,29
Sep 19 2015 01: +0,8.966,55
Sep 20 2015 01: +0,7.171,63
Sep 21 2015 01: +0,6.65,50
Sep 22 2015 01: +0,6.622,34
Sep 23 2015 01: +0,6.46,36
Sep 24 2015 01: +0,6.093,35
Sep 25 2015 01: +0,5.641,41
Sep 26 2015 01: +0,5.658,40
Sep 27 2015 01: +0,5.245,32
Sep 28 2015 01: +0,4.807,46
Sep 29 2015 01: +0,4.689,49
Sep 30 2015 01: +0,4.969,41
Oct 01 2015 01: +0,5.129,43
Oct 02 2015 01: +0,5.287,38
Oct 03 2015 01: +0,4.942,41
Oct 04 2015 01: +0,4.654,33
Oct 05 2015 01: +0,4.544,40
Oct 06 2015 01: +0,4.098,33
Oct 07 2015 01: +0,4.524,38
Oct 08 2015 01: +0,4.795,22
Oct 09 2015 01: +0,4.798,34
Oct 10 2015 01: +0,4.807,32
Oct 11 2015 01: +0,4.342,38
Oct 12 2015 01: +0,4.27,26
Oct 13 2015 01: +0,3.966,48
Oct 14 2015 01: +0,3.804,40
Oct 15 2015 01: +0,3.748,54
Oct 16 2015 01: +0,3.706,45
Oct 17 2015 01: +0,3.963,55
Oct 18 2015 01: +0,3.388,44
Oct 19 2015 01: +0,3.424,39
Oct 20 2015 01: +0,3.34,48
Oct 21 2015 01: +0,3.127,36
Oct 22 2015 01: +0,2.932,52
Oct 23 2015 01: +0,3.361,41
Oct 24 2015 01: +0,3.148,42
Oct 25 2015 01: +0,2.938,59
Oct 26 2015 01: +0,2.796,56
Oct 27 2015 01: +0,2.826,46
Oct 28 2015 01: +0,2.982,44
Oct 29 2015 01: +0,2.934,38
Oct 30 2015 01: +0,2.923,58
Oct 31 2015 01: +0,3.005,46
Nov 01 2015 01: +0,2.877,54
Nov 02 2015 01: +0,2.896,58
Nov 03 2015 01: +0,2.979,44
Nov 04 2015 01: +0,2.877,54
Nov 05 2015 01: +0,3.036,39
Nov 06 2015 01: +0,2.995,50
Nov 07 2015 01: +0,2.984,62
Nov 08 2015 01: +0,2.884,48
Nov 09 2015 01: +0,2.594,58
Nov 10 2015 01: +0,2.788,33
Nov 11 2015 01: +0,2.743,44
Nov 12 2015 01: +0,2.658,42
Nov 13 2015 01: +0,2.747,50
Nov 14 2015 01: +0,2.667,66
Nov 15 2015 01: +0,2.982,55
Nov 16 2015 01: +0,2.703,44
Nov 17 2015 01: +0,2.713,38
Nov 18 2015 01: +0,2.544,36
Nov 19 2015 01: +0,2.449,43
Nov 20 2015 01: +0,2.679,43
Nov 21 2015 01: +0,2.58,42
Nov 22 2015 01: +0,2.702,35
Nov 23 2015 01: +0,2.571,30
Nov 24 2015 01: +0,2.493,56
Nov 25 2015 01: +0,2.486,49
Nov 26 2015 01: +0,2.14,55
Nov 27 2015 01: +0,2.135,52
Nov 28 2015 01: +0,2.173,63
Nov 29 2015 01: +0,2.188,79
Nov 30 2015 01: +0,2.188,51
Dec 01 2015 01: +0,2.195,58
Dec 02 2015 01: +0,2.346,39
Dec 03 2015 01: +0,2.283,50
Dec 04 2015 01: +0,2.475,65
Dec 05 2015 01: +0,2.408,68
Dec 06 2015 01: +0,2.412,67
Dec 07 2015 01: +0,2.359,45
Dec 08 2015 01: +0,2.346,54
Dec 09 2015 01: +0,2.273,48
Dec 10 2015 01: +0,2.084,68
Dec 11 2015 01: +0,2.215,65
Dec 12 2015 01: +0,2.285,49
Dec 13 2015 01: +0,2.294,55
Dec 14 2015 01: +0,2.204,50
Dec 15 2015 01: +0,2.262,54
Dec 16 2015 01: +0,2.166,65
Dec 17 2015 01: +0,2.179,42
Dec 18 2015 01: +0,1.983,51
Dec 19 2015 01: +0,2.119,47
Dec 20 2015 01: +0,2.089,48
Dec 21 2015 01: +0,1.876,39
Dec 22 2015 01: +0,1.917,61
Dec 23 2015 01: +0,1.616,77
Dec 24 2015 01: +0,1.726,67
Dec 25 2015 01: +0,1.958,63
Dec 26 2015 01: +0,2.033,73
Dec 27 2015 01: +0,2.039,73
Dec 28 2015 01: +0,1.924,70
Dec 29 2015 01: +0,1.976,64
Dec 30 2015 01: +0,1.925,78
Dec 31 2015 01: +0,1.968,44
Jan 01 2016 01: +0,1.89,45
Jan 02 2016 01: +0,1.773,79
Jan 03 2016 01: +0,1.791,64
Jan 04 2016 01: +0,1.81,55
Jan 05 2016 01: +0,1.916,64
Jan 06 2016 01: +0,1.934,44
Jan 07 2016 01: +0,1.945,43
Jan 08 2016 01: +0,1.931,54
Jan 09 2016 01: +0,1.969,62
Jan 10 2016 01: +0,1.863,50
Jan 11 2016 01: +0,1.975,58
Jan 12 2016 01: +0,1.924,52
Jan 13 2016 01: +0,1.953,40
Jan 14 2016 01: +0,1.893,55
Jan 15 2016 01: +0,1.868,61
Jan 16 2016 01: +0,2.034,60
Jan 17 2016 01: +0,1.87,63
Jan 18 2016 01: +0,1.86,55
Jan 19 2016 01: +0,1.847,40
Jan 20 2016 01: +0,1.912,57
Jan 21 2016 01: +0,1.923,53
Jan 22 2016 01: +0,1.951,57
Jan 23 2016 01: +0,1.952,54
Jan 24 2016 01: +0,1.838,62
Jan 25 2016 01: +0,1.749,66
Jan 26 2016 01: +0,1.947,43
Jan 27 2016 01: +0,1.77,55
Jan 28 2016 01: +0,1.796,40
Jan 29 2016 01: +0,1.864,61
Jan 30 2016 01: +0,1.773,69
Jan 31 2016 01: +0,1.801,41
Feb 01 2016 01: +0,1.773,57
Feb 02 2016 01: +0,1.793,56
Feb 03 2016 01: +0,1.696,58
Feb 04 2016 01: +0,1.725,63
Feb 05 2016 01: +0,1.682,59
Feb 06 2016 01: +0,1.549,74
Feb 07 2016 01: +0,1.449,67
Feb 08 2016 01: +0,1.379,48
Feb 09 2016 01: +0,1.427,56
Feb 10 2016 01: +0,1.524,71
Feb 11 2016 01: +0,1.459,54
Feb 12 2016 01: +0,1.526,68
Feb 13 2016 01: +0,1.691,60
Feb 14 2016 01: +0,1.84,47
Feb 15 2016 01: +0,1.723,48
Feb 16 2016 01: +0,1.789,39
Feb 17 2016 01: +0,1.739,51
Feb 18 2016 01: +0,1.343,114
Feb 19 2016 01: +0,1.552,80
Feb 20 2016 01: +0,1.752,72
Feb 21 2016 01: +0,1.725,80
Feb 22 2016 01: +0,1.71,72
Feb 23 2016 01: +0,1.751,51
Feb 24 2016 01: +0,1.757,55
Feb 25 2016 01: +0,1.669,70
Feb 26 2016 01: +0,1.751,74
Feb 27 2016 01: +0,1.723,75
Feb 28 2016 01: +0,1.727,56
Feb 29 2016 01: +0,1.692,50
Mar 01 2016 01: +0,1.708,57
Mar 02 2016 01: +0,1.727,53
Mar 03 2016 01: +0,1.762,40
Mar 04 2016 01: +0,1.796,61
Mar 05 2016 01: +0,1.688,74
Mar 06 2016 01: +0,1.666,75
Mar 07 2016 01: +0,1.697,61
Mar 08 2016 01: +0,1.663,50
Mar 09 2016 01: +0,1.581,72
Mar 10 2016 01: +0,1.718,43
Mar 11 2016 01: +0,1.696,47
Mar 12 2016 01: +0,1.776,46
Mar 13 2016 01: +0,1.822,56
Mar 14 2016 01: +0,1.932,33
Mar 15 2016 01: +0,2.003,28
Mar 16 2016 01: +0,1.94,30
Mar 17 2016 01: +0,1.984,30
Mar 18 2016 01: +0,1.854,36
Mar 19 2016 01: +0,1.869,45
Mar 20 2016 01: +0,1.789,49
Mar 21 2016 01: +0,1.881,43
Mar 22 2016 01: +0,1.78,39
Mar 23 2016 01: +0,1.846,36
Mar 24 2016 01: +0,1.841,35
Mar 25 2016 01: +0,1.835,40
Mar 26 2016 01: +0,1.771,38
Mar 27 2016 01: +0,1.755,42
Mar 28 2016 01: +0,1.734,40
Mar 29 2016 01: +0,1.807,35
Mar 30 2016 01: +0,1.692,67
Mar 31 2016 01: +0,1.819,48
Apr 01 2016 01: +0,2.009,61
Apr 02 2016 01: +0,2.124,56
Apr 03 2016 01: +0,1.88,49
Apr 04 2016 01: +0,1.971,52
Apr 05 2016 01: +0,1.883,56
Apr 06 2016 01: +0,2.036,48
Apr 07 2016 01: +0,2.037,52
Apr 08 2016 01: +0,2.063,49
Apr 09 2016 01: +0,2.07,56
Apr 10 2016 01: +0,2.02,59
Apr 11 2016 01: +0,1.939,42
Apr 12 2016 01: +0,1.975,56
Apr 13 2016 01: +0,1.94,42
Apr 14 2016 01: +0,1.915,35
Apr 15 2016 01: +0,1.907,60
Apr 16 2016 01: +0,1.98,79
Apr 17 2016 01: +0,1.913,57
