May 24 2017 01: +0,4.962,48
May 25 2017 01: +0,3.074,63
May 26 2017 01: +0,3.037,48
May 27 2017 01: +0,3.587,30
May 28 2017 01: +0,2.96,34
May 29 2017 01: +0,2.971,25
May 30 2017 01: +0,3.494,23
May 31 2017 01: +0,3.804,29
Jun 01 2017 01: +0,3.568,20
Jun 02 2017 01: +0,3.51,19
Jun 03 2017 01: +0,3.822,29
Jun 04 2017 01: +0,4.13,13
Jun 05 2017 01: +0,4.011,15
Jun 06 2017 01: +0,3.465,14
Jun 07 2017 01: +0,2.834,63
Jun 08 2017 01: +0,2.505,46
Jun 09 2017 01: +0,2.478,38
Jun 10 2017 01: +0,2.363,35
Jun 11 2017 01: +0,2.693,28
Jun 12 2017 01: +0,2.423,18
Jun 13 2017 01: +0,2.329,24
Jun 14 2017 01: +0,2.282,30
Jun 15 2017 01: +0,2.67,21
Jun 16 2017 01: +0,2.803,16
Jun 17 2017 01: +0,2.691,21
Jun 18 2017 01: +0,2.777,16
Jun 19 2017 01: +0,2.737,17
Jun 20 2017 01: +0,2.688,20
Jun 21 2017 01: +0,2.449,16
Jun 22 2017 01: +0,2.362,16
Jun 23 2017 01: +0,2.213,19
Jun 24 2017 01: +0,2.21,23
Jun 25 2017 01: +0,2.116,35
Jun 26 2017 01: +0,2.068,41
Jun 27 2017 01: +0,2.432,23
Jun 28 2017 01: +0,2.308,20
Jun 29 2017 01: +0,2.079,30
Jun 30 2017 01: +0,2.173,22
Jul 01 2017 01: +0,1.894,27
Jul 02 2017 01: +0,2.028,27
Jul 03 2017 01: +0,2.362,19
Jul 04 2017 01: +0,2.359,17
Jul 05 2017 01: +0,2.404,47
Jul 06 2017 01: +0,2.412,18
Jul 07 2017 01: +0,2.341,23
Jul 08 2017 01: +0,2.322,25
Jul 09 2017 01: +0,2.155,20
Jul 10 2017 01: +0,2.183,20
Jul 11 2017 01: +0,2.071,19
Jul 12 2017 01: +0,1.986,20
Jul 13 2017 01: +0,2.127,20
Jul 14 2017 01: +0,2.138,17
Jul 15 2017 01: +0,2.197,29
Jul 16 2017 01: +0,2.227,26
Jul 17 2017 01: +0,2.269,16
Jul 18 2017 01: +0,2.247,16
Jul 19 2017 01: +0,2.241,15
Jul 20 2017 01: +0,2.178,18
Jul 21 2017 01: +0,2.065,31
Jul 22 2017 01: +0,2.202,20
Jul 23 2017 01: +0,2.183,35
Jul 24 2017 01: +0,2.15,29
Jul 25 2017 01: +0,2.215,28
Jul 26 2017 01: +0,2.398,16
