Jun 16 2016 01: +0,1.421,47
Jun 17 2016 01: +0,1.241,55
Jun 18 2016 01: +0,0.945,57
Jun 19 2016 01: +0,1.047,76
Jun 20 2016 01: +0,0.84,43
Jun 21 2016 01: +0,0.782,57
Jun 22 2016 01: +0,0.777,48
Jun 23 2016 01: +0,0.805,47
Jun 24 2016 01: +0,0.64,58
Jun 25 2016 01: +0,0.733,43
Jun 26 2016 01: +0,0.594,52
Jun 27 2016 01: +0,0.52,44
Jun 28 2016 01: +0,0.529,68
Jun 29 2016 01: +0,0.576,54
Jun 30 2016 01: +0,0.509,36
Jul 01 2016 01: +0,0.49,63
Jul 02 2016 01: +0,0.54,37
Jul 03 2016 01: +0,0.441,66
Jul 04 2016 01: +0,0.497,72
Jul 05 2016 01: +0,0.517,72
Jul 06 2016 01: +0,0.492,75
Jul 07 2016 01: +0,0.498,89
Jul 08 2016 01: +0,0.474,54
Jul 09 2016 01: +0,0.449,63
Jul 10 2016 01: +0,0.383,72
Jul 11 2016 01: +0,0.454,85
Jul 12 2016 01: +0,0.415,65
Jul 13 2016 01: +0,0.481,75
Jul 14 2016 01: +0,0.466,58
Jul 15 2016 01: +0,0.429,48
Jul 16 2016 01: +0,0.516,106
Jul 17 2016 01: +0,0.506,82
Jul 18 2016 01: +0,0.586,68
Jul 19 2016 01: +0,0.492,61
Jul 20 2016 01: +0,0.456,72
Jul 21 2016 01: +0,0.451,76
Jul 22 2016 01: +0,0.459,41
Jul 23 2016 01: +0,0.484,82
Jul 24 2016 01: +0,0.443,57
Jul 25 2016 01: +0,0.428,81
Jul 26 2016 01: +0,0.406,74
Jul 27 2016 01: +0,0.446,91
Jul 28 2016 01: +0,0.496,77
Jul 29 2016 01: +0,0.468,53
Jul 30 2016 01: +0,0.413,87
Jul 31 2016 01: +0,0.428,80
Aug 01 2016 01: +0,0.394,100
Aug 02 2016 01: +0,0.433,84
Aug 03 2016 01: +0,0.411,65
Aug 04 2016 01: +0,0.423,71
Aug 05 2016 01: +0,0.379,58
Aug 06 2016 01: +0,0.391,98
Aug 07 2016 01: +0,0.404,46
Aug 08 2016 01: +0,0.393,72
Aug 09 2016 01: +0,0.369,95
Aug 10 2016 01: +0,0.358,103
Aug 11 2016 01: +0,0.353,58
Aug 12 2016 01: +0,0.319,65
Aug 13 2016 01: +0,0.336,100
Aug 14 2016 01: +0,0.358,63
Aug 15 2016 01: +0,0.329,53
Aug 16 2016 01: +0,0.297,104
Aug 17 2016 01: +0,0.326,55
Aug 18 2016 01: +0,0.316,68
Aug 19 2016 01: +0,0.316,98
Aug 20 2016 01: +0,0.301,79
Aug 21 2016 01: +0,0.299,87
Aug 22 2016 01: +0,0.311,129
Aug 23 2016 01: +0,0.291,91
Aug 24 2016 01: +0,0.289,78
Aug 25 2016 01: +0,0.294,89
Aug 26 2016 01: +0,0.3,88
Aug 27 2016 01: +0,0.305,73
Aug 28 2016 01: +0,0.289,107
Aug 29 2016 01: +0,0.302,106
Aug 30 2016 01: +0,0.308,66
Aug 31 2016 01: +0,0.295,78
Sep 01 2016 01: +0,0.295,115
Sep 02 2016 01: +0,0.298,53
Sep 03 2016 01: +0,0.301,103
Sep 04 2016 01: +0,0.294,102
Sep 05 2016 01: +0,0.29,70
Sep 06 2016 01: +0,0.293,50
Sep 07 2016 01: +0,0.284,95
Sep 08 2016 01: +0,0.275,65
Sep 09 2016 01: +0,0.3,74
Sep 10 2016 01: +0,0.278,96
Sep 11 2016 01: +0,0.278,87
Sep 12 2016 01: +0,0.28,85
Sep 13 2016 01: +0,0.285,73
Sep 14 2016 01: +0,0.266,61
Sep 15 2016 01: +0,0.263,60
Sep 16 2016 01: +0,0.27,93
Sep 17 2016 01: +0,0.28,88
Sep 18 2016 01: +0,0.261,60
Sep 19 2016 01: +0,0.273,65
Sep 20 2016 01: +0,0.261,89
Sep 21 2016 01: +0,0.271,63
Sep 22 2016 01: +0,0.274,63
Sep 23 2016 01: +0,0.27,101
Sep 24 2016 01: +0,0.28,123
Sep 25 2016 01: +0,0.283,82
Sep 26 2016 01: +0,0.265,72
Sep 27 2016 01: +0,0.259,100
Sep 28 2016 01: +0,0.256,43
Sep 29 2016 01: +0,0.256,46
Sep 30 2016 01: +0,0.242,68
Oct 01 2016 01: +0,0.249,122
Oct 02 2016 01: +0,0.255,78
Oct 03 2016 01: +0,0.261,67
Oct 04 2016 01: +0,0.239,61
Oct 05 2016 01: +0,0.255,79
Oct 06 2016 01: +0,0.231,45
Oct 07 2016 01: +0,0.233,95
Oct 08 2016 01: +0,0.239,80
Oct 09 2016 01: +0,0.238,80
Oct 10 2016 01: +0,0.236,115
Oct 11 2016 01: +0,0.26,45
Oct 12 2016 01: +0,0.248,65
Oct 13 2016 01: +0,0.259,94
Oct 14 2016 01: +0,0.241,64
Oct 15 2016 01: +0,0.288,61
Oct 16 2016 01: +0,0.229,83
Oct 17 2016 01: +0,0.235,50
Oct 18 2016 01: +0,0.24,58
Oct 19 2016 01: +0,0.246,36
Oct 20 2016 01: +0,0.232,52
Oct 21 2016 01: +0,0.226,83
Oct 22 2016 01: +0,0.218,52
Oct 23 2016 01: +0,0.223,66
Oct 24 2016 01: +0,0.226,74
Oct 25 2016 01: +0,0.221,71
Oct 26 2016 01: +0,0.235,64
Oct 27 2016 01: +0,0.219,63
Oct 28 2016 01: +0,0.223,58
Oct 29 2016 01: +0,0.224,46
Oct 30 2016 01: +0,0.214,41
Oct 31 2016 01: +0,0.198,55
Nov 01 2016 01: +0,0.231,91
Nov 02 2016 01: +0,0.236,37
Nov 03 2016 01: +0,0.231,42
Nov 04 2016 01: +0,0.264,70
Nov 05 2016 01: +0,0.245,65
Nov 06 2016 01: +0,0.245,85
Nov 07 2016 01: +0,0.239,68
Nov 08 2016 01: +0,0.239,45
Nov 09 2016 01: +0,0.24,43
Nov 10 2016 01: +0,0.253,62
Nov 11 2016 01: +0,0.268,68
Nov 12 2016 01: +0,0.287,57
Nov 13 2016 01: +0,0.258,53
Nov 14 2016 01: +0,0.25,48
Nov 15 2016 01: +0,0.244,42
Nov 16 2016 01: +0,0.259,61
Nov 17 2016 01: +0,0.239,31
Nov 18 2016 01: +0,0.239,53
Nov 19 2016 01: +0,0.252,63
Nov 20 2016 01: +0,0.234,80
Nov 21 2016 01: +0,0.238,48
Nov 22 2016 01: +0,0.223,38
Nov 23 2016 01: +0,0.21,59
Nov 24 2016 01: +0,0.222,50
Nov 25 2016 01: +0,0.193,60
Nov 26 2016 01: +0,0.216,38
Nov 27 2016 01: +0,0.208,53
Nov 28 2016 01: +0,0.216,20
Nov 29 2016 01: +0,0.2,56
Nov 30 2016 01: +0,0.211,57
Dec 01 2016 01: +0,0.237,95
Dec 02 2016 01: +0,0.209,63
Dec 03 2016 01: +0,0.24,85
