Feb 16 2018 01: +0,2.82,58
Feb 17 2018 01: +0,1.379,74
Feb 18 2018 01: +0,1.149,79
Feb 19 2018 01: +0,1.115,68
Feb 20 2018 01: +0,1.039,56
Feb 21 2018 01: +0,1.007,46
Feb 22 2018 01: +0,0.889,56
Feb 23 2018 01: +0,0.869,40
Feb 24 2018 01: +0,0.8,67
Feb 25 2018 01: +0,0.727,79
Feb 26 2018 01: +0,0.674,67
Feb 27 2018 01: +0,0.689,62
Feb 28 2018 01: +0,0.667,39
Feb 28 2018 19: +0,0.727,2
Feb 28 2018 20: +0,0.54,3
Feb 28 2018 21: +0,0.635,2
Feb 28 2018 22: +0,0.721,2
Mar 01 2018 00: +0,0.708,3
Mar 01 2018 01: +0,0.645,2
Mar 01 2018 02: +0,0.64,3
Mar 01 2018 03: +0,0.695,4
Mar 01 2018 04: +0,0.695,1
Mar 01 2018 06: +0,0.724,2
Mar 01 2018 07: +0,0.593,1
Mar 01 2018 08: +0,0.689,1
Mar 01 2018 09: +0,0.637,2
Mar 01 2018 10: +0,0.49,2
Mar 01 2018 11: +0,0.699,2
Mar 01 2018 12: +0,0.696,4
Mar 01 2018 13: +0,0.614,3
Mar 01 2018 14: +0,0.693,4
Mar 01 2018 15: +0,0.587,3
Mar 01 2018 16: +0,0.649,4
Mar 01 2018 17: +0,0.711,4
Mar 01 2018 18: +0,0.711,4
Mar 01 2018 19: +0,0.69,1
Mar 01 2018 20: +0,0.672,13
Mar 01 2018 21: +0,0.6,5
Mar 01 2018 22: +0,0.702,7
Mar 01 2018 23: +0,0.6,1
Mar 02 2018 00: +0,0.699,8
Mar 02 2018 01: +0,0.633,3
Mar 02 2018 02: +0,0.6,4
Mar 02 2018 03: +0,0.625,2
Mar 02 2018 04: +0,0.616,1
Mar 02 2018 05: +0,0.613,2
Mar 02 2018 06: +0,0.692,3
Mar 02 2018 09: +0,0.5,1
Mar 02 2018 10: +0,0.669,1
Mar 02 2018 11: +0,0.608,4
Mar 02 2018 12: +0,0.598,3
Mar 02 2018 13: +0,0.686,7
Mar 02 2018 14: +0,0.684,2
Mar 02 2018 15: +0,0.669,7
Mar 02 2018 16: +0,0.694,15
Mar 02 2018 17: +0,0.42,1
Mar 02 2018 18: +0,0.695,4
Mar 02 2018 19: +0,0.669,5
Mar 02 2018 20: +0,0.65,8
Mar 02 2018 21: +0,0.702,5
Mar 02 2018 22: +0,0.641,4
Mar 02 2018 23: +0,0.701,3
Mar 03 2018 00: +0,0.66,2
Mar 03 2018 01: +0,0.62,1
Mar 03 2018 02: +0,0.69,1
Mar 03 2018 03: +0,0.7,3
Mar 03 2018 04: +0,0.7,3
Mar 03 2018 05: +0,0.537,2
Mar 03 2018 06: +0,0.69,3
Mar 03 2018 07: +0,0.701,1
Mar 03 2018 08: +0,0.701,2
Mar 03 2018 09: +0,0.701,3
Mar 03 2018 10: +0,0.677,3
Mar 03 2018 11: +0,0.543,3
Mar 03 2018 12: +0,0.664,3
Mar 03 2018 13: +0,0.672,5
Mar 03 2018 14: +0,0.701,1
Mar 03 2018 15: +0,0.701,5
Mar 03 2018 16: +0,0.7,7
Mar 03 2018 17: +0,0.7,4
Mar 03 2018 18: +0,0.62,4
Mar 03 2018 19: +0,0.641,5
Mar 03 2018 20: +0,0.677,4
Mar 03 2018 21: +0,0.701,3
Mar 03 2018 23: +0,0.58,5
Mar 04 2018 00: +0,0.6,6
Mar 04 2018 01: +0,0.66,1
Mar 04 2018 02: +0,0.585,1
Mar 04 2018 03: +0,0.683,5
Mar 04 2018 04: +0,0.552,1
Mar 04 2018 05: +0,0.71,7
Mar 04 2018 06: +0,0.7,3
Mar 04 2018 07: +0,0.701,1
Mar 04 2018 08: +0,0.615,4
Mar 04 2018 09: +0,0.701,2
Mar 04 2018 10: +0,0.7,1
Mar 04 2018 11: +0,0.701,6
Mar 04 2018 12: +0,0.713,5
Mar 04 2018 13: +0,0.7,5
Mar 04 2018 14: +0,0.675,2
Mar 04 2018 15: +0,0.6,8
Mar 04 2018 16: +0,0.714,3
Mar 04 2018 18: +0,0.622,3
Mar 04 2018 19: +0,0.605,4
Mar 04 2018 20: +0,0.627,7
Mar 04 2018 21: +0,0.701,13
Mar 04 2018 22: +0,0.6,5
Mar 04 2018 23: +0,0.566,1
Mar 05 2018 00: +0,0.5,1
Mar 05 2018 01: +0,0.615,5
Mar 05 2018 02: +0,0.5,3
Mar 05 2018 03: +0,0.625,2
Mar 05 2018 04: +0,0.63,1
Mar 05 2018 05: +0,0.579,2
Mar 05 2018 06: +0,0.674,3
Mar 05 2018 07: +0,0.632,2
Mar 05 2018 08: +0,0.61,3
Mar 05 2018 09: +0,0.523,1
Mar 05 2018 10: +0,0.6,1
Mar 05 2018 11: +0,0.623,2
Mar 05 2018 12: +0,0.665,4
Mar 05 2018 13: +0,0.701,1
Mar 05 2018 14: +0,0.566,1
