Sep 18 2015 01: +0,1.759,159
Sep 19 2015 01: +0,1.275,212
Sep 20 2015 01: +0,0.97,210
Sep 21 2015 01: +0,0.984,136
Sep 22 2015 01: +0,0.939,141
Sep 23 2015 01: +0,0.973,149
Sep 24 2015 01: +0,0.906,153
Sep 25 2015 01: +0,0.739,182
Sep 26 2015 01: +0,0.782,167
Sep 27 2015 01: +0,0.675,183
Sep 28 2015 01: +0,0.593,186
Sep 29 2015 01: +0,0.63,168
Sep 30 2015 01: +0,0.66,170
Oct 01 2015 01: +0,0.739,159
Oct 02 2015 01: +0,0.666,191
Oct 03 2015 01: +0,0.722,187
Oct 04 2015 01: +0,0.654,148
Oct 05 2015 01: +0,0.595,160
Oct 06 2015 01: +0,0.638,133
Oct 07 2015 01: +0,0.629,171
Oct 08 2015 01: +0,0.697,142
Oct 09 2015 01: +0,0.69,159
Oct 10 2015 01: +0,0.606,161
Oct 11 2015 01: +0,0.577,200
Oct 12 2015 01: +0,0.586,134
Oct 13 2015 01: +0,0.523,166
Oct 14 2015 01: +0,0.514,186
Oct 15 2015 01: +0,0.537,179
Oct 16 2015 01: +0,0.523,172
Oct 17 2015 01: +0,0.524,177
Oct 18 2015 01: +0,0.466,237
Oct 19 2015 01: +0,0.462,140
Oct 20 2015 01: +0,0.457,196
Oct 21 2015 01: +0,0.412,173
Oct 22 2015 01: +0,0.379,127
Oct 23 2015 01: +0,0.434,189
Oct 24 2015 01: +0,0.447,246
Oct 25 2015 01: +0,0.483,198
Oct 26 2015 01: +0,0.393,185
Oct 27 2015 01: +0,0.418,179
Oct 28 2015 01: +0,0.404,206
Oct 29 2015 01: +0,0.429,185
Oct 30 2015 01: +0,0.427,202
Oct 31 2015 01: +0,0.477,221
Nov 01 2015 01: +0,0.402,208
Nov 02 2015 01: +0,0.38,184
Nov 03 2015 01: +0,0.45,224
Nov 04 2015 01: +0,0.478,167
Nov 05 2015 01: +0,0.491,152
Nov 06 2015 01: +0,0.432,175
Nov 07 2015 01: +0,0.426,236
Nov 08 2015 01: +0,0.449,205
Nov 09 2015 01: +0,0.418,164
Nov 10 2015 01: +0,0.421,157
Nov 11 2015 01: +0,0.439,152
Nov 12 2015 01: +0,0.401,141
Nov 13 2015 01: +0,0.396,162
Nov 14 2015 01: +0,0.43,197
Nov 15 2015 01: +0,0.421,193
Nov 16 2015 01: +0,0.389,137
Nov 17 2015 01: +0,0.392,163
Nov 18 2015 01: +0,0.337,183
Nov 19 2015 01: +0,0.32,167
Nov 20 2015 01: +0,0.346,176
Nov 21 2015 01: +0,0.37,235
Nov 22 2015 01: +0,0.359,133
Nov 23 2015 01: +0,0.328,151
Nov 24 2015 01: +0,0.348,171
Nov 25 2015 01: +0,0.361,175
Nov 26 2015 01: +0,0.335,129
Nov 27 2015 01: +0,0.349,182
Nov 28 2015 01: +0,0.318,216
Nov 29 2015 01: +0,0.33,225
Nov 30 2015 01: +0,0.337,180
Dec 01 2015 01: +0,0.362,156
Dec 02 2015 01: +0,0.362,186
Dec 03 2015 01: +0,0.328,175
Dec 04 2015 01: +0,0.357,186
Dec 05 2015 01: +0,0.391,197
Dec 06 2015 01: +0,0.341,232
Dec 07 2015 01: +0,0.369,174
Dec 08 2015 01: +0,0.376,172
Dec 09 2015 01: +0,0.349,171
Dec 10 2015 01: +0,0.333,184
Dec 11 2015 01: +0,0.339,181
Dec 12 2015 01: +0,0.323,229
Dec 13 2015 01: +0,0.309,209
Dec 14 2015 01: +0,0.299,171
Dec 15 2015 01: +0,0.335,165
Dec 16 2015 01: +0,0.337,170
Dec 17 2015 01: +0,0.337,117
Dec 18 2015 01: +0,0.342,129
Dec 19 2015 01: +0,0.318,160
Dec 20 2015 01: +0,0.288,161
Dec 21 2015 01: +0,0.278,146
Dec 22 2015 01: +0,0.302,173
Dec 23 2015 01: +0,0.275,175
Dec 24 2015 01: +0,0.279,152
Dec 25 2015 01: +0,0.281,220
Dec 26 2015 01: +0,0.317,187
Dec 27 2015 01: +0,0.313,190
Dec 28 2015 01: +0,0.296,203
Dec 29 2015 01: +0,0.302,175
Dec 30 2015 01: +0,0.322,158
Dec 31 2015 01: +0,0.287,171
Jan 01 2016 01: +0,0.3,192
Jan 02 2016 01: +0,0.29,197
Jan 03 2016 01: +0,0.292,178
Jan 04 2016 01: +0,0.303,196
Jan 05 2016 01: +0,0.318,158
Jan 06 2016 01: +0,0.326,141
Jan 07 2016 01: +0,0.348,147
Jan 08 2016 01: +0,0.327,138
Jan 09 2016 01: +0,0.32,143
Jan 10 2016 01: +0,0.297,154
Jan 11 2016 01: +0,0.305,141
Jan 12 2016 01: +0,0.331,125
Jan 13 2016 01: +0,0.312,104
Jan 14 2016 01: +0,0.318,101
Jan 15 2016 01: +0,0.301,143
Jan 16 2016 01: +0,0.305,174
Jan 17 2016 01: +0,0.316,128
Jan 18 2016 01: +0,0.303,120
Jan 19 2016 01: +0,0.29,125
Jan 20 2016 01: +0,0.296,101
Jan 21 2016 01: +0,0.301,122
Jan 22 2016 01: +0,0.314,121
Jan 23 2016 01: +0,0.319,150
Jan 24 2016 01: +0,0.3,154
Jan 25 2016 01: +0,0.3,148
