Dec 09 2015 01: +0,4.312,224
Dec 10 2015 01: +0,2.329,266
Dec 11 2015 01: +0,2.427,210
Dec 12 2015 01: +0,2.162,261
Dec 13 2015 01: +0,1.999,258
Dec 14 2015 01: +0,1.942,173
Dec 15 2015 01: +0,2.044,185
Dec 16 2015 01: +0,2.272,154
Dec 17 2015 01: +0,2.023,131
Dec 18 2015 01: +0,1.91,133
Dec 19 2015 01: +0,1.939,196
Dec 20 2015 01: +0,2.013,142
Dec 21 2015 01: +0,1.691,142
Dec 22 2015 01: +0,1.757,135
Dec 23 2015 01: +0,1.573,137
Dec 24 2015 01: +0,1.587,155
Dec 25 2015 01: +0,1.742,155
Dec 26 2015 01: +0,1.891,167
Dec 27 2015 01: +0,1.858,176
Dec 28 2015 01: +0,1.854,175
Dec 29 2015 01: +0,1.755,158
Dec 30 2015 01: +0,1.745,176
Dec 31 2015 01: +0,1.713,158
Jan 01 2016 01: +0,1.554,176
Jan 02 2016 01: +0,1.496,172
Jan 03 2016 01: +0,1.515,150
Jan 04 2016 01: +0,1.399,134
Jan 05 2016 01: +0,1.493,125
Jan 06 2016 01: +0,1.568,183
Jan 07 2016 01: +0,1.585,122
Jan 08 2016 01: +0,1.553,152
Jan 09 2016 01: +0,1.651,137
Jan 10 2016 01: +0,1.578,142
Jan 11 2016 01: +0,1.457,90
Jan 12 2016 01: +0,1.46,110
Jan 13 2016 01: +0,1.473,113
Jan 14 2016 01: +0,1.514,115
Jan 15 2016 01: +0,1.469,129
Jan 16 2016 01: +0,1.394,160
Jan 17 2016 01: +0,1.443,120
Jan 18 2016 01: +0,1.446,116
Jan 19 2016 01: +0,1.676,98
Jan 20 2016 01: +0,1.587,103
Jan 21 2016 01: +0,1.441,101
Jan 22 2016 01: +0,1.458,97
Jan 23 2016 01: +0,1.507,141
Jan 24 2016 01: +0,1.51,120
Jan 25 2016 01: +0,1.51,119
Jan 26 2016 01: +0,1.566,73
Jan 27 2016 01: +0,1.542,67
Jan 28 2016 01: +0,1.527,91
Jan 29 2016 01: +0,1.494,94
Jan 30 2016 01: +0,1.518,106
Jan 31 2016 01: +0,1.475,92
Feb 01 2016 01: +0,1.387,74
Feb 02 2016 01: +0,1.522,110
Feb 03 2016 01: +0,1.466,115
Feb 04 2016 01: +0,1.476,105
Feb 05 2016 01: +0,1.441,113
Feb 06 2016 01: +0,1.449,120
Feb 07 2016 01: +0,1.358,129
Feb 08 2016 01: +0,1.436,96
Feb 09 2016 01: +0,1.415,98
Feb 10 2016 01: +0,1.438,64
Feb 11 2016 01: +0,1.438,88
Feb 12 2016 01: +0,1.395,88
Feb 13 2016 01: +0,1.532,105
Feb 14 2016 01: +0,1.564,111
Feb 15 2016 01: +0,1.559,87
Feb 16 2016 01: +0,1.496,69
Feb 17 2016 01: +0,1.464,84
Feb 18 2016 01: +0,1.18,116
Feb 19 2016 01: +0,1.249,100
Feb 20 2016 01: +0,1.225,143
Feb 21 2016 01: +0,1.311,149
Feb 22 2016 01: +0,1.26,93
Feb 23 2016 01: +0,1.369,69
Feb 24 2016 01: +0,1.326,90
Feb 25 2016 01: +0,1.289,99
Feb 26 2016 01: +0,1.408,92
Feb 27 2016 01: +0,1.291,110
Feb 28 2016 01: +0,1.302,81
Feb 29 2016 01: +0,1.272,97
Mar 01 2016 01: +0,1.315,112
Mar 02 2016 01: +0,1.308,95
Mar 03 2016 01: +0,1.484,90
Mar 04 2016 01: +0,1.336,71
Mar 05 2016 01: +0,1.431,139
Mar 06 2016 01: +0,1.356,101
Mar 07 2016 01: +0,1.384,97
Mar 08 2016 01: +0,1.376,79
Mar 09 2016 01: +0,1.294,75
Mar 10 2016 01: +0,1.429,49
Mar 11 2016 01: +0,1.411,76
Mar 12 2016 01: +0,1.465,90
Mar 13 2016 01: +0,1.532,42
Mar 14 2016 01: +0,1.606,44
Mar 15 2016 01: +0,1.506,51
Mar 16 2016 01: +0,1.484,77
Mar 17 2016 01: +0,1.538,35
Mar 18 2016 01: +0,1.449,38
Mar 19 2016 01: +0,1.459,68
Mar 20 2016 01: +0,1.444,63
Mar 21 2016 01: +0,1.435,58
Mar 22 2016 01: +0,1.527,57
Mar 23 2016 01: +0,1.441,48
Mar 24 2016 01: +0,1.536,51
Mar 25 2016 01: +0,1.393,63
Mar 26 2016 01: +0,1.378,61
Mar 27 2016 01: +0,1.363,45
Mar 28 2016 01: +0,1.362,47
Mar 29 2016 01: +0,1.361,48
Mar 30 2016 01: +0,1.36,51
Mar 31 2016 01: +0,1.339,72
Apr 01 2016 01: +0,1.391,58
Apr 02 2016 01: +0,1.51,74
Apr 03 2016 01: +0,1.388,77
Apr 04 2016 01: +0,1.437,53
Apr 05 2016 01: +0,1.478,89
Apr 06 2016 01: +0,1.767,29
Apr 07 2016 01: +0,1.614,55
Apr 08 2016 01: +0,1.529,58
Apr 09 2016 01: +0,1.597,85
Apr 10 2016 01: +0,1.681,62
Apr 11 2016 01: +0,1.631,76
