Dec 09 2015 01: +0,2.153,213
Dec 10 2015 01: +0,1.4,224
Dec 11 2015 01: +0,1.349,184
Dec 12 2015 01: +0,1.291,248
Dec 13 2015 01: +0,1.336,222
Dec 14 2015 01: +0,1.304,189
Dec 15 2015 01: +0,1.12,155
Dec 16 2015 01: +0,1.17,191
Dec 17 2015 01: +0,1.083,122
Dec 18 2015 01: +0,0.901,153
Dec 19 2015 01: +0,1.065,179
Dec 20 2015 01: +0,0.954,137
Dec 21 2015 01: +0,0.991,154
Dec 22 2015 01: +0,0.938,134
Dec 23 2015 01: +0,0.944,166
Dec 24 2015 01: +0,0.849,161
Dec 25 2015 01: +0,0.952,137
Dec 26 2015 01: +0,0.889,145
Dec 27 2015 01: +0,0.965,150
Dec 28 2015 01: +0,0.971,183
Dec 29 2015 01: +0,1.04,133
Dec 30 2015 01: +0,0.94,155
Dec 31 2015 01: +0,0.86,132
Jan 01 2016 01: +0,0.798,214
Jan 02 2016 01: +0,0.875,148
Jan 03 2016 01: +0,0.862,163
Jan 04 2016 01: +0,0.844,142
Jan 05 2016 01: +0,0.858,141
Jan 06 2016 01: +0,0.957,120
Jan 07 2016 01: +0,0.874,131
Jan 08 2016 01: +0,0.853,127
Jan 09 2016 01: +0,0.814,163
Jan 10 2016 01: +0,0.865,121
Jan 11 2016 01: +0,0.898,114
Jan 12 2016 01: +0,0.863,126
Jan 13 2016 01: +0,0.857,104
Jan 14 2016 01: +0,0.791,124
Jan 15 2016 01: +0,0.802,130
Jan 16 2016 01: +0,0.781,87
Jan 17 2016 01: +0,0.768,126
Jan 18 2016 01: +0,0.848,97
Jan 19 2016 01: +0,0.745,109
Jan 20 2016 01: +0,0.776,86
Jan 21 2016 01: +0,0.804,100
Jan 22 2016 01: +0,0.794,112
Jan 23 2016 01: +0,0.765,128
Jan 24 2016 01: +0,0.828,89
Jan 25 2016 01: +0,0.759,94
Jan 26 2016 01: +0,0.803,96
Jan 27 2016 01: +0,0.769,91
Jan 28 2016 01: +0,0.728,120
Jan 29 2016 01: +0,0.79,89
Jan 30 2016 01: +0,0.869,121
Jan 31 2016 01: +0,0.905,99
Feb 01 2016 01: +0,0.822,82
Feb 02 2016 01: +0,0.796,96
Feb 03 2016 01: +0,0.842,91
Feb 04 2016 01: +0,0.832,69
Feb 05 2016 01: +0,0.757,119
