Sep 15 2017 01: +0,5.468,2
Sep 16 2017 01: +0,2.947,2
Sep 17 2017 01: +0,4.529,4
Sep 18 2017 01: +0,2.842,2
Sep 19 2017 01: +0,3.693,5
Sep 20 2017 01: +0,3.229,2
Sep 21 2017 01: +0,2.704,8
Sep 22 2017 01: +0,2.735,3
Sep 23 2017 01: +0,2.498,4
Sep 24 2017 01: +0,4.798,1
Sep 25 2017 01: +0,3.032,7
Sep 26 2017 01: +0,2.313,3
Sep 27 2017 01: +0,2.91,3
Sep 28 2017 01: +0,2.272,3
Sep 29 2017 01: +0,2.601,8
Sep 30 2017 01: +0,2.691,8
Oct 01 2017 01: +0,2.256,6
Oct 02 2017 01: +0,2.443,4
Oct 03 2017 01: +0,2.468,5
Oct 04 2017 01: +0,2.343,5
Oct 05 2017 01: +0,2.473,4
Oct 06 2017 01: +0,1.995,1
Oct 07 2017 01: +0,2.448,13
Oct 08 2017 01: +0,2.148,8
Oct 09 2017 01: +0,2.186,8
Oct 10 2017 01: +0,2.31,3
Oct 11 2017 01: +0,2.006,5
Oct 12 2017 01: +0,2.215,7
Oct 13 2017 01: +0,2.07,6
Oct 14 2017 01: +0,2.003,6
Oct 15 2017 01: +0,1.865,3
Oct 16 2017 01: +0,1.868,5
Oct 17 2017 01: +0,1.817,8
Oct 18 2017 01: +0,1.918,5
Oct 19 2017 01: +0,2.005,9
Oct 20 2017 01: +0,2.066,8
Oct 21 2017 01: +0,2.438,8
Oct 22 2017 01: +0,1.75,4
Oct 23 2017 01: +0,1.856,4
Oct 24 2017 01: +0,2.039,6
Oct 25 2017 01: +0,2.084,7
Oct 26 2017 01: +0,1.757,9
Oct 27 2017 01: +0,2.053,9
Oct 28 2017 01: +0,1.659,3
Oct 29 2017 01: +0,2.074,6
Oct 30 2017 01: +0,1.75,2
Oct 31 2017 01: +0,1.923,5
Nov 01 2017 01: +0,1.612,7
Nov 02 2017 01: +0,1.851,2
Nov 03 2017 01: +0,1.986,5
Nov 04 2017 01: +0,1.741,4
Nov 05 2017 01: +0,1.933,5
Nov 06 2017 01: +0,1.783,6
Nov 07 2017 01: +0,1.894,6
Nov 08 2017 01: +0,2.033,2
Nov 09 2017 01: +0,1.549,10
Nov 10 2017 01: +0,2.207,7
Nov 11 2017 01: +0,2.427,8
Nov 12 2017 01: +0,2.321,5
Nov 13 2017 01: +0,2.038,4
Nov 14 2017 01: +0,1.83,3
Nov 15 2017 01: +0,2.35,1
Nov 16 2017 01: +0,2.058,4
Nov 18 2017 01: +0,2.005,6
Nov 19 2017 01: +0,1.967,7
Nov 20 2017 01: +0,1.832,11
Nov 21 2017 01: +0,2.377,5
Nov 22 2017 01: +0,2.521,5
Nov 23 2017 01: +0,2.63,3
Nov 24 2017 01: +0,2.789,1
Nov 25 2017 01: +0,2.304,5
Nov 26 2017 01: +0,2.316,2
Nov 27 2017 01: +0,2.095,2
Nov 28 2017 01: +0,2.502,1
Nov 29 2017 01: +0,1.948,5
Nov 30 2017 01: +0,1.88,11
Dec 01 2017 01: +0,1.945,7
Dec 02 2017 01: +0,1.902,11
Dec 03 2017 01: +0,2.011,3
Dec 04 2017 01: +0,1.882,5
Dec 05 2017 01: +0,1.797,6
Dec 06 2017 01: +0,2.035,9
Dec 07 2017 01: +0,1.964,3
Dec 08 2017 01: +0,1.631,6
Dec 09 2017 01: +0,1.827,9
Dec 10 2017 01: +0,1.455,6
Dec 11 2017 01: +0,1.734,6
Dec 12 2017 01: +0,1.796,8
Dec 13 2017 01: +0,1.661,7
Dec 14 2017 01: +0,1.697,3
Dec 15 2017 01: +0,1.39,5
Dec 16 2017 01: +0,1.243,9
Dec 17 2017 01: +0,1.509,8
Dec 18 2017 01: +0,1.489,5
Dec 19 2017 01: +0,1.506,5
Dec 20 2017 01: +0,1.545,6
Dec 21 2017 01: +0,1.574,5
Dec 22 2017 01: +0,1.396,6
Dec 23 2017 01: +0,1.62,14
Dec 24 2017 01: +0,1.846,5
Dec 25 2017 01: +0,1.634,11
Dec 26 2017 01: +0,2,1
Dec 27 2017 01: +0,1.564,6
Dec 28 2017 01: +0,1.878,5
Dec 29 2017 01: +0,1.599,4
Dec 30 2017 01: +0,1.586,12
Dec 31 2017 01: +0,1.501,4
Jan 01 2018 01: +0,1.561,6
Jan 02 2018 01: +0,1.539,6
Jan 03 2018 01: +0,1.424,5
Jan 04 2018 01: +0,1.632,6
Jan 05 2018 01: +0,1.289,6
Jan 06 2018 01: +0,1.436,15
Jan 07 2018 01: +0,1.714,8
Jan 08 2018 01: +0,1.917,6
Jan 09 2018 01: +0,1.442,4
Jan 10 2018 01: +0,1.448,6
Jan 11 2018 01: +0,1.603,5
Jan 12 2018 01: +0,1.666,6
Jan 13 2018 01: +0,1.671,8
Jan 14 2018 01: +0,1.488,6
Jan 15 2018 01: +0,1.471,5
Jan 16 2018 01: +0,1.535,7
Jan 17 2018 01: +0,1.116,4
Jan 18 2018 01: +0,1.421,7
Jan 19 2018 01: +0,1.373,4
Jan 20 2018 01: +0,1.222,10
Jan 21 2018 01: +0,1.251,9
Jan 22 2018 01: +0,1.269,6
Jan 23 2018 01: +0,1.277,12
Jan 24 2018 01: +0,1.209,6
Jan 25 2018 01: +0,1.229,11
Jan 26 2018 01: +0,1.045,8
Jan 27 2018 01: +0,1.251,13
Jan 28 2018 01: +0,1.243,10
Jan 29 2018 01: +0,1.134,5
Jan 30 2018 01: +0,1.225,12
Jan 31 2018 01: +0,1.251,17
Feb 01 2018 01: +0,1.331,11
Feb 02 2018 01: +0,1.421,6
Feb 03 2018 01: +0,1.422,10
Feb 04 2018 01: +0,1.416,7
Feb 05 2018 01: +0,1.429,12
Feb 06 2018 01: +0,1.685,7
Feb 07 2018 01: +0,1.42,4
Feb 08 2018 01: +0,1.945,3
Feb 09 2018 01: +0,1.458,12
Feb 10 2018 01: +0,1.47,12
Feb 11 2018 01: +0,1.462,8
Feb 12 2018 01: +0,1.511,7
Feb 13 2018 01: +0,1.594,3
Feb 14 2018 01: +0,1.35,7
Feb 15 2018 01: +0,1.441,7
Feb 16 2018 01: +0,1.349,7
Feb 17 2018 01: +0,1.285,6
Feb 18 2018 01: +0,1.202,10
Feb 19 2018 01: +0,1.191,3
Feb 20 2018 01: +0,1.107,8
Feb 21 2018 01: +0,1.13,10
Feb 22 2018 01: +0,1.08,10
Feb 23 2018 01: +0,1.183,6
Feb 24 2018 01: +0,1.114,12
Feb 25 2018 01: +0,1.152,10
Feb 26 2018 01: +0,1.174,18
Feb 27 2018 01: +0,1.206,11
Feb 28 2018 01: +0,1.106,9
Mar 01 2018 08: +0,1.054,1
Mar 01 2018 09: +0,1.074,1
Mar 01 2018 10: +0,1.068,2
Mar 01 2018 11: +0,1.067,2
Mar 01 2018 14: +0,1.071,2
Mar 01 2018 18: +0,1.063,1
Mar 01 2018 20: +0,1.058,1
Mar 01 2018 23: +0,1.004,2
Mar 02 2018 03: +0,1.06,1
Mar 02 2018 04: +0,1.05,1
Mar 02 2018 05: +0,1.064,2
Mar 02 2018 08: +0,0.994,2
Mar 02 2018 13: +0,1.062,1
Mar 02 2018 14: +0,1.06,1
Mar 02 2018 15: +0,1.046,1
Mar 02 2018 17: +0,1.062,1
Mar 02 2018 18: +0,0.89,1
Mar 02 2018 20: +0,0.88,1
Mar 02 2018 23: +0,1.111,2
Mar 03 2018 00: +0,1.059,4
Mar 03 2018 01: +0,0.776,1
Mar 03 2018 09: +0,1.057,1
Mar 03 2018 12: +0,1.034,1
Mar 03 2018 14: +0,1.034,1
Mar 03 2018 15: +0,1.042,1
Mar 03 2018 17: +0,1.046,1
Mar 03 2018 18: +0,1.021,1
Mar 03 2018 19: +0,1.046,1
Mar 03 2018 20: +0,1.058,11
Mar 03 2018 21: +0,0.935,2
Mar 03 2018 22: +0,1.042,2
Mar 04 2018 10: +0,1.117,1
Mar 04 2018 13: +0,0.984,1
Mar 04 2018 16: +0,1.095,1
Mar 04 2018 18: +0,1.079,2
Mar 04 2018 19: +0,1.122,1
Mar 04 2018 20: +0,1.122,1
Mar 04 2018 21: +0,0.923,1
Mar 05 2018 00: +0,1.089,2
Mar 05 2018 09: +0,1.187,7
Mar 05 2018 10: +0,1.299,1
Mar 05 2018 12: +0,1.274,1
Mar 05 2018 14: +0,1.275,1
Mar 05 2018 15: +0,1.274,1
Mar 05 2018 18: +0,1.28,1
Mar 05 2018 20: +0,1.28,1
Mar 05 2018 21: +0,1.296,1
Mar 06 2018 15: +0,1.009,1
Mar 06 2018 18: +0,0.868,1
Mar 06 2018 19: +0,1.192,2
Mar 06 2018 20: +0,1.194,1
Mar 06 2018 21: +0,1.198,2
Mar 07 2018 10: +0,1.216,1
Mar 07 2018 16: +0,1.213,1
Mar 07 2018 18: +0,1.027,1
Mar 07 2018 19: +0,1.394,1
Mar 07 2018 21: +0,1.25,1
Mar 07 2018 23: +0,1.41,1
Mar 08 2018 05: +0,1.392,1
Mar 08 2018 12: +0,1.426,1
Mar 09 2018 00: +0,1.237,1
Mar 09 2018 03: +0,1.24,1
Mar 09 2018 10: +0,1.236,2
Mar 09 2018 15: +0,1.237,1
Mar 09 2018 17: +0,1.115,1
Mar 09 2018 20: +0,1.237,2
Mar 10 2018 07: +0,1.051,1
Mar 10 2018 10: +0,1.229,1
Mar 10 2018 11: +0,1.23,1
Mar 10 2018 15: +0,1.227,1
Mar 10 2018 18: +0,1,1
Mar 10 2018 22: +0,1.223,2
Mar 11 2018 00: +0,2.003,1
Mar 11 2018 04: +0,0.897,1
Mar 11 2018 06: +0,1.149,1
Mar 11 2018 14: +0,1.097,2
Mar 11 2018 15: +0,1.229,1
Mar 11 2018 16: +0,1.23,2
Mar 11 2018 17: +0,1.266,1
Mar 12 2018 18: +0,1.192,1
Mar 12 2018 23: +0,1.197,1
Mar 13 2018 00: +0,1.192,1
Mar 13 2018 02: +0,1.191,1
Mar 13 2018 12: +0,1.012,3
Mar 13 2018 13: +0,1.046,3
Mar 13 2018 16: +0,1.045,2
Mar 13 2018 17: +0,1.046,1
Mar 13 2018 18: +0,1.046,1
Mar 13 2018 19: +0,1.045,1
Mar 13 2018 20: +0,1.032,1
Mar 13 2018 23: +0,0.96,1
Mar 14 2018 02: +0,1.042,10
Mar 14 2018 03: +0,1.046,1
Mar 14 2018 11: +0,0.755,1
Mar 14 2018 15: +0,1.036,1
Mar 14 2018 16: +0,1.035,6
Mar 14 2018 20: +0,1.034,2
Mar 14 2018 21: +0,1.038,1
Mar 15 2018 10: +0,1.104,1
Mar 15 2018 15: +0,1.037,1
Mar 15 2018 17: +0,1.061,2
Mar 15 2018 18: +0,1.088,1
Mar 15 2018 20: +0,1.087,1
Mar 16 2018 02: +0,1.09,1
Mar 16 2018 04: +0,1.1,1
Mar 16 2018 09: +0,1.09,1
Mar 16 2018 12: +0,0.914,2
Mar 16 2018 14: +0,1.092,1
Mar 16 2018 15: +0,1.092,1
Mar 16 2018 16: +0,0.986,1
Mar 16 2018 17: +0,0.989,1
Mar 17 2018 00: +0,1.081,2
Mar 17 2018 03: +0,1.099,1
Mar 17 2018 08: +0,1.116,1
Mar 17 2018 10: +0,1.138,1
Mar 17 2018 15: +0,1.057,1
Mar 17 2018 16: +0,1.182,1
Mar 17 2018 17: +0,1.046,1
Mar 17 2018 20: +0,1.005,2
Mar 17 2018 22: +0,1.352,1
Mar 18 2018 08: +0,1.352,1
Mar 18 2018 11: +0,1.317,1
Mar 18 2018 12: +0,1.021,1
Mar 18 2018 18: +0,1.134,2
Mar 18 2018 19: +0,0.282,1
Mar 18 2018 20: +0,1.167,2
Mar 18 2018 23: +0,1.2,1
Mar 19 2018 08: +0,1.093,1
Mar 19 2018 10: +0,1.093,1
Mar 19 2018 14: +0,1.093,1
Mar 19 2018 17: +0,0.805,1
Mar 19 2018 18: +0,1.099,2
Mar 20 2018 07: +0,0.89,1
Mar 20 2018 14: +0,1.017,1
Mar 20 2018 16: +0,0.993,1
Mar 20 2018 18: +0,0.982,2
Mar 20 2018 21: +0,0.896,2
Mar 21 2018 01: +0,1.007,1
Mar 21 2018 08: +0,1.012,1
Mar 21 2018 11: +0,1.526,1
Mar 21 2018 12: +0,1.006,1
Mar 21 2018 13: +0,1.012,1
Mar 21 2018 14: +0,1.01,1
Mar 21 2018 15: +0,1.015,2
Mar 21 2018 17: +0,0.995,2
Mar 21 2018 18: +0,1.069,1
Mar 21 2018 21: +0,1.252,2
Mar 22 2018 00: +0,0.88,3
Mar 22 2018 07: +0,1.062,1
Mar 22 2018 09: +0,0.933,1
Mar 22 2018 14: +0,1.062,1
Mar 22 2018 17: +0,0.982,1
Mar 22 2018 20: +0,1.061,3
Mar 23 2018 01: +0,1.106,6
Mar 23 2018 07: +0,1.24,1
Mar 23 2018 15: +0,1.041,4
Mar 23 2018 16: +0,1.144,1
Mar 23 2018 19: +0,1.144,1
Mar 23 2018 22: +0,1.208,10
Mar 24 2018 15: +0,1.362,2
Mar 24 2018 18: +0,1.12,1
Mar 24 2018 20: +0,1.115,1
Mar 24 2018 23: +0,1.284,1
Mar 25 2018 00: +0,1.29,1
Mar 25 2018 05: +0,1.35,1
Mar 25 2018 12: +0,1.208,1
Mar 25 2018 13: +0,1.208,1
Mar 25 2018 15: +0,0.99,1
Mar 25 2018 21: +0,1.183,1
Mar 26 2018 11: +0,1.12,1
Mar 26 2018 15: +0,1.12,1
Mar 26 2018 16: +0,1.146,1
Mar 26 2018 17: +0,1.146,1
Mar 27 2018 02: +0,0.92,1
Mar 27 2018 07: +0,1.086,1
Mar 27 2018 09: +0,0.919,1
Mar 27 2018 11: +0,0.751,2
Mar 27 2018 14: +0,0.995,2
Mar 27 2018 15: +0,0.999,1
Mar 27 2018 16: +0,0.993,1
Mar 27 2018 20: +0,1.03,1
Mar 27 2018 21: +0,1.029,1
Mar 27 2018 22: +0,0.916,2
Mar 28 2018 01: +0,1.076,1
Mar 28 2018 04: +0,1.082,1
Mar 28 2018 08: +0,1.086,1
Mar 28 2018 11: +0,1.076,1
Mar 28 2018 18: +0,1.092,1
Mar 29 2018 02: +0,1.001,1
Mar 29 2018 06: +0,1.093,1
Mar 29 2018 07: +0,0.842,2
Mar 29 2018 08: +0,1.094,1
Mar 29 2018 09: +0,1.093,1
Mar 29 2018 14: +0,1.074,1
Mar 29 2018 17: +0,1.097,1
Mar 29 2018 19: +0,1.098,1
Mar 30 2018 00: +0,1.031,1
Mar 30 2018 10: +0,1.104,1
Mar 30 2018 11: +0,1.119,1
Mar 30 2018 16: +0,1.158,1
