Aug 15 2013 01: +0,10.426,5
Aug 16 2013 01: +0,5.07,11
Aug 17 2013 01: +0,4.515,13
Aug 18 2013 01: +0,3.41,18
Aug 19 2013 01: +0,3.287,21
Aug 20 2013 01: +0,4.098,14
Aug 21 2013 01: +0,3.663,7
Aug 22 2013 01: +0,2.881,15
Aug 23 2013 01: +0,2.055,30
Aug 24 2013 01: +0,2.182,26
Aug 25 2013 01: +0,1.915,31
Aug 26 2013 01: +0,2.098,27
Aug 27 2013 01: +0,1.932,25
Aug 28 2013 01: +0,1.974,25
Aug 29 2013 01: +0,1.898,22
Aug 30 2013 01: +0,1.974,15
Aug 31 2013 01: +0,1.83,32
Sep 01 2013 01: +0,1.806,23
Sep 02 2013 01: +0,1.791,27
Sep 03 2013 01: +0,1.593,30
Sep 04 2013 01: +0,1.606,22
Sep 05 2013 01: +0,1.443,19
Sep 06 2013 01: +0,1.38,37
Sep 07 2013 01: +0,1.256,45
Sep 08 2013 01: +0,1.245,40
Sep 09 2013 01: +0,1.307,38
Sep 10 2013 01: +0,1.252,31
Sep 11 2013 01: +0,1.271,25
Sep 12 2013 01: +0,1.397,21
Sep 13 2013 01: +0,1.291,56
Sep 14 2013 01: +0,1.237,44
Sep 15 2013 01: +0,1.228,40
Sep 16 2013 01: +0,1.041,30
Sep 17 2013 01: +0,1.141,36
Sep 18 2013 01: +0,1.133,29
Sep 19 2013 01: +0,1.121,33
Sep 20 2013 01: +0,0.923,40
Sep 21 2013 01: +0,0.922,45
Sep 22 2013 01: +0,0.797,45
Sep 23 2013 01: +0,0.783,49
Sep 24 2013 01: +0,0.815,29
Sep 25 2013 01: +0,0.75,36
Sep 26 2013 01: +0,0.73,32
Sep 27 2013 01: +0,0.741,45
Sep 28 2013 01: +0,0.714,52
Sep 29 2013 01: +0,0.66,35
Sep 30 2013 01: +0,0.691,31
Oct 01 2013 01: +0,0.709,36
Oct 02 2013 01: +0,0.672,19
Oct 03 2013 01: +0,0.667,46
Oct 04 2013 01: +0,0.622,59
Oct 05 2013 01: +0,0.631,50
Oct 06 2013 01: +0,0.652,30
Oct 07 2013 01: +0,0.561,42
Oct 08 2013 01: +0,0.562,41
Oct 09 2013 01: +0,0.572,30
Oct 10 2013 01: +0,0.578,55
Oct 11 2013 01: +0,0.55,44
Oct 12 2013 01: +0,0.529,45
Oct 13 2013 01: +0,0.55,44
Oct 14 2013 01: +0,0.526,31
Oct 15 2013 01: +0,0.505,41
Oct 16 2013 01: +0,0.464,55
Oct 17 2013 01: +0,0.48,38
Oct 18 2013 01: +0,0.521,26
Oct 19 2013 01: +0,0.51,49
Oct 20 2013 01: +0,0.633,57
Oct 21 2013 01: +0,0.628,31
Oct 22 2013 01: +0,0.523,49
Oct 23 2013 01: +0,0.6,38
Oct 24 2013 01: +0,0.587,23
Oct 25 2013 01: +0,0.533,41
Oct 26 2013 01: +0,0.563,31
Oct 27 2013 01: +0,0.505,51
Oct 28 2013 01: +0,0.497,45
Oct 29 2013 01: +0,0.492,49
Oct 30 2013 01: +0,0.395,38
Oct 31 2013 01: +0,0.404,100
Nov 01 2013 01: +0,0.471,36
Nov 02 2013 01: +0,0.423,26
Nov 03 2013 01: +0,0.407,48
Nov 04 2013 01: +0,0.39,55
Nov 05 2013 01: +0,0.389,31
Nov 06 2013 01: +0,0.39,47
Nov 07 2013 01: +0,0.443,36
Nov 08 2013 01: +0,0.442,37
Nov 09 2013 01: +0,0.456,48
Nov 10 2013 01: +0,0.437,35
Nov 11 2013 01: +0,0.395,26
