Jul 02 2014 01: +0,1.242,67
Jul 03 2014 01: +0,1.389,68
Jul 04 2014 01: +0,1.767,46
Jul 05 2014 01: +0,1.713,45
Jul 06 2014 01: +0,1.862,43
Jul 07 2014 01: +0,2.195,28
Jul 08 2014 01: +0,2.346,25
Jul 09 2014 01: +0,2.026,59
Jul 10 2014 01: +0,1.441,57
Jul 11 2014 01: +0,1.236,57
Jul 12 2014 01: +0,1.29,50
Jul 13 2014 01: +0,1.216,63
Jul 14 2014 01: +0,1.267,47
Jul 15 2014 01: +0,1.185,57
Jul 16 2014 01: +0,1.078,52
Jul 17 2014 01: +0,0.971,51
Jul 18 2014 01: +0,0.881,65
Jul 19 2014 01: +0,0.861,67
Jul 20 2014 01: +0,0.85,55
Jul 21 2014 01: +0,0.923,54
Jul 22 2014 01: +0,0.884,52
Jul 23 2014 01: +0,0.886,61
Jul 24 2014 01: +0,0.858,48
Jul 25 2014 01: +0,0.812,70
Jul 26 2014 01: +0,0.797,77
Jul 27 2014 01: +0,0.869,84
Jul 28 2014 01: +0,0.876,59
Jul 29 2014 01: +0,0.88,59
Jul 30 2014 01: +0,0.881,68
Jul 31 2014 01: +0,0.87,64
Aug 01 2014 01: +0,0.799,69
Aug 02 2014 01: +0,0.768,70
Aug 03 2014 01: +0,0.727,78
Aug 04 2014 01: +0,0.687,98
Aug 05 2014 01: +0,0.586,77
Aug 06 2014 01: +0,0.576,86
Aug 07 2014 01: +0,0.647,74
Aug 08 2014 01: +0,0.707,70
Aug 09 2014 01: +0,0.663,64
Aug 10 2014 01: +0,0.649,92
Aug 11 2014 01: +0,0.634,72
Aug 12 2014 01: +0,0.608,84
Aug 13 2014 01: +0,0.571,81
Aug 14 2014 01: +0,0.596,85
Aug 15 2014 01: +0,0.553,102
Aug 16 2014 01: +0,0.555,105
Aug 17 2014 01: +0,0.454,116
Aug 18 2014 01: +0,0.447,85
Aug 19 2014 01: +0,0.514,107
Aug 20 2014 01: +0,0.596,81
Aug 21 2014 01: +0,0.604,91
Aug 22 2014 01: +0,0.563,92
Aug 23 2014 01: +0,0.535,112
Aug 24 2014 01: +0,0.566,108
Aug 25 2014 01: +0,0.542,92
Aug 26 2014 01: +0,0.539,93
Aug 27 2014 01: +0,0.526,109
Aug 28 2014 01: +0,0.578,68
Aug 29 2014 01: +0,0.529,108
Aug 30 2014 01: +0,0.526,112
Aug 31 2014 01: +0,0.534,118
Sep 01 2014 01: +0,0.559,114
Sep 02 2014 01: +0,0.553,85
Sep 03 2014 01: +0,0.509,118
Sep 04 2014 01: +0,0.513,90
Sep 05 2014 01: +0,0.492,101
Sep 06 2014 01: +0,0.514,117
Sep 07 2014 01: +0,0.508,142
Sep 08 2014 01: +0,0.533,112
Sep 09 2014 01: +0,0.503,87
Sep 10 2014 01: +0,0.504,102
Sep 11 2014 01: +0,0.426,120
Sep 12 2014 01: +0,0.391,164
Sep 13 2014 01: +0,0.367,185
Sep 14 2014 01: +0,0.381,157
Sep 15 2014 01: +0,0.38,125
Sep 16 2014 01: +0,0.38,136
Sep 17 2014 01: +0,0.371,133
Sep 18 2014 01: +0,0.356,115
Sep 19 2014 01: +0,0.337,176
Sep 20 2014 01: +0,0.331,167
Sep 21 2014 01: +0,0.354,148
Sep 22 2014 01: +0,0.326,153
Sep 23 2014 01: +0,0.334,121
Sep 24 2014 01: +0,0.329,131
Sep 25 2014 01: +0,0.322,118
Sep 26 2014 01: +0,0.316,145
Sep 27 2014 01: +0,0.29,199
Sep 28 2014 01: +0,0.321,181
Sep 29 2014 01: +0,0.287,147
Sep 30 2014 01: +0,0.279,136
Oct 01 2014 01: +0,0.322,178
Oct 02 2014 01: +0,0.311,160
Oct 03 2014 01: +0,0.321,153
Oct 04 2014 01: +0,0.327,177
Oct 05 2014 01: +0,0.341,180
Oct 06 2014 01: +0,0.32,162
Oct 07 2014 01: +0,0.336,137
Oct 08 2014 01: +0,0.312,169
Oct 09 2014 01: +0,0.329,148
Oct 10 2014 01: +0,0.292,181
Oct 11 2014 01: +0,0.309,203
Oct 12 2014 01: +0,0.348,176
Oct 13 2014 01: +0,0.318,171
Oct 14 2014 01: +0,0.333,158
Oct 15 2014 01: +0,0.302,146
Oct 16 2014 01: +0,0.293,147
Oct 17 2014 01: +0,0.294,181
Oct 18 2014 01: +0,0.302,193
Oct 19 2014 01: +0,0.308,154
Oct 20 2014 01: +0,0.304,147
Oct 21 2014 01: +0,0.321,109
Oct 22 2014 01: +0,0.308,115
Oct 23 2014 01: +0,0.309,144
Oct 24 2014 01: +0,0.294,181
Oct 25 2014 01: +0,0.318,211
Oct 26 2014 01: +0,0.264,218
Oct 27 2014 01: +0,0.278,164
Oct 28 2014 01: +0,0.297,158
Oct 29 2014 01: +0,0.292,165
Oct 30 2014 01: +0,0.371,148
Oct 31 2014 01: +0,0.234,184
Nov 01 2014 01: +0,0.247,240
Nov 02 2014 01: +0,0.257,241
Nov 03 2014 01: +0,0.26,167
Nov 04 2014 01: +0,0.271,155
Nov 05 2014 01: +0,0.269,170
Nov 06 2014 01: +0,0.257,147
Nov 07 2014 01: +0,0.273,179
Nov 08 2014 01: +0,0.27,215
Nov 09 2014 01: +0,0.269,203
Nov 10 2014 01: +0,0.267,144
Nov 11 2014 01: +0,0.256,152
Nov 12 2014 01: +0,0.152,197
Nov 13 2014 01: +0,0.159,161
Nov 14 2014 01: +0,0.181,158
Nov 15 2014 01: +0,0.205,190
Nov 16 2014 01: +0,0.205,169
Nov 17 2014 01: +0,0.202,158
Nov 18 2014 01: +0,0.218,148
Nov 19 2014 01: +0,0.214,146
Nov 20 2014 01: +0,0.223,124
Nov 21 2014 01: +0,0.189,162
Nov 22 2014 01: +0,0.176,180
Nov 23 2014 01: +0,0.182,172
Nov 24 2014 01: +0,0.178,148
Nov 25 2014 01: +0,0.223,117
Nov 26 2014 01: +0,0.205,150
Nov 27 2014 01: +0,0.188,138
Nov 28 2014 01: +0,0.188,170
Nov 29 2014 01: +0,0.375,42
Nov 30 2014 01: +0,0.225,262
Dec 01 2014 01: +0,0.178,198
Dec 02 2014 01: +0,0.208,165
Dec 03 2014 01: +0,0.254,142
Dec 04 2014 01: +0,0.27,129
Dec 05 2014 01: +0,0.283,172
Dec 06 2014 01: +0,0.289,230
Dec 07 2014 01: +0,0.261,248
Dec 08 2014 01: +0,0.265,205
Dec 09 2014 01: +0,0.255,182
Dec 10 2014 01: +0,0.247,178
Dec 11 2014 01: +0,0.259,180
Dec 12 2014 01: +0,0.231,220
Dec 13 2014 01: +0,0.254,265
Dec 14 2014 01: +0,0.261,242
Dec 15 2014 01: +0,0.251,221
Dec 16 2014 01: +0,0.238,197
Dec 17 2014 01: +0,0.24,204
Dec 18 2014 01: +0,0.227,187
Dec 19 2014 01: +0,0.228,220
Dec 20 2014 01: +0,0.214,237
Dec 21 2014 01: +0,0.219,229
Dec 22 2014 01: +0,0.222,237
Dec 23 2014 01: +0,0.237,207
Dec 24 2014 01: +0,0.22,210
Dec 25 2014 01: +0,0.237,234
Dec 26 2014 01: +0,0.24,285
Dec 27 2014 01: +0,0.26,314
Dec 28 2014 01: +0,0.286,263
Dec 29 2014 01: +0,0.271,281
Dec 30 2014 01: +0,0.261,310
Dec 31 2014 01: +0,0.277,273
Jan 01 2015 01: +0,0.26,263
Jan 02 2015 01: +0,0.252,335
Jan 03 2015 01: +0,0.276,334
Jan 04 2015 01: +0,0.273,336
Jan 05 2015 01: +0,0.27,316
Jan 06 2015 01: +0,0.282,292
Jan 07 2015 01: +0,0.286,219
Jan 08 2015 01: +0,0.283,272
Jan 09 2015 01: +0,0.258,334
Jan 10 2015 01: +0,0.263,360
Jan 11 2015 01: +0,0.264,368
Jan 12 2015 01: +0,0.261,328
Jan 13 2015 01: +0,0.255,333
Jan 14 2015 01: +0,0.257,333
Jan 15 2015 01: +0,0.263,348
Jan 16 2015 01: +0,0.25,374
Jan 17 2015 01: +0,0.251,377
Jan 18 2015 01: +0,0.269,418
Jan 19 2015 01: +0,0.264,321
Jan 20 2015 01: +0,0.265,326
Jan 21 2015 01: +0,0.262,337
Jan 22 2015 01: +0,0.261,331
Jan 23 2015 01: +0,0.276,342
Jan 24 2015 01: +0,0.282,406
Jan 25 2015 01: +0,0.259,470
Jan 26 2015 01: +0,0.258,376
Jan 27 2015 01: +0,0.258,352
Jan 28 2015 01: +0,0.265,331
Jan 29 2015 01: +0,0.255,334
Jan 30 2015 01: +0,0.248,376
Jan 31 2015 01: +0,0.262,465
Feb 01 2015 01: +0,0.252,454
Feb 02 2015 01: +0,0.252,353
Feb 03 2015 01: +0,0.259,343
Feb 04 2015 01: +0,0.25,339
Feb 05 2015 01: +0,0.243,359
Feb 06 2015 01: +0,0.249,392
Feb 07 2015 01: +0,0.256,430
Feb 08 2015 01: +0,0.245,428
Feb 09 2015 01: +0,0.258,338
Feb 10 2015 01: +0,0.245,288
Feb 11 2015 01: +0,0.247,348
Feb 12 2015 01: +0,0.243,331
Feb 13 2015 01: +0,0.245,377
Feb 14 2015 01: +0,0.26,484
Feb 15 2015 01: +0,0.266,486
Feb 16 2015 01: +0,0.259,450
Feb 17 2015 01: +0,0.24,324
Feb 18 2015 01: +0,0.244,339
Feb 19 2015 01: +0,0.244,336
Feb 20 2015 01: +0,0.245,400
Feb 21 2015 01: +0,0.268,394
Feb 22 2015 01: +0,0.276,354
Feb 23 2015 01: +0,0.265,352
Feb 24 2015 01: +0,0.267,340
Feb 25 2015 01: +0,0.255,326
Feb 26 2015 01: +0,0.26,311
Feb 27 2015 01: +0,0.229,441
Feb 28 2015 01: +0,0.239,424
Mar 01 2015 01: +0,0.236,429
Mar 02 2015 01: +0,0.229,378
Mar 03 2015 01: +0,0.237,334
Mar 04 2015 01: +0,0.231,323
