Aug 15 2013 01: +0,9.644,2
Aug 16 2013 01: +0,3.879,6
Aug 17 2013 01: +0,6.98,5
Aug 18 2013 01: +0,5.356,7
Aug 19 2013 01: +0,7.865,1
Aug 21 2013 01: +0,5.796,2
Aug 22 2013 01: +0,4.675,4
Aug 23 2013 01: +0,4.134,6
Aug 24 2013 01: +0,3.696,6
Aug 25 2013 01: +0,4.257,12
Aug 26 2013 01: +0,4.042,6
Aug 27 2013 01: +0,3.979,7
Aug 28 2013 01: +0,3.613,6
Aug 29 2013 01: +0,3.822,5
Aug 30 2013 01: +0,4.261,5
Aug 31 2013 01: +0,3.813,8
Sep 01 2013 01: +0,3.874,12
Sep 02 2013 01: +0,4.239,6
Sep 03 2013 01: +0,4.161,6
Sep 04 2013 01: +0,4.161,6
Sep 05 2013 01: +0,3.904,7
Sep 06 2013 01: +0,3.311,2
Sep 07 2013 01: +0,3.162,8
Sep 08 2013 01: +0,3.289,17
Sep 09 2013 01: +0,3.763,4
Sep 10 2013 01: +0,3.498,5
Sep 11 2013 01: +0,2.963,11
Sep 12 2013 01: +0,3.444,6
Sep 13 2013 01: +0,3.335,4
Sep 14 2013 01: +0,3.787,8
Sep 15 2013 01: +0,3.393,4
Sep 16 2013 01: +0,3.028,8
Sep 17 2013 01: +0,2.871,5
Sep 18 2013 01: +0,2.865,8
Sep 19 2013 01: +0,2.112,5
Sep 20 2013 01: +0,2.471,10
Sep 21 2013 01: +0,2.652,8
Sep 22 2013 01: +0,2.02,7
Sep 23 2013 01: +0,2.147,7
Sep 24 2013 01: +0,2.405,7
Sep 25 2013 01: +0,2.455,3
Sep 26 2013 01: +0,2.538,2
Sep 27 2013 01: +0,2.274,9
Sep 28 2013 01: +0,2.528,7
Sep 29 2013 01: +0,2.67,11
Sep 30 2013 01: +0,3.036,3
Oct 01 2013 01: +0,2.516,4
Oct 02 2013 01: +0,2.205,2
Oct 03 2013 01: +0,2.24,10
Oct 04 2013 01: +0,2.352,13
Oct 05 2013 01: +0,2.616,4
Oct 06 2013 01: +0,1.95,4
Oct 07 2013 01: +0,2.573,4
Oct 08 2013 01: +0,2.635,2
Oct 09 2013 01: +0,2.325,5
Oct 10 2013 01: +0,1.835,6
Oct 11 2013 01: +0,1.776,8
