Mar 16 2017 01: +0,0.948,66
Mar 17 2017 01: +0,0.821,85
Mar 18 2017 01: +0,0.656,93
Mar 19 2017 01: +0,0.496,122
Mar 20 2017 01: +0,0.529,70
Mar 21 2017 01: +0,0.49,74
Mar 22 2017 01: +0,0.547,61
Mar 23 2017 01: +0,0.554,89
Mar 24 2017 01: +0,0.48,68
Mar 25 2017 01: +0,0.433,90
Mar 26 2017 01: +0,0.404,104
Mar 27 2017 01: +0,0.367,67
Mar 28 2017 01: +0,0.373,130
Mar 29 2017 01: +0,0.385,90
Mar 30 2017 01: +0,0.372,73
Mar 31 2017 01: +0,0.443,64
Apr 01 2017 01: +0,0.381,74
Apr 02 2017 01: +0,0.391,115
Apr 03 2017 01: +0,0.374,79
Apr 04 2017 01: +0,0.373,79
Apr 05 2017 01: +0,0.334,60
Apr 06 2017 01: +0,0.348,107
Apr 07 2017 01: +0,0.323,104
Apr 08 2017 01: +0,0.334,110
Apr 09 2017 01: +0,0.306,56
Apr 10 2017 01: +0,0.29,121
Apr 11 2017 01: +0,0.294,79
Apr 12 2017 01: +0,0.3,90
Apr 13 2017 01: +0,0.275,72
Apr 14 2017 01: +0,0.279,104
Apr 15 2017 01: +0,0.28,104
Apr 16 2017 01: +0,0.272,70
Apr 17 2017 01: +0,0.279,64
Apr 18 2017 01: +0,0.275,60
Apr 19 2017 01: +0,0.28,88
Apr 20 2017 01: +0,0.289,109
Apr 21 2017 01: +0,0.292,87
Apr 22 2017 01: +0,0.302,101
Apr 23 2017 01: +0,0.289,125
Apr 24 2017 01: +0,0.271,71
Apr 25 2017 01: +0,0.276,51
Apr 26 2017 01: +0,0.261,72
Apr 27 2017 01: +0,0.244,63
Apr 28 2017 01: +0,0.251,77
Apr 29 2017 01: +0,0.255,110
Apr 30 2017 01: +0,0.274,75
May 01 2017 01: +0,0.258,92
May 02 2017 01: +0,0.247,108
May 03 2017 01: +0,0.254,80
May 04 2017 01: +0,0.265,116
May 05 2017 01: +0,0.267,87
May 06 2017 01: +0,0.265,115
May 07 2017 01: +0,0.259,94
May 08 2017 01: +0,0.269,151
May 09 2017 01: +0,0.27,66
May 10 2017 01: +0,0.264,105
May 11 2017 01: +0,0.278,72
May 12 2017 01: +0,0.272,108
May 13 2017 01: +0,0.246,78
May 14 2017 01: +0,0.268,111
May 15 2017 01: +0,0.244,102
May 16 2017 01: +0,0.255,58
May 17 2017 01: +0,0.254,54
May 18 2017 01: +0,0.255,88
May 19 2017 01: +0,0.243,81
May 20 2017 01: +0,0.248,79
May 21 2017 01: +0,0.236,80
May 22 2017 01: +0,0.228,58
May 23 2017 01: +0,0.241,63
May 24 2017 01: +0,0.364,92
May 25 2017 01: +0,0.205,107
May 26 2017 01: +0,0.202,105
May 27 2017 01: +0,0.211,88
May 28 2017 01: +0,0.228,106
May 29 2017 01: +0,0.233,131
May 30 2017 01: +0,0.224,88
May 31 2017 01: +0,0.216,90
Jun 01 2017 01: +0,0.217,93
Jun 02 2017 01: +0,0.212,99
Jun 03 2017 01: +0,0.211,84
Jun 04 2017 01: +0,0.221,138
Jun 05 2017 01: +0,0.209,107
Jun 06 2017 01: +0,0.216,119
Jun 07 2017 01: +0,0.219,100
Jun 08 2017 01: +0,0.221,99
Jun 09 2017 01: +0,0.215,57
Jun 10 2017 01: +0,0.221,102
Jun 11 2017 01: +0,0.211,94
Jun 12 2017 01: +0,0.217,69
Jun 13 2017 01: +0,0.214,82
Jun 14 2017 01: +0,0.205,126
Jun 15 2017 01: +0,0.212,70
Jun 16 2017 01: +0,0.204,77
Jun 17 2017 01: +0,0.207,115
Jun 18 2017 01: +0,0.209,59
Jun 19 2017 01: +0,0.208,93
Jun 20 2017 01: +0,0.212,101
Jun 21 2017 01: +0,0.208,88
Jun 22 2017 01: +0,0.191,102
Jun 23 2017 01: +0,0.172,84
Jun 24 2017 01: +0,0.177,39
Jun 25 2017 01: +0,0.174,100
Jun 26 2017 01: +0,0.173,84
Jun 27 2017 01: +0,0.169,107
Jun 28 2017 01: +0,0.173,92
Jun 29 2017 01: +0,0.18,112
Jun 30 2017 01: +0,0.187,118
Jul 01 2017 01: +0,0.196,91
Jul 02 2017 01: +0,0.187,157
Jul 03 2017 01: +0,0.196,73
Jul 04 2017 01: +0,0.185,76
Jul 05 2017 01: +0,0.188,94
Jul 06 2017 01: +0,0.191,61
Jul 07 2017 01: +0,0.201,101
Jul 08 2017 01: +0,0.191,71
Jul 09 2017 01: +0,0.207,75
Jul 10 2017 01: +0,0.201,113
Jul 11 2017 01: +0,0.185,58
Jul 12 2017 01: +0,0.203,116
Jul 13 2017 01: +0,0.202,64
Jul 14 2017 01: +0,0.203,77
Jul 15 2017 01: +0,0.208,86
Jul 16 2017 01: +0,0.21,132
Jul 17 2017 01: +0,0.2,95
Jul 18 2017 01: +0,0.21,69
Jul 19 2017 01: +0,0.207,82
Jul 20 2017 01: +0,0.205,87
Jul 21 2017 01: +0,0.21,95
Jul 22 2017 01: +0,0.21,119
Jul 23 2017 01: +0,0.207,110
Jul 24 2017 01: +0,0.215,84
Jul 25 2017 01: +0,0.218,127
Jul 26 2017 01: +0,0.2,92
Jul 27 2017 01: +0,0.209,73
Jul 28 2017 01: +0,0.226,139
Jul 29 2017 01: +0,0.22,57
Jul 30 2017 01: +0,0.216,94
Jul 31 2017 01: +0,0.215,85
Aug 01 2017 01: +0,0.219,95
Aug 02 2017 01: +0,0.229,148
Aug 03 2017 01: +0,0.223,96
Aug 04 2017 01: +0,0.236,98
Aug 05 2017 01: +0,0.229,117
Aug 06 2017 01: +0,0.229,92
Aug 07 2017 01: +0,0.232,161
Aug 08 2017 01: +0,0.229,113
Aug 09 2017 01: +0,0.234,112
Aug 10 2017 01: +0,0.224,93
Aug 11 2017 01: +0,0.223,98
Aug 12 2017 01: +0,0.213,78
Aug 13 2017 01: +0,0.241,98
Aug 14 2017 01: +0,0.225,95
Aug 15 2017 01: +0,0.221,63
Aug 16 2017 01: +0,0.219,98
Aug 17 2017 01: +0,0.225,100
Aug 18 2017 01: +0,0.223,118
Aug 19 2017 01: +0,0.219,90
Aug 20 2017 01: +0,0.218,118
Aug 21 2017 01: +0,0.219,103
Aug 22 2017 01: +0,0.209,91
Aug 23 2017 01: +0,0.214,75
Aug 24 2017 01: +0,0.21,85
Aug 25 2017 01: +0,0.215,113
Aug 26 2017 01: +0,0.216,102
Aug 27 2017 01: +0,0.21,86
Aug 28 2017 01: +0,0.213,65
Aug 29 2017 01: +0,0.21,67
Aug 30 2017 01: +0,0.209,91
Aug 31 2017 01: +0,0.21,82
Sep 01 2017 01: +0,0.216,112
Sep 02 2017 01: +0,0.221,102
Sep 03 2017 01: +0,0.218,67
Sep 04 2017 01: +0,0.213,91
Sep 05 2017 01: +0,0.219,67
Sep 06 2017 01: +0,0.218,103
Sep 07 2017 01: +0,0.216,105
Sep 08 2017 01: +0,0.218,95
Sep 09 2017 01: +0,0.206,107
Sep 10 2017 01: +0,0.21,126
Sep 11 2017 01: +0,0.216,90
Sep 12 2017 01: +0,0.217,100
Sep 13 2017 01: +0,0.211,69
Sep 14 2017 01: +0,0.209,75
Sep 15 2017 01: +0,0.208,109
Sep 16 2017 01: +0,0.213,107
Sep 17 2017 01: +0,0.213,121
Sep 18 2017 01: +0,0.216,82
Sep 19 2017 01: +0,0.218,75
Sep 20 2017 01: +0,0.224,93
Sep 21 2017 01: +0,0.224,124
Sep 22 2017 01: +0,0.222,119
Sep 23 2017 01: +0,0.221,103
Sep 24 2017 01: +0,0.22,137
Sep 25 2017 01: +0,0.209,93
Sep 26 2017 01: +0,0.208,109
Sep 27 2017 01: +0,0.218,77
Sep 28 2017 01: +0,0.221,47
Sep 29 2017 01: +0,0.221,86
Sep 30 2017 01: +0,0.216,86
Oct 01 2017 01: +0,0.227,87
Oct 02 2017 01: +0,0.214,46
Oct 03 2017 01: +0,0.219,83
Oct 04 2017 01: +0,0.217,52
Oct 05 2017 01: +0,0.198,36
Oct 06 2017 01: +0,0.217,105
Oct 07 2017 01: +0,0.215,80
Oct 08 2017 01: +0,0.209,82
Oct 09 2017 01: +0,0.213,68
Oct 10 2017 01: +0,0.212,67
Oct 11 2017 01: +0,0.215,60
Oct 12 2017 01: +0,0.207,51
Oct 13 2017 01: +0,0.213,94
Oct 14 2017 01: +0,0.215,70
Oct 15 2017 01: +0,0.22,71
Oct 16 2017 01: +0,0.214,48
Oct 17 2017 01: +0,0.2,64
Oct 18 2017 01: +0,0.205,61
Oct 19 2017 01: +0,0.213,113
Oct 20 2017 01: +0,0.207,71
Oct 21 2017 01: +0,0.222,73
Oct 22 2017 01: +0,0.216,85
Oct 23 2017 01: +0,0.208,50
Oct 24 2017 01: +0,0.198,86
Oct 25 2017 01: +0,0.201,64
Oct 26 2017 01: +0,0.214,34
Oct 27 2017 01: +0,0.331,59
Oct 28 2017 01: +0,0.197,41
Oct 29 2017 01: +0,0.187,48
Oct 30 2017 01: +0,0.212,65
Oct 31 2017 01: +0,0.197,35
Nov 01 2017 01: +0,0.207,111
Nov 02 2017 01: +0,0.194,64
Nov 03 2017 01: +0,0.2,52
Nov 04 2017 01: +0,0.208,72
Nov 05 2017 01: +0,0.205,35
Nov 06 2017 01: +0,0.208,49
Nov 07 2017 01: +0,0.193,21
Nov 08 2017 01: +0,0.193,39
Nov 09 2017 01: +0,0.185,17
Nov 10 2017 01: +0,0.192,47
Nov 11 2017 01: +0,0.199,62
Nov 12 2017 01: +0,0.192,55
Nov 13 2017 01: +0,0.199,43
Nov 14 2017 01: +0,0.205,33
Nov 15 2017 01: +0,0.182,27
Nov 16 2017 01: +0,0.182,36
Nov 17 2017 01: +0,0.193,63
Nov 18 2017 01: +0,0.199,84
Nov 19 2017 01: +0,0.198,42
Nov 20 2017 01: +0,0.196,44
Nov 21 2017 01: +0,0.206,131
Nov 22 2017 01: +0,0.186,42
Nov 23 2017 01: +0,0.179,26
Nov 24 2017 01: +0,0.178,36
Nov 25 2017 01: +0,0.172,29
Nov 26 2017 01: +0,0.187,141
Nov 27 2017 01: +0,0.158,29
Nov 28 2017 01: +0,0.168,41
Nov 29 2017 01: +0,0.173,33
Nov 30 2017 01: +0,0.182,70
Dec 01 2017 01: +0,0.178,38
Dec 02 2017 01: +0,0.178,59
Dec 03 2017 01: +0,0.183,71
Dec 04 2017 01: +0,0.181,38
Dec 05 2017 01: +0,0.175,43
Dec 06 2017 01: +0,0.182,80
Dec 07 2017 01: +0,0.19,42
Dec 08 2017 01: +0,0.17,43
Dec 09 2017 01: +0,0.182,70
Dec 10 2017 01: +0,0.184,38
Dec 11 2017 01: +0,0.178,33
Dec 12 2017 01: +0,0.19,70
Dec 13 2017 01: +0,0.204,20
Dec 14 2017 01: +0,0.193,42
Dec 15 2017 01: +0,0.191,41
Dec 16 2017 01: +0,0.195,31
Dec 17 2017 01: +0,0.186,23
Dec 18 2017 01: +0,0.178,56
Dec 19 2017 01: +0,0.192,83
Dec 20 2017 01: +0,0.18,60
Dec 21 2017 01: +0,0.187,41
Dec 22 2017 01: +0,0.175,32
Dec 23 2017 01: +0,0.164,44
Dec 24 2017 01: +0,0.168,53
Dec 25 2017 01: +0,0.183,52
Dec 26 2017 01: +0,0.186,59
Dec 27 2017 01: +0,1.03,46
Dec 28 2017 01: +0,0.178,46
Dec 29 2017 01: +0,0.189,113
Dec 30 2017 01: +0,0.192,58
Dec 31 2017 01: +0,0.184,50
Jan 01 2018 01: +0,0.188,65
Jan 02 2018 01: +0,0.197,106
Jan 03 2018 01: +0,0.193,62
Jan 04 2018 01: +0,0.185,77
Jan 05 2018 01: +0,0.181,60
Jan 06 2018 01: +0,0.186,103
Jan 07 2018 01: +0,0.201,107
Jan 08 2018 01: +0,0.195,39
Jan 09 2018 01: +0,0.191,37
Jan 10 2018 01: +0,0.194,56
Jan 11 2018 01: +0,0.197,66
Jan 12 2018 01: +0,0.188,53
Jan 13 2018 01: +0,0.195,88
Jan 14 2018 01: +0,0.201,61
Jan 15 2018 01: +0,0.198,61
Jan 16 2018 01: +0,0.19,57
Jan 17 2018 01: +0,0.186,44
Jan 18 2018 01: +0,0.203,56
Jan 19 2018 01: +0,0.206,83
Jan 20 2018 01: +0,0.204,60
Jan 21 2018 01: +0,0.209,131
Jan 22 2018 01: +0,0.189,103
Jan 23 2018 01: +0,0.19,34
Jan 24 2018 01: +0,0.203,86
Jan 25 2018 01: +0,0.203,28
Jan 26 2018 01: +0,0.205,84
Jan 27 2018 01: +0,0.187,91
Jan 28 2018 01: +0,0.202,93
Jan 29 2018 01: +0,0.2,67
Jan 30 2018 01: +0,0.187,58
Jan 31 2018 01: +0,0.195,49
Feb 01 2018 01: +0,0.198,81
Feb 02 2018 01: +0,0.203,35
Feb 03 2018 01: +0,0.209,117
Feb 04 2018 01: +0,0.205,70
Feb 05 2018 01: +0,0.192,51
Feb 06 2018 01: +0,0.197,46
Feb 07 2018 01: +0,0.199,40
Feb 08 2018 01: +0,0.213,41
Feb 09 2018 01: +0,0.195,61
Feb 10 2018 01: +0,0.229,74
Feb 11 2018 01: +0,0.205,84
Feb 12 2018 01: +0,0.202,54
Feb 13 2018 01: +0,0.206,55
Feb 14 2018 01: +0,0.208,43
