Dec 09 2015 01: +0,12.209,37
Dec 10 2015 01: +0,7.814,55
Dec 11 2015 01: +0,8.548,34
Dec 12 2015 01: +0,7.355,59
Dec 13 2015 01: +0,7.438,57
Dec 14 2015 01: +0,7.028,34
Dec 15 2015 01: +0,7.355,48
Dec 16 2015 01: +0,8.038,31
Dec 17 2015 01: +0,7.435,34
Dec 18 2015 01: +0,7.461,41
Dec 19 2015 01: +0,7.604,40
Dec 20 2015 01: +0,6.729,50
Dec 21 2015 01: +0,6.946,35
Dec 22 2015 01: +0,6.814,36
Dec 23 2015 01: +0,5.922,49
Dec 24 2015 01: +0,6.652,45
Dec 25 2015 01: +0,7.65,49
Dec 26 2015 01: +0,8.013,43
Dec 27 2015 01: +0,7.83,36
Dec 28 2015 01: +0,7.686,40
Dec 29 2015 01: +0,6.823,41
Dec 30 2015 01: +0,6.802,45
Dec 31 2015 01: +0,7.099,32
Jan 01 2016 01: +0,6.494,47
Jan 02 2016 01: +0,6.81,42
Jan 03 2016 01: +0,5.565,50
Jan 04 2016 01: +0,5.32,53
Jan 05 2016 01: +0,5.87,46
Jan 06 2016 01: +0,6.519,33
Jan 07 2016 01: +0,6.089,36
Jan 08 2016 01: +0,6.206,35
Jan 09 2016 01: +0,6.014,41
Jan 10 2016 01: +0,6.211,47
Jan 11 2016 01: +0,6.762,27
Jan 12 2016 01: +0,6.55,24
Jan 13 2016 01: +0,6.207,25
Jan 14 2016 01: +0,6.064,36
Jan 15 2016 01: +0,6.153,40
Jan 16 2016 01: +0,5.886,44
Jan 17 2016 01: +0,6.485,30
Jan 18 2016 01: +0,5.967,39
Jan 19 2016 01: +0,6.275,25
Jan 20 2016 01: +0,6.08,23
Jan 21 2016 01: +0,5.838,29
Jan 22 2016 01: +0,6.311,42
Jan 23 2016 01: +0,6.505,37
Jan 24 2016 01: +0,6.462,26
Jan 25 2016 01: +0,6.458,25
Jan 26 2016 01: +0,6.192,18
Jan 27 2016 01: +0,6.166,23
Jan 28 2016 01: +0,5.939,22
Jan 29 2016 01: +0,5.948,32
Jan 30 2016 01: +0,6.044,39
Jan 31 2016 01: +0,5.731,29
Feb 01 2016 01: +0,6.308,31
Feb 02 2016 01: +0,6.145,24
Feb 03 2016 01: +0,6.04,26
Feb 04 2016 01: +0,6.089,32
Feb 05 2016 01: +0,5.992,43
Feb 06 2016 01: +0,5.907,34
Feb 07 2016 01: +0,5.914,31
Feb 08 2016 01: +0,5.466,29
Feb 09 2016 01: +0,5.417,30
Feb 10 2016 01: +0,5.263,26
Feb 11 2016 01: +0,5.295,37
Feb 12 2016 01: +0,5.675,36
Feb 13 2016 01: +0,5.584,19
Feb 14 2016 01: +0,4.886,42
Feb 15 2016 01: +0,5.28,38
Feb 16 2016 01: +0,5.628,31
Feb 17 2016 01: +0,5.922,32
Feb 18 2016 01: +0,4.724,70
Feb 19 2016 01: +0,4.608,50
Feb 20 2016 01: +0,5.015,38
Feb 21 2016 01: +0,4.868,40
Feb 22 2016 01: +0,5.214,37
Feb 23 2016 01: +0,5.143,39
Feb 24 2016 01: +0,4.879,32
