May 27 2015 01: +0,3.871,97
May 28 2015 01: +0,3.337,119
May 29 2015 01: +0,3.538,83
May 30 2015 01: +0,3.95,62
May 31 2015 01: +0,4.593,32
Jun 01 2015 01: +0,4.476,41
Jun 02 2015 01: +0,4.366,28
Jun 03 2015 01: +0,3.463,44
Jun 04 2015 01: +0,2.629,97
Jun 05 2015 01: +0,2.722,68
Jun 06 2015 01: +0,2.689,78
Jun 07 2015 01: +0,2.955,51
Jun 08 2015 01: +0,2.877,47
Jun 09 2015 01: +0,2.886,57
Jun 10 2015 01: +0,3.085,49
Jun 11 2015 01: +0,2.829,51
Jun 12 2015 01: +0,2.339,63
Jun 13 2015 01: +0,2.226,81
Jun 14 2015 01: +0,2.176,73
Jun 15 2015 01: +0,2.095,65
Jun 16 2015 01: +0,2.296,54
Jun 17 2015 01: +0,2.351,52
Jun 18 2015 01: +0,2.042,70
Jun 19 2015 01: +0,2.123,70
Jun 20 2015 01: +0,2.014,71
Jun 21 2015 01: +0,1.969,75
Jun 22 2015 01: +0,2.005,83
Jun 23 2015 01: +0,2.005,78
Jun 24 2015 01: +0,2.017,83
Jun 25 2015 01: +0,1.927,74
Jun 26 2015 01: +0,2.065,69
Jun 27 2015 01: +0,2.008,75
Jun 28 2015 01: +0,1.961,75
Jun 29 2015 01: +0,1.869,86
Jun 30 2015 01: +0,1.89,84
Jul 01 2015 01: +0,1.99,76
Jul 02 2015 01: +0,2.004,79
Jul 03 2015 01: +0,2.022,68
Jul 04 2015 01: +0,1.971,79
Jul 05 2015 01: +0,1.945,81
Jul 06 2015 01: +0,1.786,98
Jul 07 2015 01: +0,1.882,103
Jul 08 2015 01: +0,1.703,116
Jul 09 2015 01: +0,1.831,107
Jul 10 2015 01: +0,1.814,82
Jul 11 2015 01: +0,1.89,76
Jul 12 2015 01: +0,1.906,71
Jul 13 2015 01: +0,1.807,86
Jul 14 2015 01: +0,1.745,91
Jul 15 2015 01: +0,1.723,86
Jul 16 2015 01: +0,1.729,71
Jul 17 2015 01: +0,1.703,90
Jul 18 2015 01: +0,1.72,92
Jul 19 2015 01: +0,1.713,94
Jul 20 2015 01: +0,1.769,76
Jul 21 2015 01: +0,1.662,85
Jul 22 2015 01: +0,1.629,79
Jul 23 2015 01: +0,1.545,99
Jul 24 2015 01: +0,1.566,100
Jul 25 2015 01: +0,1.603,99
Jul 26 2015 01: +0,1.657,65
Jul 27 2015 01: +0,1.625,103
Jul 28 2015 01: +0,1.61,69
Jul 29 2015 01: +0,1.61,74
Jul 30 2015 01: +0,1.478,111
Jul 31 2015 01: +0,1.474,89
Aug 01 2015 01: +0,1.486,91
Aug 02 2015 01: +0,1.506,91
Aug 03 2015 01: +0,1.447,85
Aug 04 2015 01: +0,1.475,95
Aug 05 2015 01: +0,1.373,113
Aug 06 2015 01: +0,1.457,88
Aug 07 2015 01: +0,1.491,81
Aug 08 2015 01: +0,1.363,87
Aug 09 2015 01: +0,1.384,96
Aug 10 2015 01: +0,1.446,99
Aug 11 2015 01: +0,1.496,89
Aug 12 2015 01: +0,1.445,101
Aug 13 2015 01: +0,1.403,104
Aug 14 2015 01: +0,1.341,88
Aug 15 2015 01: +0,1.069,113
Aug 16 2015 01: +0,1.105,96
Aug 17 2015 01: +0,1.081,118
Aug 18 2015 01: +0,1.254,91
Aug 19 2015 01: +0,1.228,101
Aug 20 2015 01: +0,1.178,99
Aug 21 2015 01: +0,1.151,145
Aug 22 2015 01: +0,1.288,124
Aug 23 2015 01: +0,1.141,115
Aug 24 2015 01: +0,1.17,121
