Apr 28 2016 01: +0,18.868,10
Apr 29 2016 01: +0,18.865,13
Apr 30 2016 01: +0,16.46,6
May 01 2016 01: +0,16.132,15
May 02 2016 01: +0,17.315,18
May 03 2016 01: +0,18.896,12
May 04 2016 01: +0,13.352,11
May 05 2016 01: +0,13.905,22
May 06 2016 01: +0,13.418,11
May 07 2016 01: +0,15.11,17
May 08 2016 01: +0,14.355,8
May 09 2016 01: +0,13.886,8
May 10 2016 01: +0,15.181,12
May 11 2016 01: +0,12.979,9
May 12 2016 01: +0,12.304,1
May 13 2016 01: +0,11.265,14
May 14 2016 01: +0,9.767,17
May 15 2016 01: +0,12.15,26
May 16 2016 01: +0,10.479,18
May 17 2016 01: +0,10.064,13
May 18 2016 01: +0,10.638,3
May 19 2016 01: +0,9.422,10
May 20 2016 01: +0,8.603,14
May 21 2016 01: +0,10.778,18
May 22 2016 01: +0,12.697,14
May 23 2016 01: +0,10.71,3
May 24 2016 01: +0,9.507,18
May 25 2016 01: +0,9.29,13
May 26 2016 01: +0,8.987,9
May 27 2016 01: +0,11.508,4
May 28 2016 01: +0,8.553,13
May 29 2016 01: +0,9.741,20
May 30 2016 01: +0,8.54,9
May 31 2016 01: +0,8.911,12
Jun 01 2016 01: +0,9.214,10
Jun 02 2016 01: +0,9.683,9
Jun 03 2016 01: +0,9.615,9
Jun 04 2016 01: +0,8.648,9
Jun 05 2016 01: +0,8.316,10
Jun 06 2016 01: +0,8.243,11
Jun 07 2016 01: +0,7.866,6
Jun 08 2016 01: +0,8.275,22
Jun 09 2016 01: +0,9.085,12
Jun 10 2016 01: +0,9.125,14
Jun 11 2016 01: +0,8.315,9
Jun 12 2016 01: +0,8.265,18
Jun 13 2016 01: +0,7.629,13
Jun 14 2016 01: +0,8.037,11
Jun 15 2016 01: +0,7.886,13
Jun 16 2016 01: +0,6.757,8
Jun 17 2016 01: +0,5.981,23
Jun 18 2016 01: +0,5.641,19
Jun 19 2016 01: +0,5.697,28
Jun 20 2016 01: +0,5.802,11
Jun 21 2016 01: +0,5.664,17
Jun 22 2016 01: +0,5.656,12
Jun 23 2016 01: +0,5.321,22
Jun 24 2016 01: +0,6.16,18
Jun 25 2016 01: +0,5.863,17
Jun 26 2016 01: +0,5.762,13
Jun 27 2016 01: +0,6.119,19
Jun 28 2016 01: +0,6.347,12
Jun 29 2016 01: +0,5.877,13
Jun 30 2016 01: +0,5.956,17
Jul 01 2016 01: +0,7.502,18
Jul 02 2016 01: +0,6.656,11
Jul 03 2016 01: +0,5.989,20
Jul 04 2016 01: +0,6.274,17
Jul 05 2016 01: +0,6.136,10
Jul 06 2016 01: +0,6.002,10
Jul 07 2016 01: +0,6.578,11
Jul 08 2016 01: +0,6.834,18
Jul 09 2016 01: +0,8.495,10
Jul 10 2016 01: +0,6.85,10
Jul 11 2016 01: +0,6.11,13
Jul 12 2016 01: +0,6.8,8
Jul 13 2016 01: +0,6.698,16
Jul 14 2016 01: +0,6.438,9
Jul 15 2016 01: +0,6.937,10
Jul 16 2016 01: +0,6.535,16
Jul 17 2016 01: +0,6.424,14
Jul 18 2016 01: +0,6.177,10
Jul 19 2016 01: +0,6.158,19
Jul 20 2016 01: +0,6.525,11
Jul 21 2016 01: +0,8.482,10
Jul 22 2016 01: +0,9.588,7
Jul 23 2016 01: +0,7.831,4
Jul 24 2016 01: +0,7.862,21
Jul 25 2016 01: +0,8.47,8
Jul 26 2016 01: +0,7.846,7
Jul 27 2016 01: +0,8.909,8
Jul 28 2016 01: +0,8.15,5
Jul 29 2016 01: +0,8.579,9
Jul 30 2016 01: +0,8.196,5
Jul 31 2016 01: +0,7.278,5
Aug 01 2016 01: +0,7.754,10
Aug 02 2016 01: +0,6.31,12
Aug 03 2016 01: +0,6.562,4
Aug 04 2016 01: +0,6.775,7
Aug 05 2016 01: +0,5.881,8
Aug 06 2016 01: +0,6.838,14
Aug 07 2016 01: +0,5.963,5
Aug 08 2016 01: +0,6.068,24
Aug 09 2016 01: +0,6.053,6
Aug 10 2016 01: +0,5.786,7
Aug 11 2016 01: +0,5.941,16
Aug 12 2016 01: +0,5.515,6
Aug 13 2016 01: +0,5.635,7
Aug 14 2016 01: +0,5.828,22
Aug 15 2016 01: +0,6.421,7
Aug 16 2016 01: +0,6.741,11
Aug 17 2016 01: +0,6.334,9
Aug 18 2016 01: +0,6.688,6
Aug 19 2016 01: +0,5.931,15
Aug 20 2016 01: +0,5.55,11
Aug 21 2016 01: +0,5.025,8
Aug 22 2016 01: +0,5.69,7
Aug 23 2016 01: +0,5.157,13
Aug 24 2016 01: +0,5.11,7
Aug 25 2016 01: +0,5.045,5
Aug 26 2016 01: +0,5.261,17
Aug 27 2016 01: +0,5.379,5
Aug 28 2016 01: +0,4.976,7
Aug 29 2016 01: +0,6.249,17
Aug 30 2016 01: +0,5.776,12
Aug 31 2016 01: +0,5.796,7
Sep 01 2016 01: +0,6.035,7
Sep 02 2016 01: +0,6.166,12
Sep 03 2016 01: +0,6.615,3
Sep 04 2016 01: +0,5.913,7
Sep 05 2016 01: +0,5.723,6
Sep 06 2016 01: +0,6.334,11
Sep 07 2016 01: +0,5.59,2
Sep 08 2016 01: +0,5.477,5
Sep 09 2016 01: +0,5.305,15
Sep 10 2016 01: +0,5.603,18
Sep 11 2016 01: +0,5.186,9
Sep 12 2016 01: +0,5.461,11
Sep 13 2016 01: +0,6.581,7
Sep 14 2016 01: +0,5.572,9
Sep 15 2016 01: +0,5.918,5
Sep 16 2016 01: +0,5.311,10
Sep 17 2016 01: +0,5.022,4
Sep 18 2016 01: +0,4.879,19
Sep 19 2016 01: +0,5.626,14
Sep 20 2016 01: +0,4.94,8
Sep 21 2016 01: +0,4.954,9
Sep 22 2016 01: +0,6.131,8
Sep 23 2016 01: +0,5.074,6
Sep 24 2016 01: +0,5.303,15
Sep 25 2016 01: +0,5.054,8
Sep 26 2016 01: +0,5.038,8
Sep 27 2016 01: +0,5.433,7
Sep 28 2016 01: +0,5.278,8
Sep 29 2016 01: +0,5.737,7
Sep 30 2016 01: +0,5.634,5
Oct 01 2016 01: +0,5.363,14
Oct 02 2016 01: +0,5.58,8
Oct 03 2016 01: +0,5.284,13
Oct 04 2016 01: +0,5.324,7
Oct 05 2016 01: +0,5.682,13
Oct 06 2016 01: +0,5.394,7
Oct 07 2016 01: +0,5.5,8
Oct 08 2016 01: +0,5.391,6
Oct 09 2016 01: +0,5.572,13
Oct 10 2016 01: +0,5.943,6
Oct 11 2016 01: +0,6.118,8
Oct 12 2016 01: +0,6.192,4
Oct 13 2016 01: +0,6.049,4
Oct 14 2016 01: +0,6.126,8
Oct 15 2016 01: +0,5.809,8
Oct 16 2016 01: +0,5.624,8
Oct 17 2016 01: +0,5.842,12
Oct 18 2016 01: +0,5.602,5
Oct 19 2016 01: +0,6.398,7
Oct 20 2016 01: +0,5.896,6
Oct 21 2016 01: +0,5.657,6
Oct 22 2016 01: +0,5.511,11
Oct 23 2016 01: +0,5.363,6
Oct 24 2016 01: +0,5.597,3
Oct 25 2016 01: +0,5.052,8
Oct 26 2016 01: +0,4.951,2
Oct 27 2016 01: +0,5.098,10
Oct 28 2016 01: +0,5.229,9
