Jul 11 2014 01: +0,1.775,101
Jul 12 2014 01: +0,1.134,135
Jul 13 2014 01: +0,1.056,147
Jul 14 2014 01: +0,0.906,138
Jul 15 2014 01: +0,0.905,145
Jul 16 2014 01: +0,0.757,158
Jul 17 2014 01: +0,0.785,139
Jul 18 2014 01: +0,0.771,152
Jul 19 2014 01: +0,0.714,142
Jul 20 2014 01: +0,0.708,166
Jul 21 2014 01: +0,0.646,190
Jul 22 2014 01: +0,0.668,174
Jul 23 2014 01: +0,0.635,200
Jul 24 2014 01: +0,0.67,168
Jul 25 2014 01: +0,0.597,173
Jul 26 2014 01: +0,0.592,189
Jul 27 2014 01: +0,0.596,230
Jul 28 2014 01: +0,0.591,201
Jul 29 2014 01: +0,0.564,187
Jul 30 2014 01: +0,0.582,164
Jul 31 2014 01: +0,0.541,182
Aug 01 2014 01: +0,0.477,253
Aug 02 2014 01: +0,0.506,256
Aug 03 2014 01: +0,0.505,246
Aug 04 2014 01: +0,0.461,264
Aug 05 2014 01: +0,0.414,234
Aug 06 2014 01: +0,0.421,235
Aug 07 2014 01: +0,0.405,258
Aug 08 2014 01: +0,0.396,273
Aug 09 2014 01: +0,0.399,286
Aug 10 2014 01: +0,0.408,247
Aug 11 2014 01: +0,0.393,308
Aug 12 2014 01: +0,0.418,253
Aug 13 2014 01: +0,0.397,261
Aug 14 2014 01: +0,0.348,253
Aug 15 2014 01: +0,0.334,282
Aug 16 2014 01: +0,0.327,333
Aug 17 2014 01: +0,0.279,337
Aug 18 2014 01: +0,0.301,279
Aug 19 2014 01: +0,0.309,293
Aug 20 2014 01: +0,0.33,278
Aug 21 2014 01: +0,0.334,322
Aug 22 2014 01: +0,0.324,310
Aug 23 2014 01: +0,0.34,322
Aug 24 2014 01: +0,0.336,337
Aug 25 2014 01: +0,0.325,354
Aug 26 2014 01: +0,0.329,347
Aug 27 2014 01: +0,0.34,338
Aug 28 2014 01: +0,0.315,312
Aug 29 2014 01: +0,0.297,387
Aug 30 2014 01: +0,0.295,391
Aug 31 2014 01: +0,0.281,417
Sep 01 2014 01: +0,0.294,375
Sep 02 2014 01: +0,0.304,340
Sep 03 2014 01: +0,0.322,309
Sep 04 2014 01: +0,0.312,287
Sep 05 2014 01: +0,0.285,330
Sep 06 2014 01: +0,0.281,404
Sep 07 2014 01: +0,0.294,377
Sep 08 2014 01: +0,0.285,317
Sep 09 2014 01: +0,0.257,337
Sep 10 2014 01: +0,0.271,319
Sep 11 2014 01: +0,0.245,348
Sep 12 2014 01: +0,0.215,373
Sep 13 2014 01: +0,0.208,462
Sep 14 2014 01: +0,0.226,395
Sep 15 2014 01: +0,0.226,363
Sep 16 2014 01: +0,0.22,354
Sep 17 2014 01: +0,0.213,332
Sep 18 2014 01: +0,0.207,400
Sep 19 2014 01: +0,0.199,364
Sep 20 2014 01: +0,0.186,460
Sep 21 2014 01: +0,0.214,402
Sep 22 2014 01: +0,0.2,335
Sep 23 2014 01: +0,0.2,335
Sep 24 2014 01: +0,0.183,331
Sep 25 2014 01: +0,0.189,356
Sep 26 2014 01: +0,0.176,363
Sep 27 2014 01: +0,0.17,438
Sep 28 2014 01: +0,0.177,478
Sep 29 2014 01: +0,0.166,367
Sep 30 2014 01: +0,0.174,359
Oct 01 2014 01: +0,0.19,436
Oct 02 2014 01: +0,0.194,401
Oct 03 2014 01: +0,0.193,417
Oct 04 2014 01: +0,0.198,435
Oct 05 2014 01: +0,0.199,461
Oct 06 2014 01: +0,0.188,368
Oct 07 2014 01: +0,0.186,353
Oct 08 2014 01: +0,0.177,378
Oct 09 2014 01: +0,0.169,382
Oct 10 2014 01: +0,0.161,452
Oct 11 2014 01: +0,0.171,528
Oct 12 2014 01: +0,0.177,533
Oct 13 2014 01: +0,0.162,404
Oct 14 2014 01: +0,0.162,402
Oct 15 2014 01: +0,0.173,390
Oct 16 2014 01: +0,0.17,353
Oct 17 2014 01: +0,0.154,436
Oct 18 2014 01: +0,0.151,501
Oct 19 2014 01: +0,0.152,519
Oct 20 2014 01: +0,0.158,373
Oct 21 2014 01: +0,0.155,369
Oct 22 2014 01: +0,0.156,326
Oct 23 2014 01: +0,0.149,384
Oct 24 2014 01: +0,0.147,454
Oct 25 2014 01: +0,0.162,489
Oct 26 2014 01: +0,0.13,657
Oct 27 2014 01: +0,0.136,399
Oct 28 2014 01: +0,0.149,432
Oct 29 2014 01: +0,0.152,401
Oct 30 2014 01: +0,0.174,349
Oct 31 2014 01: +0,0.131,434
Nov 01 2014 01: +0,0.133,550
Nov 02 2014 01: +0,0.138,556
Nov 03 2014 01: +0,0.142,408
Nov 04 2014 01: +0,0.138,407
Nov 05 2014 01: +0,0.136,446
Nov 06 2014 01: +0,0.137,399
Nov 07 2014 01: +0,0.144,412
Nov 08 2014 01: +0,0.143,562
Nov 09 2014 01: +0,0.142,471
Nov 10 2014 01: +0,0.132,396
Nov 11 2014 01: +0,0.146,388
Nov 12 2014 01: +0,0.094,510
Nov 13 2014 01: +0,0.088,460
Nov 14 2014 01: +0,0.1,402
Nov 15 2014 01: +0,0.11,486
Nov 16 2014 01: +0,0.115,452
Nov 17 2014 01: +0,0.111,380
Nov 18 2014 01: +0,0.116,329
Nov 19 2014 01: +0,0.116,312
Nov 20 2014 01: +0,0.114,367
Nov 21 2014 01: +0,0.117,383
Nov 22 2014 01: +0,0.108,393
Nov 23 2014 01: +0,0.102,412
Nov 24 2014 01: +0,0.103,339
Nov 25 2014 01: +0,0.116,244
Nov 26 2014 01: +0,0.112,340
Nov 27 2014 01: +0,0.1,388
Nov 28 2014 01: +0,0.1,381
Nov 29 2014 01: +0,0.143,155
Nov 30 2014 01: +0,0.097,633
Dec 01 2014 01: +0,0.088,399
Dec 02 2014 01: +0,0.1,378
Dec 03 2014 01: +0,0.113,374
Dec 04 2014 01: +0,0.123,332
Dec 05 2014 01: +0,0.136,365
Dec 06 2014 01: +0,0.136,482
Dec 07 2014 01: +0,0.142,468
Dec 08 2014 01: +0,0.13,401
Dec 09 2014 01: +0,0.128,363
Dec 10 2014 01: +0,0.125,402
Dec 11 2014 01: +0,0.116,422
Dec 12 2014 01: +0,0.119,384
Dec 13 2014 01: +0,0.12,506
Dec 14 2014 01: +0,0.118,539
Dec 15 2014 01: +0,0.114,427
Dec 16 2014 01: +0,0.108,413
Dec 17 2014 01: +0,0.116,403
Dec 18 2014 01: +0,0.116,366
Dec 19 2014 01: +0,0.111,438
Dec 20 2014 01: +0,0.099,451
Dec 21 2014 01: +0,0.107,449
Dec 22 2014 01: +0,0.107,427
Dec 23 2014 01: +0,0.114,398
Dec 24 2014 01: +0,0.109,420
Dec 25 2014 01: +0,0.113,490
Dec 26 2014 01: +0,0.117,575
Dec 27 2014 01: +0,0.121,610
Dec 28 2014 01: +0,0.133,607
Dec 29 2014 01: +0,0.127,650
Dec 30 2014 01: +0,0.134,617
Dec 31 2014 01: +0,0.128,582
Jan 01 2015 01: +0,0.136,504
Jan 02 2015 01: +0,0.123,750
Jan 03 2015 01: +0,0.133,712
Jan 04 2015 01: +0,0.136,671
Jan 05 2015 01: +0,0.135,621
Jan 06 2015 01: +0,0.13,633
Jan 07 2015 01: +0,0.133,581
Jan 08 2015 01: +0,0.137,657
Jan 09 2015 01: +0,0.12,740
Jan 10 2015 01: +0,0.123,775
Jan 11 2015 01: +0,0.122,845
Jan 12 2015 01: +0,0.125,648
Jan 13 2015 01: +0,0.127,693
Jan 14 2015 01: +0,0.122,673
Jan 15 2015 01: +0,0.122,635
Jan 16 2015 01: +0,0.118,707
Jan 17 2015 01: +0,0.123,775
Jan 18 2015 01: +0,0.126,813
Jan 19 2015 01: +0,0.123,652
Jan 20 2015 01: +0,0.121,565
Jan 21 2015 01: +0,0.119,577
Jan 22 2015 01: +0,0.121,567
Jan 23 2015 01: +0,0.124,604
Jan 24 2015 01: +0,0.125,678
Jan 25 2015 01: +0,0.116,749
Jan 26 2015 01: +0,0.114,576
Jan 27 2015 01: +0,0.116,607
Jan 28 2015 01: +0,0.119,512
Jan 29 2015 01: +0,0.118,571
Jan 30 2015 01: +0,0.117,566
Jan 31 2015 01: +0,0.114,733
Feb 01 2015 01: +0,0.107,796
Feb 02 2015 01: +0,0.111,583
Feb 03 2015 01: +0,0.111,554
Feb 04 2015 01: +0,0.111,479
Feb 05 2015 01: +0,0.107,538
Feb 06 2015 01: +0,0.103,564
Feb 07 2015 01: +0,0.112,657
Feb 08 2015 01: +0,0.104,692
Feb 09 2015 01: +0,0.104,504
Feb 10 2015 01: +0,0.107,451
Feb 11 2015 01: +0,0.102,530
Feb 12 2015 01: +0,0.101,488
Feb 13 2015 01: +0,0.101,574
Feb 14 2015 01: +0,0.105,656
Feb 15 2015 01: +0,0.105,650
Feb 16 2015 01: +0,0.104,496
Feb 17 2015 01: +0,0.103,494
Feb 18 2015 01: +0,0.105,454
Feb 19 2015 01: +0,0.107,426
Feb 20 2015 01: +0,0.107,489
Feb 21 2015 01: +0,0.111,545
Feb 22 2015 01: +0,0.108,510
Feb 23 2015 01: +0,0.106,422
Feb 24 2015 01: +0,0.103,454
Feb 25 2015 01: +0,0.105,454
Feb 26 2015 01: +0,0.105,473
Feb 27 2015 01: +0,0.102,477
Feb 28 2015 01: +0,0.101,562
Mar 01 2015 01: +0,0.095,546
Mar 02 2015 01: +0,0.095,476
Mar 03 2015 01: +0,0.098,420
Mar 04 2015 01: +0,0.094,409
Mar 05 2015 01: +0,0.096,477
Mar 06 2015 01: +0,0.095,463
